location,site,type,year,sample.no,depth,density,swe,htc
RAMt,RAM,tundra,2008,25,10,263.1496817,26.31496817,2.035883996
RAMt,RAM,tundra,2008,26,11,178.1477536,19.59625289,0.848233354
RAMt,RAM,tundra,2008,27,11,229.0471117,25.19518229,1.402181667
RAMt,RAM,tundra,2008,28,12,149.3047839,17.91657407,0.546152003
RAMt,RAM,tundra,2008,29,14,175.9663525,24.63528935,0.650247301
RAMt,RAM,tundra,2008,30,8,209.9598524,16.79678819,1.620055381
RAMt,RAM,tundra,2008,31,17,237.1311274,40.31229166,0.972468497
RAMt,RAM,tundra,2008,32,13,254.1052573,33.03368344,1.460263665
RAMt,RAM,tundra,2008,33,11,229.0471117,25.19518229,1.402181667
RIDf,RID,forest,2008,34,60,234.2218798,140.5331279,0.268813456
RIDf,RID,forest,2008,35,74,196.719141,145.5721643,0.153747778
RIDf,RID,forest,2008,36,40,195.9625289,78.38501156,0.282249649
RIDf,RID,forest,2008,37,70,231.9556465,162.3689525,0.225974372
RIDf,RID,forest,2008,38,71,236.5744816,167.9678819,0.231752686
RIDf,RID,forest,2008,39,57,225.9217125,128.7753761,0.263262146
RIDf,RID,forest,2008,40,24,326.6042148,78.38501156,1.306711336
RIDf,RID,forest,2008,41,68,222.310432,151.1710937,0.21367716
RIDf,RID,forest,2008,42,59,227.7530602,134.3743055,0.258478105
RIDf,RID,forest,2008,43,38,206.2763462,78.38501156,0.329202098
RIDf,RID,forest,2008,44,50,201.5614583,100.7807292,0.238886886
RIDf,RID,forest,2008,45,37,181.5868994,67.18715277,0.262008049
RIDf,RID,forest,2008,46,68,238.7778714,162.3689525,0.246505475
RIDf,RID,forest,2008,47,94,273.990162,257.5507523,0.234795309
RIDf,RID,forest,2008,48,71,252.3461137,179.1657407,0.263683056
RIDf,RID,forest,2008,49,49,205.6749575,100.7807292,0.253813129
RIDf,RID,forest,2008,50,72,241.0650157,173.5668113,0.237292062
RIDf,RID,forest,2008,51,65,215.3434384,139.9732349,0.209747725
RIDf,RID,forest,2008,52,63,213.2925485,134.3743055,0.212303986
RIDf,RID,forest,2008,53,29,154.4532248,44.79143518,0.241848441
RIDf,RID,forest,2008,54,51,230.5441517,117.5775173,0.30639761
RIDf,RID,forest,2008,55,44,241.7719512,106.3796585,0.390576838
RIDf,RID,forest,2008,56,49,239.954117,117.5775173,0.34546787
RIDf,RID,forest,2008,57,57,216.0990294,123.1764467,0.240867446
RIDf,RID,forest,2008,58,32,174.9665437,55.98929397,0.281259615
RIDf,RID,forest,2008,59,39,287.1245845,111.9785879,0.621474742
RIDf,RID,forest,2008,60,58,193.0665309,111.9785879,0.188944095
RIDf,RID,forest,2008,61,67,250.6983312,167.9678819,0.275788031
RIDf,RID,forest,2008,62,87,270.2931433,235.1550347,0.246886951
RIDf,RID,forest,2008,63,89,239.0554125,212.7593171,0.18877935
RIDf,RID,forest,2008,64,48,209.9598524,100.7807292,0.27000923
RIDf,RID,forest,2008,65,50,302.3421875,151.1710937,0.537495494
RIDf,RID,forest,2008,1,64,219.5830123,140.5331279,0.221495462
RIDe,RID,treeline,2008,1,63,217.7361432,137.1737702,0.221242131
RIDe,RID,treeline,2008,2,81,269.5780821,218.3582465,0.263773687
