id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
34,2014,10,30,2014-10-30,NA,10,2,NA,NA,NA,NA,NA
35,2014,10,31,2014-10-31,NA,10,2,NA,NA,NA,NA,NA
36,2014,11,1,2014-11-01,NA,10,3,NA,NA,NA,NA,NA
37,2014,11,2,2014-11-02,NA,10,3,NA,NA,NA,NA,NA
38,2014,11,3,2014-11-03,10,10,2,NA,NA,NA,NA,NA
39,2014,11,4,2014-11-04,10,10,3,NA,NA,NA,NA,NA
40,2014,11,5,2014-11-05,NA,10,3,NA,NA,NA,NA,NA
41,2014,11,6,2014-11-06,NA,15,4,NA,NA,NA,NA,NA
42,2014,11,7,2014-11-07,NA,15,9,NA,NA,NA,NA,NA
43,2014,11,8,2014-11-08,NA,NA,5,NA,NA,NA,NA,NA
44,2014,11,9,2014-11-09,NA,NA,5,NA,NA,NA,NA,NA
45,2014,11,10,2014-11-10,NA,NA,5,NA,NA,NA,NA,NA
46,2014,11,11,2014-11-11,NA,NA,2,NA,NA,NA,NA,NA
47,2014,11,12,2014-11-12,NA,NA,2,NA,NA,NA,NA,NA
48,2014,11,13,2014-11-13,NA,NA,NA,NA,NA,NA,NA,NA
49,2014,11,14,2014-11-14,NA,NA,NA,NA,NA,NA,NA,NA
50,2014,11,15,2014-11-15,NA,NA,NA,NA,NA,NA,NA,NA
51,2014,11,16,2014-11-16,NA,NA,NA,NA,NA,NA,NA,NA
52,2014,11,17,2014-11-17,NA,NA,NA,NA,NA,NA,NA,NA
53,2014,11,18,2014-11-18,NA,NA,NA,NA,NA,NA,NA,NA
54,2014,11,19,2014-11-19,NA,NA,NA,NA,NA,NA,NA,NA
55,2014,11,20,2014-11-20,NA,NA,NA,NA,NA,NA,NA,NA
56,2014,11,21,2014-11-21,NA,NA,NA,NA,NA,NA,NA,NA
57,2014,11,22,2014-11-22,NA,NA,NA,NA,NA,NA,NA,NA
58,2014,11,23,2014-11-23,NA,NA,NA,NA,NA,NA,NA,NA
59,2014,11,24,2014-11-24,NA,NA,NA,NA,NA,NA,NA,NA
60,2014,11,25,2014-11-25,NA,NA,NA,NA,NA,NA,NA,NA
61,2014,11,26,2014-11-26,NA,NA,NA,NA,NA,NA,NA,NA
62,2014,11,27,2014-11-27,NA,NA,NA,NA,NA,NA,NA,NA
63,2014,11,28,2014-11-28,NA,NA,NA,NA,NA,NA,NA,NA
64,2014,11,29,2014-11-29,NA,NA,NA,NA,NA,NA,NA,NA
65,2014,11,30,2014-11-30,NA,NA,NA,NA,NA,NA,NA,NA
66,2014,12,1,2014-12-01,NA,NA,NA,NA,NA,NA,NA,NA
67,2014,12,2,2014-12-02,NA,NA,NA,NA,NA,NA,NA,NA
68,2014,12,3,2014-12-03,NA,NA,NA,NA,NA,NA,NA,NA
69,2014,12,4,2014-12-04,NA,NA,NA,NA,NA,NA,NA,NA
70,2014,12,5,2014-12-05,NA,NA,NA,NA,NA,NA,NA,NA
71,2014,12,6,2014-12-06,NA,NA,NA,NA,NA,NA,NA,NA
72,2014,12,7,2014-12-07,NA,NA,NA,NA,NA,NA,NA,NA
73,2014,12,8,2014-12-08,NA,NA,NA,NA,NA,NA,NA,NA
74,2014,12,9,2014-12-09,NA,NA,NA,NA,NA,NA,NA,NA
75,2014,12,10,2014-12-10,NA,NA,NA,NA,NA,3,NA,NA
76,2014,12,11,2014-12-11,NA,NA,NA,NA,NA,1,NA,NA
77,2014,12,12,2014-12-12,NA,NA,NA,NA,NA,NA,NA,NA
78,2014,12,13,2014-12-13,NA,NA,NA,NA,NA,0,NA,NA
79,2014,12,14,2014-12-14,NA,NA,NA,NA,NA,0,NA,NA
80,2014,12,15,2014-12-15,NA,NA,NA,NA,NA,0,NA,NA
81,2014,12,16,2014-12-16,NA,NA,NA,NA,NA,0,NA,NA
82,2014,12,17,2014-12-17,NA,NA,NA,NA,NA,0,NA,NA
83,2014,12,18,2014-12-18,NA,NA,NA,NA,NA,0,NA,NA
84,2014,12,19,2014-12-19,NA,NA,NA,NA,NA,0,NA,NA
85,2014,12,20,2014-12-20,NA,NA,NA,NA,NA,1,NA,NA
86,2014,12,21,2014-12-21,NA,NA,NA,NA,NA,2,NA,NA
87,2014,12,22,2014-12-22,NA,NA,NA,NA,NA,2,NA,NA
88,2014,12,23,2014-12-23,NA,NA,NA,NA,NA,0,NA,NA
89,2014,12,24,2014-12-24,NA,NA,NA,NA,NA,4,NA,NA
90,2014,12,25,2014-12-25,NA,NA,NA,NA,NA,6,NA,NA
91,2014,12,26,2014-12-26,NA,NA,NA,NA,NA,8,NA,NA
92,2014,12,27,2014-12-27,NA,NA,NA,NA,NA,8,NA,NA
93,2014,12,28,2014-12-28,NA,NA,NA,NA,NA,6,NA,NA
94,2014,12,29,2014-12-29,NA,NA,NA,NA,NA,6,NA,NA
95,2014,12,30,2014-12-30,NA,NA,NA,NA,NA,5,NA,NA
96,2014,12,31,2014-12-31,NA,NA,NA,NA,NA,6,NA,NA
97,2015,1,1,2015-01-01,NA,NA,NA,NA,NA,3,NA,NA
98,2015,1,2,2015-01-02,NA,NA,NA,NA,NA,1,NA,NA
99,2015,1,3,2015-01-03,NA,NA,NA,NA,NA,0,NA,NA
100,2015,1,4,2015-01-04,NA,NA,NA,NA,NA,0,NA,NA
