series,pith.offset
1590.1a,8
1590.1b,8
1590.2a,10
1590.2b,10
1591.1a,5
1591.1Aa,4
1591.1Ab,4
1591.1b,5
1591.2a,3
1591.2Aa,6
1591.2Ab,6
1591.2b,5
1592.1a,10
1592.1b,10
1592.2a,20
1593.1a,0
1593.1b,0
1593.2a,5
1593.2b,5
1594.1a,6
1594.1b,6
1594.2a,5
1594.2b,5
1595.1a,0
1595.1b,0
1595.2a,3
1595.2b,3
1596.1a,8
1596.1b,8
1596.2a,5
1596.2b,5
1597.1a,4
1597.1b,4
1598.1a,4
1598.1b,4
1598.2a,3
1598.2b,3
1599.1a,2
1599.1b,2
1599.2a,0
1599.2b,0
1600.1a,0
1600.1b,0
1600.2a,3
1600.2b,3
1610.1a,25
1610.1b,25
1610.2a,0
1610.2b,0
1611.1a,0
1611.1b,0
1611.2b,12
1801.1a,4
1801.1b,4
1801.2a,30
1801.2b,30
1802.1a,12
1802.1b,12
1802.2a,12
1802.2b,12
1803.2b,10
1804.1b,10
1804.2a,0
1805.1a,39
1805.2a,30
1806.1a,10
1809.1a,0
1809.1b,0
1809.2a,20
1809.2b,20
1906.1a,5
1906.1b,5
1906.2a,5
1906.2b,5
1907.1a,3
1907.1b,3
1907.2a,10
1907.2b,10
1908.1a,2
1908.1b,2
1908.2a,4
1908.2b,4
1909.1a,8
1909.1b,8
1909.2a,5
1909.2b,5
1910.1a,4
1910.1b,4
1910.2a,4
1910.2b,4
1911.1a,4
1911.1b,4
1911.2a,6
1911.2b,6
1912.1a,20
1912.1b,20
1912.2a,6
1912.2b,6
1913.1a,0
1913.1b,0
1913.2a,12
1913.2b,12
NL1b,6
NL2a,2
NL3a,6
NL3b,6
