"","b0","wsu.soilT"
"Jan",-4.66320802452427,0.323736529081815
"Feb",-4.58343136125844,0.39605816310813
"Mar",-3.34286505701209,0.476241417585007
"Apr",-3.52867895968033,0.405268351792016
"May",-2.60666947511595,0.669032174583596
"Jun",-2.17000105412132,1.2181185538417
"Jul",1.13424528902106,0.832540512956172
"Aug",-0.169945781196752,0.944785623591221
"Sep",-0.978663010743779,0.936535942005412
"Oct",-2.20045300042882,1.10281758877751
"Nov",-2.35034301980635,0.526241993916475
"Dec",-3.08396195530736,0.507486992030336
