"","year","month","day","station_temp","dew_point","rel_humid","precip","pressure","datetime"
"1",2000,1,1,-33.6391304347826,-38.7454545454545,60.9130434782609,NA,100.845652173913,2000-01-01
"2",2000,1,2,-27.3416666666667,-36.075,53.2083333333333,NA,100.487083333333,2000-01-02
"3",2000,1,3,-23.5125,-28.6,54.5666666666667,NA,100.759625,2000-01-03
"4",2000,1,4,-24.2083333333333,-28.8333333333333,55.1208333333333,NA,100.809125,2000-01-04
"5",2000,1,5,-26.0979166666667,-33.7,54.9583333333333,NA,100.960833333333,2000-01-05
"6",2000,1,6,-23.8076923076923,-29.975,56.6089743589744,NA,100.909967948718,2000-01-06
"7",2000,1,7,-29.338141025641,-37.825,55.9326923076923,NA,100.716282051282,2000-01-07
"8",2000,1,8,-32.0729166666667,-38.14,54.375,NA,100.571875,2000-01-08
"9",2000,1,9,-18.9958333333333,-24.4333333333333,62.2083333333333,NA,99.30125,2000-01-09
"10",2000,1,10,-26.2666666666667,-32.0416666666667,58.2083333333333,NA,100.321666666667,2000-01-10
"11",2000,1,11,-32.3625,-38.0772727272727,57.2083333333333,NA,101.63375,2000-01-11
"12",2000,1,12,-32.225,-38.3857142857143,54.2916666666667,NA,102.15125,2000-01-12
"13",2000,1,13,-33.3375,-39.9434782608696,51.375,NA,102.975,2000-01-13
"14",2000,1,14,-33.9,-40.4041666666667,51.9166666666667,NA,102.24875,2000-01-14
"15",2000,1,15,-33.0708333333333,-39.7041666666667,51.5,NA,102.282083333333,2000-01-15
"16",2000,1,16,-26.3875,-33.5041666666667,51.1666666666667,NA,102.326666666667,2000-01-16
"17",2000,1,17,-24.5541666666667,-30.375,58.3333333333333,NA,101.61,2000-01-17
"18",2000,1,18,-25.5333333333333,-31.575,56.9166666666667,NA,101.51,2000-01-18
"19",2000,1,19,-30.3583333333333,-36.7,53.9583333333333,NA,101.448333333333,2000-01-19
"20",2000,1,20,-30.55,-36.7958333333333,54.3333333333333,NA,101.547083333333,2000-01-20
"21",2000,1,21,-32.0375,-38.1875,54.3333333333333,NA,101.540833333333,2000-01-21
"22",2000,1,22,-27.50625,-32.0434782608696,64.4166666666667,NA,101.267083333333,2000-01-22
"23",2000,1,23,-24.9333333333333,-28.9916666666667,68.8333333333333,NA,100.028333333333,2000-01-23
"24",2000,1,24,-27.4791666666667,-32.1458333333333,64.5,NA,101.059166666667,2000-01-24
"25",2000,1,25,-23.775,-28.575,64.5416666666667,NA,101.644166666667,2000-01-25
"26",2000,1,26,-21.275,-25.1875,70.7083333333333,NA,101.70375,2000-01-26
"27",2000,1,27,-18,-21.75,72.375,NA,101.455,2000-01-27
"28",2000,1,28,-8.1125,-12.8708333333333,68.8333333333333,NA,100.59125,2000-01-28
"29",2000,1,29,-3.86666666666667,-9.76666666666667,63.6666666666667,NA,100.580416666667,2000-01-29
"30",2000,1,30,-8.0375,-12.2791666666667,71.8333333333333,NA,100.445,2000-01-30
"31",2000,1,31,-17.4583333333333,-21.9833333333333,67.75,NA,101.920833333333,2000-01-31
"32",2000,2,1,-12.8875,-17.1041666666667,70.4583333333333,NA,100.747083333333,2000-02-01
"33",2000,2,2,-15.0833333333333,-19.1958333333333,71.125,NA,100.610833333333,2000-02-02
"34",2000,2,3,-13.2083333333333,-17.7375,68.75,NA,101.52875,2000-02-03
"35",2000,2,4,-13.3875,-17.6291666666667,70.3333333333333,NA,101.24625,2000-02-04
"36",2000,2,5,-19.50625,-24.8130434782609,63.2666666666667,NA,100.891666666667,2000-02-05
"37",2000,2,6,-24.1166666666667,-31.0380952380952,57.4833333333333,NA,101.480416666667,2000-02-06
"38",2000,2,7,-19.3958333333333,-24.4041666666667,64.5,NA,100.23625,2000-02-07
"39",2000,2,8,-27.3625,-32.4708333333333,61.875,NA,100.392916666667,2000-02-08
"40",2000,2,9,-28.0916666666667,-33.9875,56.9583333333333,NA,100.918333333333,2000-02-09
"41",2000,2,10,-24.6916666666667,-30.25,59.9166666666667,NA,100.481666666667,2000-02-10
"42",2000,2,11,-26.4041666666667,-32.0083333333333,59.125,NA,100.405833333333,2000-02-11
"43",2000,2,12,-29.7541666666667,-36,54.6666666666667,NA,101.396666666667,2000-02-12
"44",2000,2,13,-20.5291666666667,-27.0541666666667,55.9583333333333,NA,100.011666666667,2000-02-13
"45",2000,2,14,-26.3458333333333,-32.2708333333333,57.4166666666667,NA,99.835,2000-02-14
"46",2000,2,15,-31.3041666666667,-37.1,56.7083333333333,NA,101.245833333333,2000-02-15
"47",2000,2,16,-31.5916666666667,-37.9041666666667,53.7083333333333,NA,101.697083333333,2000-02-16
"48",2000,2,17,-29.6791666666667,-35.6375,56.5,NA,101.340416666667,2000-02-17
"49",2000,2,18,-30.2458333333333,-35.3695652173913,61.6041666666667,NA,101.480416666667,2000-02-18
"50",2000,2,19,-33.225,-38.5541666666667,58.7916666666667,NA,101.5175,2000-02-19
"51",2000,2,20,-31.1041666666667,-36.4083333333333,59.625,NA,101.584583333333,2000-02-20
"52",2000,2,21,-19.0833333333333,-24.8583333333333,60.5,NA,100.661666666667,2000-02-21
"53",2000,2,22,-12.225,-16.9291666666667,68.0416666666667,NA,99.9954166666667,2000-02-22
"54",2000,2,23,-20.3375,-25.4791666666667,63.4583333333333,NA,102.174583333333,2000-02-23
"55",2000,2,24,-11.1291666666667,-17.2708333333333,60.75,NA,101.407916666667,2000-02-24
"56",2000,2,25,-5.72083333333333,-10.5291666666667,69.3333333333333,NA,100.079583333333,2000-02-25
"57",2000,2,26,-13.6791666666667,-17.2125,74.5416666666667,NA,100.145833333333,2000-02-26
"58",2000,2,27,-15.0875,-19.0083333333333,71.875,NA,100.983333333333,2000-02-27
"59",2000,2,28,-12.0333333333333,-16.5708333333333,69.2083333333333,NA,100.8875,2000-02-28
"60",2000,2,29,-12.65,-18.1916666666667,63.25,NA,101.2175,2000-02-29
"61",2000,3,1,-8.74583333333333,-15.825,57.2083333333333,NA,101.241666666667,2000-03-01
"62",2000,3,2,-4.375,-7.40416666666667,79.5,NA,100.739166666667,2000-03-02
"63",2000,3,3,-6.50833333333333,-11.1708333333333,69.625,NA,99.8766666666667,2000-03-03
"64",2000,3,4,-12.1,-15.7458333333333,74.5,NA,100.5275,2000-03-04
"65",2000,3,5,-13.7083333333333,-16.6291666666667,78.5,NA,100.989166666667,2000-03-05
"66",2000,3,6,-17.2,-20.6375,74.625,NA,101.726666666667,2000-03-06
"67",2000,3,7,-24.1125,-28.6,66.375,NA,102.026666666667,2000-03-07
