series,pith.offset
1646.1a,0
1646.1b,0
1646.2a,10
1646.2b,10
1647.1a,5
1647.1b,5
1647.2a,0
1647.2b,0
1648.1a,3
1648.1b,3
1648.2a,6
1648.2b,6
1649.1a,6
1649.1b,6
1649.2a,10
1649.2b,10
1650.1a,10
1650.1b,10
1650.2a,12
1650.2b,12
1651.1a,8
1651.1b,8
1651.2a,10
1651.2b,10
1652.1a,5
1652.1b,5
1652.2a,4
1652.2b,4
1653.1a,3
1653.1b,3
1653.2a,2
1653.2b,2
1654.1a,5
1654.1b,5
1654.2a,0
1654.2b,0
1655.1a,0
1655.1b,0
1655.2a,2
1655.2b,2
1874.1a,0
1874.1b,0
1874.2a,0
1874.2b,0
1875.1a,2
1875.1b,2
1875.2a,4
1875.2b,4
1876.1a,2
1876.1b,2
1876.2a,1
1876.2b,1
1877.1a,2
1877.1b,2
1877.2a,0
1877.2b,0
1878.1a,4
1878.1b,4
1878.2a,0
1878.2b,0
1879.1a,3
1879.1b,3
1879.2a,0
1879.2b,0
1880.1a,0
1880.1b,0
1880.2a,0
1880.2b,0
1881.1a,3
1881.1b,3
1881.2a,4
1881.2b,4
1956.1a,2
1956.1b,2
1956.2a,2
1956.2b,2
1957.1a,0
1957.1b,0
1957.2a,2
1957.2b,2
1958.1a,0
1958.1b,0
1958.2a,0
1958.2b,0
1959.1a,4
1959.1b,4
1959.2a,3
1959.2b,3
1960.1a,0
1960.1b,0
1960.2a,0
1960.2b,0
1961.1a,2
1961.1b,2
1961.2a,3
1961.2b,3
1962.1a,5
1962.1b,5
1962.2a,4
1962.2b,4
1963.1a,0
1963.1b,0
1963.2a,2
1963.2b,2
1964.1a,2
1964.1b,2
1964.2a,4
1964.2b,4
1965.1a,0
1965.1b,0
1965.2a,0
1965.2b,0
1966.1a,0
1966.1b,0
1966.2a,1
1966.2b,1
1967.1a,5
1967.1b,5
1967.2a,2
1967.2b,2
1968.1a,3
1968.1b,3
1968.2a,0
1968.2b,0
1969.1a,0
1969.1b,0
1969.2a,0
1969.2b,0
1970.1a,4
1970.1b,4
1970.2a,6
1970.2b,6
1971.1a,0
1971.1b,0
1971.2a,3
1971.2b,3
1972.1a,8
1972.1b,8
1972.2a,10
1972.2b,10
1973.1a,15
1973.1b,15
1973.2a,5
1973.2b,5
1974.1a,6
1974.1b,6
1974.2a,10
1975.1a,4
1975.1b,4
1975.2b,8
1976.1a,5
1976.1b,5
1977.1a,14
1977.1b,14
1977.2a,6
1977.2b,6
1978.1a,2
1978.1b,2
1978.2a,0
1978.2b,0
1979.1a,12
1979.1b,12
1979.2a,6
1979.2b,6
1980.2a,4
1980.2b,4
1980.1a,0
1980.1b,0
1981.1a,3
1981.1b,3
1981.2a,0
1981.2b,0
1982.1a,2
1982.1b,2
1982.2a,6
1982.2b,6
1983.1a,0
1983.1b,0
1983.2a,5
1983.2b,5
980.1a,5
980.1b,5
980.2a,4
980.2b,4
981.1a,0
981.1b,0
981.2a,8
981.2b,8
982.1a,3
982.2a,6
982.2b,6
983.1a,5
983.1b,5
983.2b,3
984.1a,8
984.1b,8
984.2a,0
984.2b,0
985.1a,0
985.1b,0
985.2a,20
985.2b,20
986.1a,20
986.1b,20
986.2a,25
986.2b,25
987.1a,8
987.1b,8
987.2a,30
987.2b,30
