series,pith.offset
1560.1a,0
1560.1b,0
1560.2a,2
1560.2b,2
1561.1a,0
1561.1b,0
1561.2a,2
1561.2b,2
1562.1a,2
1562.1b,2
1562.2a,0
1562.2b,0
1563.1a,2
1563.1b,2
1563.2a,3
1563.2b,3
1564.1a,4
1564.1b,4
1564.2a,3
1564.2b,3
1565.1a,2
1565.1b,2
1565.2a,2
1565.2b,2
1566.1a,2
1566.1b,2
1566.2a,8
1566.2b,8
1567.1a,3
1567.1b,3
1567.2a,7
1567.2b,7
1568.1a,4
1568.1b,4
1568.2a,0
1568.2b,0
1569.1a,3
1569.1b,3
1569.2a,0
1569.2b,0
1570.1a,0
1570.1b,0
1570.2a,2
1570.2b,2
1571.1a,4
1571.1b,4
1571.2a,3
1571.2b,3
1572.1a,3
1572.1b,3
1573.1a,8
1573.1b,8
1573.2a,8
1573.2b,8
1574.1a,0
1574.1b,0
1574.2a,2
1574.2b,2
1575.1a,8
1575.1b,8
1575.2a,0
1576.2a,0
1576.2b,0
1612.1a,10
1612.1b,10
1612.2a,6
1612.2b,6
1613.1a,5
1613.1b,5
1613.2a,5
1613.2b,5
1614.1a,0
1614.1b,0
1614.2a,2
1614.2b,2
1615.1a,4
1615.1b,4
1615.2a,4
1615.2b,4
1616.1a,4
1616.1b,4
1616.2a,6
1616.2b,6
1617.1a,3
1617.1b,3
1617.2a,0
1617.2b,0
1618.1a,0
1618.1b,0
1618.2a,4
1618.2b,4
1619.1a,3
1619.1b,
1619.2a,2
1619.2b,2
1620.1a,3
1620.1b,3
1620.2a,4
1620.2b,4
1621.1a,
1621.1b,5
1621.2a,4
1621.2b,4
1622.1a,5
1622.1b,5
1622.2a,5
1622.2b,5
1623.2a,10
1623.2b,10
1624.1a,6
1624.1b,6
1624.2a,12
1837.1a,5
1837.1b,5
1837.2a,5
1837.2b,5
1838.1a,4
1838.1b,4
1838.2a,0
1838.2b,0
1914.1a,5
1914.1b,5
1914.2a,0
1914.2b,0
1915.1a,10
1915.1b,10
1915.2a,10
1915.2b,10
1916.1a,8
1916.1b,8
1916.2a,15
1916.2b,15
1917.1a,15
1917.1b,15
1917.2a,15
1917.2b,15
1919.1a,18
1919.1b,18
1919.2a,12
1919.2b,12
1920.1a,4
1920.1b,4
1920.2a,0
1920.2b,0
1920.3a,12
1920.3b,12
1921.1a,12
1921.1b,12
1921.2a,5
1921.2b,5
1922.1a,3
1922.1b,3
1923.1a,
1923.1b,
1923.2a,2
1923.2b,2
1924.1a,10
1924.1b,10
1924.2a,0
1924.2b,0
1925.1a,12
1925.1b,12
1925.2a,10
1925.2b,10
1926.1a,8
1926.1b,8
1926.2a,5
1926.2b,5
1927.1a,0
1927.1b,0
1927.2a,4
1927.2b,4
1928.1a,8
1928.1b,8
1929.1a,10
1929.1b,10
1929.2a,4
1929.2b,4
1930.1a,0
1930.1b,0
1930.2a,10
1930.2b,10
1931.1a,10
1931.1b,10
1931.2a,0
1931.2b,0
1932.1a,5
1932.1b,5
1932.2a,12
1932.2b,12
1933.1a,0
1933.1b,0
1933.2a,10
1933.2b,10
1934.1a,10
1934.1b,10
1934.2a,4
1934.2b,4
1935.2a,2
1935.2b,2
1936.1a,2
1936.1b,2
1936.2a,8
1936.2b,8
1937.1a,2
1937.1b,2
1937.2a,4
1937.2b,4
1938.1a,3
1938.1b,3
1938.2a,3
1938.2b,3
1939.1a,0
1939.1b,0
1939.2a,5
1939.2b,5
1940.1a,3
1940.1b,3
1940.2a,0
1940.2b,0
1941.1a,3
1941.1b,3
1941.2a,0
1941.2b,0
1942.1a,8
1942.1b,8
1942.2a,6
1942.2b,6
1943.1a,8
1943.1b,8
1943.2a,5
1943.2b,5
