Year,1845.1b,1845.1a,1845.2a,1845.2b,1847.1a,1847.1b,1847.2a,1847.2b,1848.1a,1848.1b,1848.2b,1848.2a,1953.1b,1953.1a,1953.2a,1953.2b,1955.1b,1955.1a,1955.2a,1955.2b,1839.1a,1839.1b,1839.2a,1839.2b,1841.1a,1841.1b,1842.1a,1842.1b,1842.2a,1842.2b,1843.1a,1843.1b,1843.2a,1843.2b,1844.1a,1844.1b,1559.1a,1559.1b,1559.2a,1559.2b,1558.1a,1558.1b,1558.2a,1558.2b,1557.1a,1557.1b,1557.2a,1557.2b,1850.1a,1850.1b,1850.2a,1850.2b,1555.1a,1555.1b,1555.2a,1555.2b,1554.1a,1554.1b,1553.1a,1553.1b,1553.2a,1553.2b,1554.2a,1554.2b,1552.1a,1552.1b,1552.2a,1552.2b,1556.1a,1556.1b,1556.2a,1556.2b
1997,0.183,0.108,0.124,0.065,0.541,,0.197,0.079,0.153,0.357,0.239,0.217,0.182,,0.037,0.099,0.208,0.874,0.557,0.689,0.05,0.58,0.407,0.201,0.855,0.076,0.862,0.106,0.411,0.237,0.728,0.446,0.781,0.43,0.143,0.396,0.5050001,0.376,0.511,0.39,0.358,0.281,0.601,0.456,0.173,0.58,0.105,0.303,0.293,0.388,0.218,0.43,0.185,0.479,0.189,0.22,0.351,0.153,0.408,0.294,0.394,0.434,0.102,0.342,0.617,0.235,0.488,0.346,0.574,0.786,0.388,1.113
1998,0.193,0.107,0.133,0.161,0.417,,0.194,0.074,0.135,0.283,0.154,0.18,0.173,,0.084,0.053,0.096,0.788,0.608,0.759,0.059,0.84,0.626,0.178,0.491,0.12,0.883,0.134,0.391,0.233,0.565,0.336,0.819,0.386,0.185,0.485,0.674,0.212,0.392,0.188,0.199,0.265,0.473,0.344,0.053,0.397,0.067,0.264,0.243,0.424,0.207,0.325,0.143,0.323,0.221,0.218,0.336,0.135,0.376,0.23,0.405,0.495,0.122,0.324,0.604,0.161,0.462,0.242,0.321,0.381,0.206,0.914
1999,0.24,0.101,0.166,0.129,0.518,,0.283,0.099,0.137,0.272,0.254,0.142,0.17,,0.06,0.062,0.13,0.762,0.743,0.917,0.133,1.034,0.978,0.151,0.675,0.138,1.04,0.165,0.349,0.215,1.008,0.276,1.013,0.328,0.264,0.452,0.718,0.23,0.38,0.277,0.27,0.354,0.574,0.326,0.06600001,0.456,0.088,0.248,0.299,0.425,0.343,0.333,0.206,0.318,0.214,0.184,0.336,0.201,0.507,0.216,0.594,0.545,0.115,0.498,0.708,0.167,0.549,0.359,0.53,0.6760001,0.367,1.128
2000,0.251,0.108,0.229,0.16,0.7320001,,0.266,0.105,0.131,0.327,0.248,0.179,0.112,,0.03,0.088,0.119,0.824,0.688,0.775,0.118,0.7780001,0.8890001,0.199,0.936,0.183,0.842,0.142,0.339,0.416,0.72,0.435,0.993,0.321,0.16,0.455,0.7,0.223,0.44,0.273,0.187,0.312,0.393,0.161,0.078,0.438,0.055,0.259,0.299,0.516,0.347,0.404,0.169,0.42,0.169,0.241,0.271,0.129,0.347,0.167,0.357,0.353,0.106,0.337,0.484,0.192,0.442,0.243,0.533,0.629,0.231,1.288
2001,0.288,0.072,0.203,0.117,0.7090001,,0.267,0.093,0.119,0.304,0.25,0.189,0.074,,0.063,0.115,0.159,0.726,0.751,0.786,0.142,0.7550001,0.695,0.109,1.112,0.069,0.706,0.105,0.286,0.313,0.936,0.333,1.004,0.41,0.213,0.407,0.726,0.282,0.471,0.363,0.321,0.44,0.533,0.321,0.059,0.51,0.085,0.294,0.289,0.488,0.261,0.475,0.166,0.328,0.198,0.142,0.336,0.165,0.491,0.23,0.585,0.491,0.107,0.378,0.667,0.265,0.541,0.304,0.65,0.823,0.267,1.291
2002,0.275,0.06600001,0.214,0.121,0.718,,0.262,0.124,0.16,0.334,0.249,0.127,0.056,,0.049,0.15,0.115,0.714,0.693,0.979,0.406,0.759,0.445,0.166,0.763,0.118,0.689,0.15,0.259,0.294,0.963,0.387,1.176,0.454,0.251,0.337,0.576,0.304,0.476,0.345,0.462,0.325,0.431,0.257,0.071,0.314,0.114,0.314,0.342,0.524,0.329,0.413,0.199,0.237,0.211,0.119,0.329,0.218,0.416,0.258,0.471,0.271,0.118,0.376,0.485,0.221,0.378,0.225,0.609,0.795,0.41,0.841
2003,0.193,0.089,0.201,0.109,0.7550001,,0.193,0.084,0.09100001,0.31,0.136,0.111,0.06600001,,0.045,0.13,0.185,0.64,0.562,0.804,0.199,0.848,0.527,,0.933,0.054,1.029,0.152,0.283,0.294,0.894,0.43,0.877,0.506,0.2,0.316,0.705,0.233,0.452,0.229,0.424,0.357,0.439,0.265,0.092,0.34,0.055,0.199,0.222,0.418,0.193,0.489,0.154,0.334,0.177,0.176,0.231,0.123,0.273,0.263,0.438,0.213,0.095,0.222,0.453,0.196,0.387,0.229,0.464,0.5280001,0.322,0.56
2004,0.18,0.075,0.185,0.093,0.688,,0.238,0.105,0.095,0.262,0.182,0.06600001,0.064,,0.053,0.16,0.17,0.345,0.516,0.641,0.149,0.667,0.475,,0.6530001,0.071,0.862,0.12,0.269,0.225,0.568,0.329,0.808,0.411,0.156,0.227,0.705,0.309,0.39,0.286,0.282,0.397,0.404,0.271,0.173,0.324,0.055,0.26,0.303,0.443,0.2,0.33,0.105,0.159,0.137,0.14,0.21,0.089,0.296,0.254,0.298,0.313,0.095,0.253,0.478,0.178,0.357,0.17,0.506,0.438,0.234,0.64
2005,0.217,0.107,0.275,0.06,0.647,,0.257,0.177,0.137,0.225,0.202,0.056,0.1,,0.045,0.06600001,0.298,0.336,0.406,0.535,0.312,0.387,0.554,,0.898,0.053,0.745,0.138,0.271,0.228,0.582,0.323,0.785,0.531,0.167,0.244,0.855,0.371,0.546,0.297,0.388,0.492,0.433,0.46,0.079,0.466,0.06600001,0.31,0.396,0.56,0.24,0.752,0.174,0.225,0.176,0.195,0.242,0.116,0.434,0.333,0.423,0.351,0.128,0.359,0.535,0.223,0.463,0.242,0.374,0.506,0.288,0.664
2006,0.214,0.093,0.278,0.086,0.69,,0.214,0.123,0.125,0.26,0.179,0.149,0.095,,0.051,0.068,0.596,0.486,0.547,0.844,0.186,0.355,0.417,,0.841,0.042,0.725,0.115,0.288,0.147,0.467,0.452,0.913,0.503,0.107,0.232,0.917,0.385,0.667,0.417,0.343,0.483,0.438,0.263,0.361,0.305,0.063,0.25,0.336,0.462,0.226,0.36,0.135,0.231,0.166,0.136,0.254,0.098,0.375,0.31,0.567,0.393,0.088,0.384,0.436,0.176,0.268,0.193,0.45,0.465,0.377,0.561
2007,0.191,0.103,0.242,0.118,0.737,,0.342,0.126,0.09100001,0.328,0.141,0.118,0.059,,0.068,0.048,0.734,1.434,0.515,1.129,0.143,0.536,0.334,,0.84,0.047,0.472,0.115,0.216,0.185,0.523,0.338,0.816,0.549,0.144,0.227,0.7,0.252,0.572,0.315,0.436,0.496,0.467,0.28,0.332,0.241,0.057,0.153,0.311,0.406,0.203,0.317,0.152,0.153,0.174,0.11,0.212,0.105,0.377,0.263,0.554,0.322,0.068,0.314,0.464,0.139,0.332,0.146,0.468,0.446,0.485,0.605
2008,0.233,0.081,0.22,0.164,0.909,,0.23,0.116,0.131,0.338,0.144,0.099,0.07,,0.052,0.075,0.658,2.144,0.51,1.167,0.184,0.674,0.337,,0.805,0.049,0.65,0.085,0.165,0.152,0.578,0.49,0.777,0.54,0.109,0.224,0.773,0.299,0.776,0.347,0.541,0.548,0.458,0.385,0.123,0.26,0.04,0.245,0.23,0.423,0.217,0.316,0.246,0.194,0.168,0.164,0.263,0.105,0.425,0.35,0.613,0.355,0.119,0.254,0.543,0.193,0.421,0.184,0.426,0.5280001,0.427,0.9020001
2009,0.143,,0.256,0.095,0.705,,0.129,0.071,0.112,0.258,0.117,0.122,0.096,,0.05,0.076,0.503,1.293,0.444,1.372,0.132,0.615,0.18,,0.859,0.048,0.397,0.058,0.26,0.143,0.434,0.384,0.573,0.381,0.059,0.245,0.669,0.256,0.461,0.213,0.411,0.306,0.426,0.281,0.134,0.231,0.052,0.217,0.229,0.258,0.19,0.25,0.211,0.116,0.159,0.178,0.189,0.083,0.31,0.18,0.367,0.264,0.092,0.245,0.495,0.167,0.427,0.202,0.422,0.424,0.279,0.724
2010,0.193,,0.397,0.09,0.954,,0.23,0.134,0.198,0.263,0.164,0.097,0.124,,0.089,0.17,0.581,2.936,0.444,1.318,0.203,0.668,0.362,,0.564,0.089,0.7320001,0.104,0.158,0.37,0.526,0.394,0.753,0.446,0.122,0.221,0.916,0.413,0.527,0.378,0.8010001,0.303,0.594,0.444,0.09,0.346,0.075,0.39,0.383,0.382,0.276,0.329,0.215,0.231,0.171,0.162,0.283,0.131,0.423,0.268,0.351,0.259,0.159,0.28,0.683,0.351,0.493,0.413,0.461,0.645,0.249,0.774
