,Values,,,
Row Labels,Average of TI_0,Average of TI150,Average of FI_0,Average of FI150
BP,1.00,0.01,0.55,0.10
D2,0.99,0.00,0.46,0.24
D6,0.81,0.31,0.22,0.12
GF,0.95,0.00,0.64,0.14
HF,1.08,0.00,0.61,0.20
Grand Total,0.971869688,0.049631728,0.495580737,0.156175637
