year,site,elev,lat,lon,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU,late.tdd,total.tdd,late.fdd,total.fdd
1992,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,48.75,1.21,1.02,0.91,0,0.37,0.3,0.26,0.64,-382.8,-8.5,3.4,-5.99,5.13,-2.83,-1.69,208.92,232.99,837.99,841.75,-1485.10,-1500.42
1993,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,44,0.9,0.68,0.49,0,0.42,0.41,0.4,0.27,-388.12,-12.06,5.58,-9.25,5.06,-4.27,-2.2,145.06,226.27,799.33,840.55,-2262.42,-2293.32
1994,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,48.5,0.69,0.93,0.77,0,0.51,0.37,0.34,0.23,-310.82,-12.34,6.82,-7.06,7.1,-2.75,-1.6,163.77,234.93,1054.81,1094.86,-1787.20,-1794.47
1995,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,50.75,1.02,0.93,0.67,0,0.52,0.5,0.47,0.22,-494.91,-12.14,6.7,-7.54,6.7,-3.57,-1.92,161.37,221.15,927.27,1028.85,-1941.67,-1942.55
1996,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,38.25,0.42,1.32,0.83,0,0.1,0.36,0.33,0.29,-351.52,-15.41,4.47,-6.65,4.78,-3.05,-2.03,163.84,282.76,793.04,839.96,-1652.44,-1707.79
1997,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,50,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,-422.81,-14,6.12,-7.05,6.25,-2.84,-1.6,143.98,299.67,894.23,977.29,-1769.86,-1790.71
1998,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,57.75,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,-301,-11.75,6.31,-4.78,5.97,-1.82,-0.98,146.44,224.76,912.88,932.33,-1261.28,-1277.23
1999,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,50.75,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,-336.35,-13.95,4.48,-5.94,4.11,-2.19,-1.34,147.26,251.65,691.62,691.62,-1438.42,-1472.28
2000,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,53.75,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,-446.42,-11.93,4.5,-6.85,4.58,-2.81,-1.7,147.52,280.7,710.46,741.70,-1712.04,-1717.73
2001,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,53.25,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,-369.43,-11.42,5.33,-6.78,5.63,-2.84,-1.6,149.73,265.14,829.09,875.05,-1657.30,-1658.07
2002,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,56.25,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,-51.01,-13.3,5.27,-7.27,5.31,-2.86,-1.58,136.31,298.3,819.31,868.12,-1828.82,-1859.89
2003,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,58,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,-283.24,-11.18,5.07,-4.94,5.96,-2.01,-1.23,162.05,258.91,910.47,957.77,-1277.23,-1294.92
2004,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,60.25,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,-324.35,-11.87,5.84,-8.39,6.72,-3.89,-1.86,171.87,203.35,1102.54,1103.09,-2166.67,-2180.78
2005,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,69.5,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,-148.86,-11.25,5.98,-3.49,6.86,-1.52,-0.96,226.58,198.48,1001.67,1054.89,-983.72,-987.58
2006,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,60.75,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,-426.16,-11.83,6.02,-7.07,6.87,-2.96,-1.59,150.69,177.95,1021.51,1076.79,-1854.12,-1861.66
2007,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,75,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,-323.17,-14.16,5.92,-6.92,6.23,-2.33,-1.55,138.84,183.21,938.63,994.77,-1718.12,-1727.13
2008,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,64,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,-536.85,-13.25,5.34,-6.99,6.1,-3.08,-1.56,122.06,224.87,882.33,950.26,-1817.92,-1832.34
2009,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,54.75,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,-540.3,-14.5,6.26,-10.27,6.52,-3.27,-1.64,125.54,194.42,973.84,1028.88,-2557.92,-2570.49
2010,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,74.75,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,-446.61,-10.82,6.47,-7.05,7.23,-3.01,-1.35,95.17,186.17,1083.72,1114.75,-1912.83,-1918.72
2011,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,68.5,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,-202.24,-13.85,5.97,-3.83,5.05,-1.38,-1.19,149.01,229.28,754.06,802.38,-954.75,-959.50
2012,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,70.75,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,-468.64,-12.23,5.59,-6.85,5.78,-2.8,-1.42,170.87,218.64,863.28,896.02,-1725.15,-1734.24
2013,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,73,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,-348.24,-14.47,5.74,-8.85,6.06,-1.76,-0.92,139.47,250.89,867.07,949.49,-2187.98,-2191.43
2014,D2,1475,63.266397,-130.100634,3.7,0,1.58,0.28,4.78,78.25,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,-588.91,-13.36,6.12,-9.47,5.95,-4.39,-2.19,186.05,277.7,862.81,899.38,-2368.39,-2374.85
1997,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,82.33,0.85,0.86,0.91,0.31,0.21,0.21,0.19,0.12,-82.42,-14.17,6.46,-2.05,5.85,-0.65,-0.38,143.98,299.67,803.86,897.05,-543.19,-545.58
1998,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,89.67,0.68,0.73,0.56,0.23,0.22,0.22,0.18,0.07,10.49,-11.24,6.57,-1.51,5.04,-0.25,-0.21,146.44,224.76,742.99,775.65,-439.31,-442.08
1999,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,66.33,0.74,0.87,0.68,0.15,0.16,0.18,0.15,0.15,-153.17,-13.53,5.88,-2.42,4.82,-0.42,-0.36,147.26,251.65,691.57,742.48,-593.58,-593.89
2000,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,77.67,0.75,0.97,0.73,0.22,0.21,0.23,0.2,0.12,-97.41,-11.26,4.93,-2,4.5,-0.3,-0.32,147.52,280.7,677.22,699.86,-506.46,-506.46
2001,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,85.33,0.82,0.98,0.76,0.27,0.1,0.11,0.09,0.06,-6.81,-10.82,5.8,-2.22,4.85,-0.43,-0.37,149.73,265.14,702.41,760.87,-536.91,-537.21
2002,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,70,0.85,0.81,0.61,0.28,0.32,0.37,0.32,0.19,-200.05,-13.82,5.3,-3.26,5.27,-0.6,-0.49,136.31,298.3,753.20,826.09,-828.56,-831.48
2003,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,86,0.98,1.31,1.01,0.11,0.23,0.25,0.22,0.11,-97.17,-10.99,5.3,-1.8,6.08,-0.29,-0.27,162.05,258.91,884.73,947.08,-468.98,-479.99
2004,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,91.67,0.94,1.07,1.21,0.56,0.27,0.29,0.26,0.14,-39.41,-11.58,6.36,-2.81,8.03,-0.59,-0.39,171.87,203.35,1257.10,1261.35,-790.80,-799.98
2005,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,92.33,0.39,0.4,0.51,0.16,0.28,0.28,0.27,0.12,-59.59,-10.94,6.44,-1.51,7.93,-0.22,-0.37,226.58,198.48,1147.65,1215.53,-536.73,-537.46
2006,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,83.33,1.1,1.06,1.07,0.63,0.16,0.15,0.14,0.05,61.35,-11.63,6.45,-1.98,6.77,-0.42,-0.44,150.69,177.95,984.96,1047.71,-562.16,-564.58
2007,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,94,1.13,1.19,0.55,0.35,0.21,0.23,0.21,0.1,-31.17,-13.92,6.38,-3.24,7.52,-0.45,-0.33,138.84,183.21,1085.65,1157.27,-832.90,-833.33
2008,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,98,0.47,0.53,0.46,0.32,0.17,0.18,0.16,0.06,111.46,-13.04,5.69,-2.78,6.96,-0.39,-0.33,122.06,224.87,986.42,1069.19,-774.05,-774.40
2009,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,89.67,1.14,1.38,0.79,0.3,0.29,0.3,0.28,0.18,-79.7,-14.98,6.07,-2.83,5.98,-0.34,-0.37,125.54,194.42,870.24,919.94,-744.87,-744.87
2010,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,102,0.21,0.31,0.25,0.27,0.12,0.14,0.12,0.13,41.59,-10.95,6.33,-0.87,1.95,-0.43,-0.38,95.17,186.17,1023.72,1024.75,-216.33,-216.33
2011,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,102.67,0.88,0.52,0.38,0.34,0.04,0.04,0.04,0.04,70.55,-14.25,5.94,-0.71,5.74,-0.39,-0.24,149.01,229.28,824.37,886.59,-214.04,-214.62
2012,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,99,0.43,0.48,0.66,0.56,0.11,0.12,0.06,0.08,222.52,-11.65,5.72,-1.63,6.19,-0.54,-0.24,170.87,218.64,920.98,958.27,-430.81,-439.49
2013,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,81.33,1.07,0.93,0.73,0.07,0.66,0.61,0.53,0.13,-289.54,-14.47,5.77,-8.85,5.96,-0.45,-0.23,139.47,250.89,860.00,933.46,-427.98,-436.98
2014,D6,1475,63.266735,-130.097779,4.2,0,1.86,0.48,4.7,96.67,1.07,1.18,0.73,0.51,0.27,0.29,0.19,0.25,-62.82,-13.09,6.77,-2.08,7.48,-1.64,-0.14,186.05,277.7,1015.86,1052.44,-620.72,-620.72
1992,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,65,0.82,0.86,0.87,0,0.77,0.45,0.45,0.28,-315.3,-13.18,2.1,-10.4,1.52,-1.99,-1.06,208.92,232.99,531.02,531.02,-2612.04,-2805.10
1993,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,62.5,0.81,1.03,1.02,0,0.74,0.46,0.46,0.16,-240.88,-12.95,4.48,-10.3,2.9,-1.9,-0.81,145.06,226.27,585.11,594.81,-2690.87,-2785.99
1994,GF,1621,63.400222,-129.665567,2.2,0,0.9,1.01,4.5,87.5,0.79,0.93,0.92,0,0.97,0.67,0.67,0.21,-298.05,-13.03,5.56,-11.12,3.76,-2.17,-0.9,163.77,234.93,729.83,730.74,-2782.26,-2885.75
