year,thaw.a,thaw.b
1992,60,64
1993,69,61
1994,61,63
1995,51,61
1996,51,54
1997,54,49
1998,49,64
1999,50,50
2000,62,54
2001,52,74
2002,57,51
2003,65,56
2004,47,53
2005,54,53
2006,51,62
2007,45,62
2008,45,51
2009,43,54
2010,43,67
2011,45,58
2012,48,66
2013,51,53
2014,62,72
