year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1997,0.85,0.91,0.31,0.21,0.19,0.12,-14.17,6.46,-2.05,5.85,-0.65,-0.38,143.98,299.67
1998,0.68,0.56,0.23,0.22,0.18,0.07,-11.24,6.57,-1.51,5.04,-0.25,-0.21,146.44,224.76
1999,0.74,0.68,0.15,0.16,0.15,0.15,-13.53,5.88,-2.42,4.82,-0.42,-0.36,147.26,251.65
2000,0.75,0.73,0.22,0.21,0.20,0.12,-11.26,4.93,-2.00,4.50,-0.30,-0.32,147.52,280.70
2001,0.82,0.76,0.27,0.10,0.09,0.06,-10.82,5.80,-2.22,4.85,-0.43,-0.37,149.73,265.14
2002,0.85,0.61,0.28,0.32,0.32,0.19,-13.82,5.30,-3.26,5.27,-0.60,-0.49,136.31,298.30
2003,0.98,1.01,0.11,0.23,0.22,0.11,-10.99,5.30,-1.80,6.08,-0.29,-0.27,162.05,258.91
2004,0.94,1.21,0.56,0.27,0.26,0.14,-11.58,6.36,-2.81,8.03,-0.59,-0.39,171.87,203.35
2005,0.39,0.51,0.16,0.28,0.27,0.12,-10.94,6.44,-1.51,7.93,-0.22,-0.37,226.58,198.48
2006,1.10,1.07,0.63,0.16,0.14,0.05,-11.63,6.45,-1.98,6.77,-0.42,-0.44,150.69,177.95
2007,1.13,0.55,0.35,0.21,0.21,0.10,-13.92,6.38,-3.24,7.52,-0.45,-0.33,138.84,183.21
2008,0.47,0.46,0.32,0.17,0.16,0.06,-13.04,5.69,-2.78,6.96,-0.39,-0.33,122.06,224.87
2009,1.14,0.79,0.30,0.29,0.28,0.18,-14.98,6.07,-2.83,5.98,-0.34,-0.37,125.54,194.42
2010,0.21,0.25,0.27,0.12,0.12,0.13,-10.95,6.33,-0.87,1.95,-0.43,-0.38,95.17,186.17
2011,0.88,0.38,0.34,0.04,0.04,0.04,-14.25,5.94,-0.71,5.74,-0.39,-0.24,149.01,229.28
2012,0.43,0.66,0.56,0.11,0.06,0.08,-11.65,5.72,-1.63,6.19,-0.54,-0.24,170.87,218.64
2013,1.07,0.73,0.07,0.66,0.53,0.13,-14.47,5.77,-8.85,5.96,-0.45,-0.23,139.47,250.89
2014,1.07,0.73,0.51,0.27,0.19,0.25,-13.09,6.77,-2.08,7.48,-1.64,-0.14,186.05,277.70
