year,thaw.a,thaw.b,thaw.c,thaw.d
1992,50,50,45,50
1993,45,45,40,46
1994,49,51,44,50
1995,49,51,54,49
1996,39,39,33,42
1997,49,53,51,47
1998,55,57,65,54
1999,51,50,52,50
2000,56,49,60,50
2001,57,48,58,50
2002,51,49,71,54
2003,59,51,69,53
2004,57,52,77,55
2005,63,58,98,59
2006,55,54,78,56
2007,55,57,121,67
2008,58,54,86,58
2009,68,57,46,48
2010,58,65,112,64
2011,53,68,93,60
2012,56,69,97,61
2013,57,53,116,66
2014,56,73,118,66
