year,thaw.a,thaw.b
1992,66,64
1993,55,70
1994,65,110
1995,63,75
1996,61,64
1997,77,92
1998,75,121
1999,57,102
2000,52,113
2001,80,112
2002,72,91
2003,76,95
2004,83,120
2005,96,111
2006,104,144
2007,122,109
2008,100,115
2009,110,47
2010,96,76
2011,109,83
2012,117,90
2013,87,98
2014,120,95
