Temperature,cru.annual,ec.annual,bp.annual,hf.annual,d2.annual,d6.annual,gf.annual,cru.cold,ec.cold,bp.cold,hf.cold,d2.cold,d6.cold,gf.cold,cru.warm,ec.warm,bp.warm,hf.warm,d2.warm,d6.warm,gf.warm,pre.warm,pre.cold,pre.annual,bp.cst.0,hf.cst.0,gf.cst.0,d2.cst.0,d6.cst.0,bp.wst.0,hf.wst.0,gf.wst.0,d2.wst.0,d6.wst.0,bp.cst.150,hf.cst.150,gf.cst.150,d2.cst.150,d6.cst.150,bp.wst.150,hf.wst.150,gf.wst.150,d2.wst.150,d6.wst.150
2006,-5.780370417,-5.873671032,-6.69788398,-7.058006969,-7.003646153,-6.399932448,-6.631058282,-13.32821525,-11.51127339,-12.69724398,-12.85122918,-11.82534132,-11.63135078,-12.12960821,10.340546,8.050809398,8.265851075,7.647239297,7.119436828,7.411459588,6.21929086,215.83124,227.62503,456.24226,-5.796487744,-7.240032478,-7.806643691,-8.707009897,-2.612087185,8.641750806,8.564935061,7.358402957,7.485303763,7.854084878,-0.571142693,-1.243828253,-0.98362325,-2.891440805,-0.365441142,-0.199021505,-0.580660654,-0.468914247,-1.140747312,-0.35131149
2007,-4.844012083,-5.966558608,-6.711914708,-6.774233348,-7.468511265,-6.377584306,-6.680475781,-12.67854075,-13.79516248,-14.92625536,-15.06283397,-14.15877012,-13.92399904,-14.49215373,10.066054,7.877396734,7.956829301,8.1600223,6.980022581,7.290933871,6.109292473,247.78355,250.67977,484.57844,-6.732744569,-8.032686131,-10.24158723,-7.96122065,-3.917223491,8.629791935,8.7776443,6.969007527,7.696508602,9.018753226,-1.070512629,-2.158165756,-1.760674457,-2.182993472,-0.425267692,-0.280482796,-0.553750759,-0.622745968,-1.083379839,-0.26229859
2008,-5.38060025,-6.523694804,-8.50489908,-8.742005934,-7.655631152,-6.93743553,-7.105178779,-12.54106275,-12.47113346,-15.07043222,-15.42873082,-13.25149648,-13.03714725,-13.645206,9.62968,6.792930959,6.25909627,6.298493732,5.963667101,6.214079301,4.81463414,238.02085,236.17766,494.00777,-6.693077372,-7.849469765,-7.413193813,-8.550148361,-3.652018656,7.023885303,7.090536828,6.049322849,6.65016586,7.869733871,-1.010212736,-1.889787219,-1.147478797,-3.074280041,-0.352083427,-0.469373157,-0.612704032,-0.541117204,-1.158796984,-0.254422746
2009,-6.023152,-6.239833819,-7.030337513,-7.175394739,-7.121558897,-6.943729087,-6.705114918,-13.54736538,-14.43818635,-15.5997006,-15.9550034,-14.49771532,-14.97733811,-14.5294183,10.071419,8.400411155,8.407653454,8.623214516,7.447349868,7.461150257,6.665363401,209.10539,251.06143,432.27942,-7.410720218,-9.124230305,-10.57338192,-11.91313009,-3.529244273,9.219798303,8.949543172,6.455388937,7.852963172,8.966109192,-0.949973733,-2.338191124,-1.566187854,-3.233433344,-0.281893152,-0.36639646,-0.685455376,-0.540405289,-1.149073978,-0.280852909
2010,-5.53313875,-4.774544801,-5.601694378,-5.72904824,-6.235086865,-5.446140329,-5.275253898,-13.64897138,-10.49886145,-11.57140441,-11.81255905,-10.81934362,-10.95195888,-11.85704264,9.94963175,7.984856062,7.910271677,8.045782258,7.229162903,7.192855914,6.055699475,231.69151,208.31282,444.65036,-6.296525083,-7.428435193,-9.618240055,-8.980574874,-1.006447696,8.674914564,8.571543838,6.107610553,7.421541398,7.409462366,-0.936040964,-1.646837042,-1.617412018,-3.060352414,-0.398883533,-0.387197065,-0.502687097,-0.615097363,-1.026639785,-0.317588747
2011,-4.909776833,-6.329599187,-6.792796986,-6.929179455,-7.298389214,-6.630968094,-6.579151577,-12.81915975,-14.00888299,-14.76816178,-15.09644727,-13.84815186,-14.24931667,-14.22879124,10.13830225,7.448458811,7.653304533,7.820465591,6.63673438,6.853258353,5.701594616,235.77903,230.096,473.80638,-7.247048269,-7.011384705,-10.50707715,-9.376804619,-0.944408975,8.362403671,7.854638395,6.138723736,6.283564454,6.940675874,-0.94532932,-1.079085769,-1.610475631,-1.262894316,-0.366319202,-0.321838211,-0.40465457,-0.569946082,-0.943594204,-0.159747224
2012,-5.500814917,-6.837166012,-7.500208721,-7.70097085,-7.818678186,-6.244366178,-6.485886414,-12.69030663,-12.24633027,-12.97439593,-13.22771434,-12.22522951,-11.654808,-13.0724611,10.279446,8.070810098,8.222757337,8.319805914,6.458201485,6.465770968,6.092801613,245.3322,240.27286,483.86139,-6.605262638,-7.14298563,-5.382268526,-8.110974233,-2.019192759,8.879031942,8.157491935,6.383169355,6.709855286,7.677277977,-0.925928923,-1.444269538,-0.716148811,-1.708986674,-0.57914322,-0.302416571,-0.425579301,-0.339388172,-0.985285584,-0.241807184
2013,-5.201777667,-6.092768218,-6.670375946,-6.882050852,-7.115207463,-7.331330543,-7.390355268,-13.74032325,-15.12619586,-16.13712243,-16.60066306,-14.47254386,-14.47254386,-15.48200004,10.256192,9.235445299,9.227089907,9.431622215,7.047950402,7.085830221,7.539576075,227.16127,239.7301,492.55199,-7.633385809,-8.045166491,-8.701790312,-10.25590454,-3.042589419,9.799782307,9.203859842,7.637969892,7.321944115,8.095857599,-1.107037722,-1.592425192,-1.188074303,-1.768885824,-0.474020136,-0.226219317,-0.415182246,-0.412137903,-0.732836541,-0.212839409
2014,-5.056687667,-4.893884871,-5.853195084,-6.016505914,-6.157218356,-6.349505504,-5.809330082,-12.30645338,-12.59004508,-13.91395609,-14.24836075,-13.35550588,-13.08915315,-13.64518197,10.01238475,7.744129209,7.727765054,7.949862903,6.706544624,7.17078414,5.941097312,238.87224,270.99217,485.1247,-7.754302671,-6.796845194,-9.952942155,-11.20494187,-2.945632093,8.356106577,8.354787097,6.247204032,6.514727957,7.021372581,-1.172880076,-1.771844366,-1.517933761,-1.366866634,-0.836325013,-0.215606989,-0.655246617,-0.518425538,-0.614945161,-0.116292708
2015,,-4.397896798,,,,,,,-10.39687212,,,,,,,,,,,,,,,,-6.236136922,-3.799271685,-3.062478853,-2.81381682,-0.32791614,,,,,,-0.529061521,-0.490393397,-0.68521147,-0.8145193,-0.643103274,,,,,
