year,TI_0,TI5_0,TI150,FI_0,FI5_0,FI150,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
1997,0.85,0.91,0.31,0.21,0.19,0.12,0.81,6.46,6.8,5.85,0.99,0.11,143.98,299.67
1998,0.68,0.56,0.23,0.22,0.18,0.07,3.74,6.57,7.34,5.04,1.39,0.28,146.44,224.76
1999,0.74,0.68,0.15,0.16,0.15,0.15,1.45,5.88,6.43,4.82,1.22,0.13,147.26,251.65
2000,0.75,0.73,0.22,0.21,0.2,0.12,3.72,4.93,6.85,4.5,1.34,0.17,147.52,280.7
2001,0.82,0.76,0.27,0.1,0.09,0.06,4.16,5.8,6.63,4.85,1.21,0.12,149.73,265.14
2002,0.85,0.61,0.28,0.32,0.32,0.19,1.16,5.3,5.59,5.27,1.04,0,136.31,298.3
2003,0.98,1.01,0.11,0.23,0.22,0.11,3.99,5.3,7.05,6.08,1.35,0.22,162.05,258.91
2004,0.94,1.21,0.56,0.27,0.26,0.14,3.4,6.36,6.04,8.03,1.05,0.1,171.87,203.35
2005,0.39,0.51,0.16,0.28,0.27,0.12,4.04,6.44,7.34,7.93,1.42,0.12,226.58,198.48
2006,1.1,1.07,0.63,0.16,0.14,0.05,3.35,6.45,6.87,6.77,1.22,0.05,150.69,177.95
2007,1.13,0.55,0.35,0.21,0.21,0.1,1.06,6.38,5.61,7.52,1.19,0.16,138.84,183.21
2008,0.47,0.46,0.32,0.17,0.16,0.06,1.94,5.69,6.07,6.96,1.25,0.16,122.06,224.87
2009,1.14,0.79,0.3,0.29,0.28,0.18,0,6.07,6.02,5.98,1.3,0.12,125.54,194.42
2010,0.21,0.25,0.27,0.12,0.12,0.13,4.03,6.33,7.98,1.95,1.21,0.11,95.17,186.17
2011,0.88,0.38,0.34,0.04,0.04,0.04,0.73,5.94,8.14,5.74,1.25,0.25,149.01,229.28
2012,0.43,0.66,0.56,0.11,0.06,0.08,3.33,5.72,7.22,6.19,1.1,0.25,170.87,218.64
2013,1.07,0.73,0.07,0.66,0.53,0.13,0.51,5.77,0,5.96,1.19,0.26,139.47,250.89
2014,1.07,0.73,0.51,0.27,0.19,0.25,1.89,6.77,6.77,7.48,0,0.35,186.05,277.7
