year,HF,GF,D6,D2,BP
1992,62,65,,49,56
1993,65,63,,44,50
1994,62,88,,49,55
1995,56,69,,51,53
1996,53,63,,38,48
1997,52,85,82,50,55
1998,57,98,90,58,58
1999,50,80,66,51,53
2000,58,83,78,54,49
2001,63,96,85,53,55
2002,54,82,70,56,54
2003,61,86,86,58,55
2004,50,102,92,60,54
2005,54,104,92,70,59
2006,57,124,83,61,59
2007,54,116,94,75,61
2008,48,108,98,64,53
2009,49,79,90,55,53
2010,55,86,102,75,64
2011,52,96,103,69,64
2012,57,104,99,71,65
2013,52,93,81,73,64
2014,67,108,97,78,69
