year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,FI_0,CSP_CRU,WSP_CRU,late.TDD,total.TDD,late.FDD,total.FDD
1993,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,55,0.81,0.74,145.06,226.27,585,595,-2691,-2786
1994,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,65,0.79,0.97,163.77,234.93,730,731,-2782,-2886
1995,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,63,0.58,0.79,161.37,221.15,568,623,-2621,-2655
1996,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,61,0.72,0.76,163.84,282.76,459,498,-2943,-3007
1997,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,77,1.01,0.58,143.98,299.67,804,884,-2417,-2432
1998,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,75,1.23,0.70,146.44,224.76,919,945,-1951,-1973
1999,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,57,0.96,0.64,147.26,251.65,725,760,-2094,-2127
2000,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,52,1.32,0.58,147.52,280.70,642,649,-2020,-2051
2001,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,80,1.02,0.23,149.73,265.14,755,779,-2102,-2106
2002,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,72,0.83,0.55,136.31,298.30,708,734,-2161,-2192
2003,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,76,1.02,0.75,162.05,258.91,723,780,-1905,-1995
2004,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,83,1.08,0.90,171.87,203.35,954,954,-2621,-2682
2005,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,96,1.18,0.63,226.58,198.48,930,965,-2028,-2045
2006,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,104,1.18,0.33,150.69,177.95,916,953,-1690,-1699
2007,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,122,1.07,0.66,138.84,183.21,862,907,-2188,-2197
2008,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,100,0.62,0.42,122.06,224.87,761,810,-1597,-1609
2009,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,110,0.96,0.68,125.54,194.42,803,838,-2287,-2307
2010,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,96,0.96,0.60,95.17,186.17,804,825,-2066,-2098
2011,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,109,0.96,0.39,149.01,229.28,753,791,-2271,-2274
2012,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,117,1.00,0.30,170.87,218.64,769,804,-1175,-1178
2013,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,87,0.85,1.36,139.47,250.89,873,952,-1901,-1903
2014,GF,1621,63.400222,-129.665567,A,2.2,0,0.9,1.01,4.5,120,0.97,0.48,186.05,277.70,775,804,-2108,-2115
1992,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,64,0.82,0.77,208.92,232.99,531,531,-2612,-2805
1993,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,70,0.81,0.74,145.06,226.27,585,595,-2691,-2786
1994,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,110,0.79,0.97,163.77,234.93,730,731,-2782,-2886
1995,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,75,0.58,0.79,161.37,221.15,568,623,-2621,-2655
1996,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,64,0.72,0.76,163.84,282.76,459,498,-2943,-3007
1997,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,92,1.01,0.58,143.98,299.67,804,884,-2417,-2432
1998,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,121,1.23,0.70,146.44,224.76,919,945,-1951,-1973
1999,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,102,0.96,0.64,147.26,251.65,725,760,-2094,-2127
2000,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,113,1.32,0.58,147.52,280.70,642,649,-2020,-2051
2001,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,112,1.02,0.23,149.73,265.14,755,779,-2102,-2106
2002,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,91,0.83,0.55,136.31,298.30,708,734,-2161,-2192
2003,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,95,1.02,0.75,162.05,258.91,723,780,-1905,-1995
2004,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,120,1.08,0.90,171.87,203.35,954,954,-2621,-2682
2005,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,111,1.18,0.63,226.58,198.48,930,965,-2028,-2045
2006,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,144,1.18,0.33,150.69,177.95,916,953,-1690,-1699
2007,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,109,1.07,0.66,138.84,183.21,862,907,-2188,-2197
2008,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,115,0.62,0.42,122.06,224.87,761,810,-1597,-1609
2009,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,47,0.96,0.68,125.54,194.42,803,838,-2287,-2307
2010,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,76,0.96,0.60,95.17,186.17,804,825,-2066,-2098
2011,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,83,0.96,0.39,149.01,229.28,753,791,-2271,-2274
2012,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,90,1.00,0.30,170.87,218.64,769,804,-1175,-1178
2013,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,98,0.85,1.36,139.47,250.89,873,952,-1901,-1903
2014,GF,1621,63.400222,-129.665567,B,2.2,0,0.9,1.01,4.5,95,0.97,0.48,186.05,277.70,775,804,-2108,-2115
1992,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,60,1.81,0.84,208.92,232.99,1229,1236,-1640,-1681
1993,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,69,0.41,0.42,145.06,226.27,1376,1441,-2005,-2037
1994,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,61,1.26,1.16,163.77,234.93,1369,1422,-2113,-2142
1995,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,51,1.47,0.47,161.37,221.15,1258,1404,-1837,-1837
1996,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,51,0.64,1.05,163.84,282.76,1074,1132,-1896,-1943
1997,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,54,1.07,0.37,143.98,299.67,1043,1146,-1927,-1940
1998,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,49,1.12,0.45,146.44,224.76,1220,1260,-1573,-1608
1999,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,50,1.22,0.40,147.26,251.65,1131,1197,-1701,-1733
2000,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,62,0.50,0.30,147.52,280.70,1006,1043,-1448,-1468
2001,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,52,1.17,1.45,149.73,265.14,1049,1126,-1759,-1762
2002,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,57,0.95,0.55,136.31,298.30,1047,1129,-1743,-1761
2003,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,65,1.50,0.65,162.05,258.91,1128,1204,-1274,-1308
2004,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,47,1.02,0.70,171.87,203.35,1234,1240,-1698,-1712
2005,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,54,1.41,0.33,226.58,198.48,1001,1080,-1071,-1071
2006,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,51,1.18,0.73,150.69,177.95,1059,1149,-1541,-1542
2007,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,45,1.28,0.51,138.84,183.21,1230,1305,-1696,-1713
2008,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,45,0.53,0.40,122.06,224.87,938,1026,-1683,-1686
2009,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,43,1.13,0.44,125.54,194.42,1140,1225,-1945,-1956
2010,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,43,1.14,0.41,95.17,186.17,1225,1275,-1578,-1607
2011,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,45,1.00,0.34,149.01,229.28,1000,1069,-1521,-1536
2012,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,48,1.01,0.39,170.87,218.64,999,1088,-1539,-1548
2013,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,51,0.96,0.90,139.47,250.89,1074,1199,-2632,-2633
2014,HF,1260,63.314262,-129.790731,A,4.9,1,2.48,0.5,4.78,62,1.03,0.86,186.05,277.70,1074,1169,-1436,-1459
1992,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,64,1.81,0.84,208.92,232.99,1229,1236,-1640,-1681
1993,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,61,0.41,0.42,145.06,226.27,1376,1441,-2005,-2037
1994,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,63,1.26,1.16,163.77,234.93,1369,1422,-2113,-2142
1995,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,61,1.47,0.47,161.37,221.15,1258,1404,-1837,-1837
1996,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,54,0.64,1.05,163.84,282.76,1074,1132,-1896,-1943
1997,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,49,1.07,0.37,143.98,299.67,1043,1146,-1927,-1940
1998,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,64,1.12,0.45,146.44,224.76,1220,1260,-1573,-1608
1999,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,50,1.22,0.40,147.26,251.65,1131,1197,-1701,-1733
2000,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,54,0.50,0.30,147.52,280.70,1006,1043,-1448,-1468
2001,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,74,1.17,1.45,149.73,265.14,1049,1126,-1759,-1762
2002,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,51,0.95,0.55,136.31,298.30,1047,1129,-1743,-1761
2003,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,56,1.50,0.65,162.05,258.91,1128,1204,-1274,-1308
2004,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,53,1.02,0.70,171.87,203.35,1234,1240,-1698,-1712
2005,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,53,1.41,0.33,226.58,198.48,1001,1080,-1071,-1071
2006,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,62,1.18,0.73,150.69,177.95,1059,1149,-1541,-1542
2007,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,62,1.28,0.51,138.84,183.21,1230,1305,-1696,-1713
2008,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,51,0.53,0.40,122.06,224.87,938,1026,-1683,-1686
2009,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,54,1.13,0.44,125.54,194.42,1140,1225,-1945,-1956
2010,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,67,1.14,0.41,95.17,186.17,1225,1275,-1578,-1607
2011,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,58,1.00,0.34,149.01,229.28,1000,1069,-1521,-1536
2012,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,66,1.01,0.39,170.87,218.64,999,1088,-1539,-1548
2013,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,53,0.96,0.90,139.47,250.89,1074,1199,-2632,-2633
2014,HF,1260,63.314262,-129.790731,B,4.9,1,2.48,0.5,4.78,72,1.03,0.86,186.05,277.70,1074,1169,-1436,-1459
