year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2005,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,58,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,440.05,5.56,5.98,8.42,6.86,2.9,1.24,226.58,198.48
2006,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,54,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,162.75,4.98,6.02,4.84,6.87,1.46,0.61,150.69,177.95
2007,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,57,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,265.74,2.65,5.92,4.99,6.23,2.09,0.65,138.84,183.21
2008,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,54,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,52.06,3.56,5.34,4.92,6.1,1.34,0.64,122.06,224.87
2009,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,57,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,48.61,2.31,6.26,1.64,6.52,1.15,0.56,125.54,194.42
2010,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,65,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,142.3,5.99,6.47,4.86,7.23,1.41,0.85,95.17,186.17
2011,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,68,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,386.67,2.96,5.97,8.08,5.05,3.04,1.01,149.01,229.28
2012,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,69,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,120.27,4.58,5.59,5.06,5.78,1.62,0.78,170.87,218.64
2013,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,53,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,240.67,2.34,5.74,3.06,6.06,2.66,1.28,139.47,250.89
2014,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,73,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,0,3.45,6.12,2.44,5.95,0.03,0.01,186.05,277.7
1997,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,51,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,166.1,2.81,6.12,4.86,6.25,1.58,0.6,143.98,299.67
1998,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,65,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,287.91,5.06,6.31,7.13,5.97,2.6,1.22,146.44,224.76
1999,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,52,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,252.56,2.86,4.48,5.97,4.11,2.23,0.86,147.26,251.65
2000,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,60,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,142.49,4.88,4.5,5.06,4.58,1.61,0.5,147.52,280.7
2001,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,58,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,219.48,5.39,5.33,5.13,5.63,1.58,0.6,149.73,265.14
2002,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,71,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,537.9,3.51,5.27,4.64,5.31,1.56,0.62,136.31,298.3
2003,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,69,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,305.67,5.63,5.07,6.97,5.96,2.41,0.97,162.05,258.91
2004,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,77,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,264.56,4.94,5.84,3.52,6.72,0.53,0.34,171.87,203.35
2005,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,98,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,440.05,5.56,5.98,8.42,6.86,2.9,1.24,226.58,198.48
2006,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,78,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,162.75,4.98,6.02,4.84,6.87,1.46,0.61,150.69,177.95
2007,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,121,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,265.74,2.65,5.92,4.99,6.23,2.09,0.65,138.84,183.21
2008,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,86,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,52.06,3.56,5.34,4.92,6.1,1.34,0.64,122.06,224.87
2009,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,46,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,48.61,2.31,6.26,1.64,6.52,1.15,0.56,125.54,194.42
2010,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,112,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,142.3,5.99,6.47,4.86,7.23,1.41,0.85,95.17,186.17
2011,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,93,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,386.67,2.96,5.97,8.08,5.05,3.04,1.01,149.01,229.28
2012,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,97,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,120.27,4.58,5.59,5.06,5.78,1.62,0.78,170.87,218.64
2013,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,116,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,240.67,2.34,5.74,3.06,6.06,2.66,1.28,139.47,250.89
2014,D2,1475,63.266397,0,D2.C,3.7,0,1.58,0.28,4.78,118,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,0,3.45,6.12,2.44,5.95,0.03,0.01,186.05,277.7
1997,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,47,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,166.1,2.81,6.12,4.86,6.25,1.58,0.6,143.98,299.67
1998,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,54,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,287.91,5.06,6.31,7.13,5.97,2.6,1.22,146.44,224.76
1999,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,50,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,252.56,2.86,4.48,5.97,4.11,2.23,0.86,147.26,251.65
2000,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,50,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,142.49,4.88,4.5,5.06,4.58,1.61,0.5,147.52,280.7
2001,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,50,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,219.48,5.39,5.33,5.13,5.63,1.58,0.6,149.73,265.14
2002,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,54,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,537.9,3.51,5.27,4.64,5.31,1.56,0.62,136.31,298.3
2003,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,53,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,305.67,5.63,5.07,6.97,5.96,2.41,0.97,162.05,258.91
2004,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,55,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,264.56,4.94,5.84,3.52,6.72,0.53,0.34,171.87,203.35
2005,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,59,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,440.05,5.56,5.98,8.42,6.86,2.9,1.24,226.58,198.48
2006,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,56,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,162.75,4.98,6.02,4.84,6.87,1.46,0.61,150.69,177.95
2007,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,67,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,265.74,2.65,5.92,4.99,6.23,2.09,0.65,138.84,183.21
2008,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,58,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,52.06,3.56,5.34,4.92,6.1,1.34,0.64,122.06,224.87
2009,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,48,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,48.61,2.31,6.26,1.64,6.52,1.15,0.56,125.54,194.42
2010,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,64,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,142.3,5.99,6.47,4.86,7.23,1.41,0.85,95.17,186.17
2011,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,60,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,386.67,2.96,5.97,8.08,5.05,3.04,1.01,149.01,229.28
2012,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,61,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,120.27,4.58,5.59,5.06,5.78,1.62,0.78,170.87,218.64
2013,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,66,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,240.67,2.34,5.74,3.06,6.06,2.66,1.28,139.47,250.89
2014,D2,1475,63.266397,0,D2.D,3.7,0,1.58,0.28,4.78,66,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,0,3.45,6.12,2.44,5.95,0.03,0.01,186.05,277.7
1997,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,79,0.85,0.86,0.91,0.31,0.21,0.21,0.19,0.12,506.49,2.64,6.46,9.86,5.85,3.77,1.82,143.98,299.67
1998,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,69,0.68,0.73,0.56,0.23,0.22,0.22,0.18,0.07,599.4,5.57,6.57,10.4,5.04,4.17,1.99,146.44,224.76
1999,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,58,0.74,0.87,0.68,0.15,0.16,0.18,0.15,0.15,435.74,3.28,5.88,9.49,4.82,4,1.84,147.26,251.65
2000,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,58,0.75,0.97,0.73,0.22,0.21,0.23,0.2,0.12,491.5,5.55,4.93,9.91,4.5,4.12,1.88,147.52,280.7
2001,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,60,0.82,0.98,0.76,0.27,0.1,0.11,0.09,0.06,582.1,5.99,5.8,9.69,4.85,3.99,1.83,149.73,265.14
2002,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,54,0.85,0.81,0.61,0.28,0.32,0.37,0.32,0.19,388.86,2.99,5.3,8.65,5.27,3.82,1.71,136.31,298.3
2003,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,62,0.98,1.31,1.01,0.11,0.23,0.25,0.22,0.11,491.74,5.82,5.3,10.11,6.08,4.13,1.93,162.05,258.91
2004,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,58,0.94,1.07,1.21,0.56,0.27,0.29,0.26,0.14,549.5,5.23,6.36,9.1,8.03,3.83,1.81,171.87,203.35
2005,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,61,0.39,0.4,0.51,0.16,0.28,0.28,0.27,0.12,529.32,5.87,6.44,10.4,7.93,4.2,1.83,226.58,198.48
2006,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,62,1.1,1.06,1.07,0.63,0.16,0.15,0.14,0.05,650.26,5.18,6.45,9.93,6.77,4,1.76,150.69,177.95
2007,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,66,1.13,1.19,0.55,0.35,0.21,0.23,0.21,0.1,557.74,2.89,6.38,8.67,7.52,3.97,1.87,138.84,183.21
2008,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,58,0.47,0.53,0.46,0.32,0.17,0.18,0.16,0.06,700.37,3.77,5.69,9.13,6.96,4.03,1.87,122.06,224.87
2009,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,52,1.14,1.38,0.79,0.3,0.29,0.3,0.28,0.18,509.21,1.83,6.07,9.08,5.98,4.08,1.83,125.54,194.42
2010,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,65,0.21,0.31,0.25,0.27,0.12,0.14,0.12,0.13,630.5,5.86,6.33,11.04,1.95,3.99,1.82,95.17,186.17
2011,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,68,0.88,0.52,0.38,0.34,0.04,0.04,0.04,0.04,659.46,2.56,5.94,11.2,5.74,4.03,1.96,149.01,229.28
2012,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,63,0.43,0.48,0.66,0.56,0.11,0.12,0.06,0.08,811.43,5.16,5.72,10.28,6.19,3.88,1.96,170.87,218.64
2013,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,65,1.07,0.93,0.73,0.07,0.66,0.61,0.53,0.13,299.37,2.34,5.77,3.06,5.96,3.97,1.97,139.47,250.89
2014,D6,1475,63.266735,0.002855,D6.A,4.2,1,1.86,0.48,4.7,66,1.07,1.18,0.73,0.51,0.27,0.29,0.19,0.25,526.09,3.72,6.77,9.83,7.48,2.78,2.06,186.05,277.7
1997,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,80,0.85,0.86,0.91,0.31,0.21,0.21,0.19,0.12,506.49,2.64,6.46,9.86,5.85,3.77,1.82,143.98,299.67
1998,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,81,0.68,0.73,0.56,0.23,0.22,0.22,0.18,0.07,599.4,5.57,6.57,10.4,5.04,4.17,1.99,146.44,224.76
1999,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,59,0.74,0.87,0.68,0.15,0.16,0.18,0.15,0.15,435.74,3.28,5.88,9.49,4.82,4,1.84,147.26,251.65
2000,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,62,0.75,0.97,0.73,0.22,0.21,0.23,0.2,0.12,491.5,5.55,4.93,9.91,4.5,4.12,1.88,147.52,280.7
2001,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,73,0.82,0.98,0.76,0.27,0.1,0.11,0.09,0.06,582.1,5.99,5.8,9.69,4.85,3.99,1.83,149.73,265.14
2002,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,73,0.85,0.81,0.61,0.28,0.32,0.37,0.32,0.19,388.86,2.99,5.3,8.65,5.27,3.82,1.71,136.31,298.3
2003,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,66,0.98,1.31,1.01,0.11,0.23,0.25,0.22,0.11,491.74,5.82,5.3,10.11,6.08,4.13,1.93,162.05,258.91
2004,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,69,0.94,1.07,1.21,0.56,0.27,0.29,0.26,0.14,549.5,5.23,6.36,9.1,8.03,3.83,1.81,171.87,203.35
2005,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,79,0.39,0.4,0.51,0.16,0.28,0.28,0.27,0.12,529.32,5.87,6.44,10.4,7.93,4.2,1.83,226.58,198.48
2006,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,66,1.1,1.06,1.07,0.63,0.16,0.15,0.14,0.05,650.26,5.18,6.45,9.93,6.77,4,1.76,150.69,177.95
2007,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,78,1.13,1.19,0.55,0.35,0.21,0.23,0.21,0.1,557.74,2.89,6.38,8.67,7.52,3.97,1.87,138.84,183.21
2008,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,79,0.47,0.53,0.46,0.32,0.17,0.18,0.16,0.06,700.37,3.77,5.69,9.13,6.96,4.03,1.87,122.06,224.87
2009,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,62,1.14,1.38,0.79,0.3,0.29,0.3,0.28,0.18,509.21,1.83,6.07,9.08,5.98,4.08,1.83,125.54,194.42
2010,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,80,0.21,0.31,0.25,0.27,0.12,0.14,0.12,0.13,630.5,5.86,6.33,11.04,1.95,3.99,1.82,95.17,186.17
2011,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,83,0.88,0.52,0.38,0.34,0.04,0.04,0.04,0.04,659.46,2.56,5.94,11.2,5.74,4.03,1.96,149.01,229.28
2012,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,72,0.43,0.48,0.66,0.56,0.11,0.12,0.06,0.08,811.43,5.16,5.72,10.28,6.19,3.88,1.96,170.87,218.64
2013,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,67,1.07,0.93,0.73,0.07,0.66,0.61,0.53,0.13,299.37,2.34,5.77,3.06,5.96,3.97,1.97,139.47,250.89
2014,D6,1475,63.266735,0.002855,D6.B,4.2,1,1.86,0.48,4.7,78,1.07,1.18,0.73,0.51,0.27,0.29,0.19,0.25,526.09,3.72,6.77,9.83,7.48,2.78,2.06,186.05,277.7
1997,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,88,0.85,0.86,0.91,0.31,0.21,0.21,0.19,0.12,506.49,2.64,6.46,9.86,5.85,3.77,1.82,143.98,299.67
1998,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,119,0.68,0.73,0.56,0.23,0.22,0.22,0.18,0.07,599.4,5.57,6.57,10.4,5.04,4.17,1.99,146.44,224.76
1999,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,82,0.74,0.87,0.68,0.15,0.16,0.18,0.15,0.15,435.74,3.28,5.88,9.49,4.82,4,1.84,147.26,251.65
2000,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,113,0.75,0.97,0.73,0.22,0.21,0.23,0.2,0.12,491.5,5.55,4.93,9.91,4.5,4.12,1.88,147.52,280.7
2001,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,123,0.82,0.98,0.76,0.27,0.1,0.11,0.09,0.06,582.1,5.99,5.8,9.69,4.85,3.99,1.83,149.73,265.14
2002,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,83,0.85,0.81,0.61,0.28,0.32,0.37,0.32,0.19,388.86,2.99,5.3,8.65,5.27,3.82,1.71,136.31,298.3
2003,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,130,0.98,1.31,1.01,0.11,0.23,0.25,0.22,0.11,491.74,5.82,5.3,10.11,6.08,4.13,1.93,162.05,258.91
2004,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,148,0.94,1.07,1.21,0.56,0.27,0.29,0.26,0.14,549.5,5.23,6.36,9.1,8.03,3.83,1.81,171.87,203.35
2005,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,137,0.39,0.4,0.51,0.16,0.28,0.28,0.27,0.12,529.32,5.87,6.44,10.4,7.93,4.2,1.83,226.58,198.48
2006,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,122,1.1,1.06,1.07,0.63,0.16,0.15,0.14,0.05,650.26,5.18,6.45,9.93,6.77,4,1.76,150.69,177.95
2007,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,138,1.13,1.19,0.55,0.35,0.21,0.23,0.21,0.1,557.74,2.89,6.38,8.67,7.52,3.97,1.87,138.84,183.21
2008,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,157,0.47,0.53,0.46,0.32,0.17,0.18,0.16,0.06,700.37,3.77,5.69,9.13,6.96,4.03,1.87,122.06,224.87
2009,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,155,1.14,1.38,0.79,0.3,0.29,0.3,0.28,0.18,509.21,1.83,6.07,9.08,5.98,4.08,1.83,125.54,194.42
2010,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,161,0.21,0.31,0.25,0.27,0.12,0.14,0.12,0.13,630.5,5.86,6.33,11.04,1.95,3.99,1.82,95.17,186.17
2011,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,157,0.88,0.52,0.38,0.34,0.04,0.04,0.04,0.04,659.46,2.56,5.94,11.2,5.74,4.03,1.96,149.01,229.28
2012,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,162,0.43,0.48,0.66,0.56,0.11,0.12,0.06,0.08,811.43,5.16,5.72,10.28,6.19,3.88,1.96,170.87,218.64
2013,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,112,1.07,0.93,0.73,0.07,0.66,0.61,0.53,0.13,299.37,2.34,5.77,3.06,5.96,3.97,1.97,139.47,250.89
2014,D6,1475,63.266735,0.002855,D6.C,4.2,1,1.86,0.48,4.7,146,1.07,1.18,0.73,0.51,0.27,0.29,0.19,0.25,526.09,3.72,6.77,9.83,7.48,2.78,2.06,186.05,277.7
1997,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,77,1.01,0.94,0.84,0,0.58,0.54,0.53,0.22,194.52,2.46,5.17,2.22,5.66,1.96,1.13,143.98,299.67
1998,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,75,1.23,1.15,1.07,0,0.7,0.67,0.66,0.21,318.86,4.16,5.17,4.24,6.01,2.77,1.41,146.44,224.76
1999,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,57,0.96,0.96,0.84,0,0.64,0.53,0.47,0.19,317.52,4.28,4.47,3.32,4.72,2.8,1.34,147.26,251.65
2000,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,52,1.32,2.3,2.13,0,0.58,0.53,0.48,0.17,304.16,4.27,3.35,3.78,3.87,2.79,1.31,147.52,280.7
2001,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,80,1.02,1.05,0.9,0,0.23,0.19,0.16,0.09,347.49,4.31,4.44,3.35,4.8,2.78,1.37,149.73,265.14
2002,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,72,0.83,0.94,0.77,0,0.55,0.49,0.42,0.02,550.64,2.3,3.66,3.24,4.37,2.71,1.29,136.31,298.3
2003,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,76,1.02,1.22,0.79,0,0.75,0.66,0.61,0.1,377.37,4.67,3.72,4.21,4.04,3.05,1.45,162.05,258.91
2004,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,83,1.08,1.08,0.79,0,0.9,0.63,0.55,0.08,425.81,4.03,4.45,1.72,5.36,2.73,1.31,171.87,203.35
2005,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,96,1.18,1.27,1.07,0,0.63,0.57,0.45,0.09,431.12,4.88,5.17,4.15,6.09,3.1,1.54,226.58,198.48
2006,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,104,1.18,0.91,0.61,0,0.33,0.31,0.26,0.06,422.28,4.68,4.99,5.16,6.02,3.42,1.6,150.69,177.95
2007,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,122,1.07,0.93,0.73,0,0.66,0.61,0.53,0.11,304.29,2.32,4.93,3.03,5.71,2.66,1.36,138.84,183.21
2008,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,100,0.62,1.09,1.04,0,0.42,0.42,0.4,0.09,382.01,3.16,4.06,5.59,5.11,3.26,1.51,122.06,224.87
2009,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,110,0.96,0.98,0.82,0,0.68,0.59,0.5,0.17,329.77,2.28,5.37,2.67,5.19,2.85,1.44,125.54,194.42
2010,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,96,0.96,0.98,0.83,0,0.6,0.51,0.44,0.17,353.35,4.95,5.19,3.63,5.1,2.82,1.41,95.17,186.17
2011,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,109,0.96,0.99,0.81,0,0.39,0.33,0.28,0.1,308.53,2.58,4.74,2.79,5.02,2.82,1.43,149.01,229.28
2012,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,117,1,1.25,0.78,0,0.3,0.38,0.26,0.08,450.53,3.74,4.75,7.16,5.04,3.7,1.78,170.87,218.64
2013,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,87,0.85,1.15,0.61,0,1.36,1.62,0.75,0.2,373.24,1.33,5.92,4.16,5.89,3.18,1.55,139.47,250.89
2014,GF,1621,63.400222,0.435067,GF.A,2.2,0,0.9,1.01,4.5,120,0.97,1.2,0.72,0,0.48,0.59,0.14,0.15,372.68,3.16,5.18,3.39,5.31,2.93,1.52,186.05,277.7
1997,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,92,1.01,0.94,0.84,0,0.58,0.54,0.53,0.22,194.52,2.46,5.17,2.22,5.66,1.96,1.13,143.98,299.67
1998,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,121,1.23,1.15,1.07,0,0.7,0.67,0.66,0.21,318.86,4.16,5.17,4.24,6.01,2.77,1.41,146.44,224.76
1999,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,102,0.96,0.96,0.84,0,0.64,0.53,0.47,0.19,317.52,4.28,4.47,3.32,4.72,2.8,1.34,147.26,251.65
2000,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,113,1.32,2.3,2.13,0,0.58,0.53,0.48,0.17,304.16,4.27,3.35,3.78,3.87,2.79,1.31,147.52,280.7
2001,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,112,1.02,1.05,0.9,0,0.23,0.19,0.16,0.09,347.49,4.31,4.44,3.35,4.8,2.78,1.37,149.73,265.14
2002,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,91,0.83,0.94,0.77,0,0.55,0.49,0.42,0.02,550.64,2.3,3.66,3.24,4.37,2.71,1.29,136.31,298.3
2003,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,95,1.02,1.22,0.79,0,0.75,0.66,0.61,0.1,377.37,4.67,3.72,4.21,4.04,3.05,1.45,162.05,258.91
2004,GF,1621,63.400222,0.435067,GF.B,2.2,0,0.9,1.01,4.5,120,1.08,1.08,0.79,0,0.9,0.63,0.55,0.08,425.81,4.03,4.45,1.72,5.36,2.73,1.31,171.87,203.35
