year,site,elev,lat,lon,line,height,shrub,organic,density,ph,thaw,TI_0,TI2_5,TI5_0,TI150,FI_0,FI2_5,FI5_0,FI150,NETDD,CST150,WST150,CST0,WST0,CST_150,WST_150,CSP_CRU,WSP_CRU
2002,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,59,1.17,1.08,0.87,0,0.31,0.32,0.48,0.08,419.48,2.32,5.91,6.41,6.82,3.53,1.65,136.31,298.3
2003,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,57,1.22,1.4,0.8,0.01,0.61,0.59,0.57,0.09,454.87,4.75,5.93,7.5,7.34,3.57,1.93,162.05,258.91
2004,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,55,1.19,1.24,0.86,0.04,0.51,0.48,0.4,0.1,385.64,3.57,6.47,6.15,7.75,3.48,2.02,171.87,203.35
2005,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,65,0.62,0.63,0.65,0.01,0.28,0.27,0.23,0.07,486.48,4.71,7,8.79,7.72,3.87,2.3,226.58,198.48
2006,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,61,1.2,1.22,0.83,0.02,1.13,1.09,0.93,0.16,475.51,4.11,7.2,7.38,7.78,3.89,2.24,150.69,177.95
2007,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,61,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,412.79,1.88,6.91,6.52,7.71,3.37,2.02,138.84,183.21
2008,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,56,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,374.29,1.74,5.52,6.63,6.54,3.38,1.57,122.06,224.87
2009,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,52,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,406.91,1.21,7.07,5.9,8.13,3.42,1.64,125.54,194.42
2010,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,62,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,413.27,5.24,7.25,7.21,8.24,3.46,1.66,95.17,186.17
2011,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,56,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,398.32,2.04,6.85,6.27,7.81,3.44,1.7,149.01,229.28
2012,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,55,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,429.82,3.84,7.1,6.71,8.03,3.45,1.71,170.87,218.64
2013,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,62,1.2,0.88,0.64,0,1.18,0.96,0.82,0.19,375.18,0.67,7.76,5.72,8.63,3.24,1.68,139.47,250.89
2014,BP,1272,63.292027,0.261517,BP.D,4,1,3.02,0.28,4.8,56,1.13,0.85,0.65,0,0.78,0.73,0.65,0.18,375.25,2.9,7.17,5.83,7.97,3.24,1.76,186.05,277.7
1997,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,48,1.23,1.11,1,0,0.39,0.38,0.3,0.09,406.97,1.64,6.72,5.17,7.67,3.27,1.14,143.98,299.67
1998,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,56,1.15,1.06,0.39,0,0.54,0.5,0.42,0.05,507.64,4.41,6.47,5.61,7.03,3.55,1.17,146.44,224.76
1999,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,46,0.43,0.43,0.32,0,0.39,0.38,0.37,0.08,443.63,1.99,5.82,6.52,6.53,3.2,1.17,147.26,251.65
2000,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,44,0.46,0.62,1.35,0,0.42,0.42,0.37,0.03,531.51,4.47,5.08,7.81,6.02,4.14,1.64,147.52,280.7
2001,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,48,1.23,1.74,1.39,0.01,0.94,0.94,0.83,0.11,480.74,4.92,6.06,7.61,7.01,3.49,1.39,149.73,265.14
2002,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,48,1.17,1.08,0.87,0,0.31,0.32,0.48,0.08,419.48,2.32,5.91,6.41,6.82,3.53,1.65,136.31,298.3
2003,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,49,1.22,1.4,0.8,0.01,0.61,0.59,0.57,0.09,454.87,4.75,5.93,7.5,7.34,3.57,1.93,162.05,258.91
2004,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,52,1.19,1.24,0.86,0.04,0.51,0.48,0.4,0.1,385.64,3.57,6.47,6.15,7.75,3.48,2.02,171.87,203.35
2005,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,51,0.62,0.63,0.65,0.01,0.28,0.27,0.23,0.07,486.48,4.71,7,8.79,7.72,3.87,2.3,226.58,198.48
2006,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,54,1.2,1.22,0.83,0.02,1.13,1.09,0.93,0.16,475.51,4.11,7.2,7.38,7.78,3.89,2.24,150.69,177.95
2007,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,58,1.12,1.14,0.83,0.01,0.51,0.49,0.43,0.07,412.79,1.88,6.91,6.52,7.71,3.37,2.02,138.84,183.21
2008,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,49,0.51,0.47,0.97,0,0.31,0.33,0.29,0.09,374.29,1.74,5.52,6.63,6.54,3.38,1.57,122.06,224.87
2009,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,47,1.16,1.08,0.88,0,0.37,0.77,0.69,0.11,406.91,1.21,7.07,5.9,8.13,3.42,1.64,125.54,194.42
2010,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,70,0.75,0.69,0.85,0,0.56,0.53,0.46,0.13,413.27,5.24,7.25,7.21,8.24,3.46,1.66,95.17,186.17
2011,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,75,0.78,0.72,0.88,0,0.39,0.37,0.32,0.06,398.32,2.04,6.85,6.27,7.81,3.44,1.7,149.01,229.28
2012,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,79,0.6,0.55,0.89,0,0.35,0.32,0.55,0.09,429.82,3.84,7.1,6.71,8.03,3.45,1.71,170.87,218.64
2013,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,80,1.2,0.88,0.64,0,1.18,0.96,0.82,0.19,375.18,0.67,7.76,5.72,8.63,3.24,1.68,139.47,250.89
2014,BP,1272,63.292027,0.261517,BP.E,4,1,3.02,0.28,4.8,85,1.13,0.85,0.65,0,0.78,0.73,0.65,0.18,375.25,2.9,7.17,5.83,7.97,3.24,1.76,186.05,277.7
1997,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,49,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,166.1,2.81,6.12,4.86,6.25,1.58,0.6,143.98,299.67
1998,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,55,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,287.91,5.06,6.31,7.13,5.97,2.6,1.22,146.44,224.76
1999,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,51,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,252.56,2.86,4.48,5.97,4.11,2.23,0.86,147.26,251.65
2000,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,56,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,142.49,4.88,4.5,5.06,4.58,1.61,0.5,147.52,280.7
2001,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,57,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,219.48,5.39,5.33,5.13,5.63,1.58,0.6,149.73,265.14
2002,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,51,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,537.9,3.51,5.27,4.64,5.31,1.56,0.62,136.31,298.3
2003,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,59,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,305.67,5.63,5.07,6.97,5.96,2.41,0.97,162.05,258.91
2004,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,57,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,264.56,4.94,5.84,3.52,6.72,0.53,0.34,171.87,203.35
2005,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,63,1.33,1.15,0.98,0,0.19,0.16,0.14,0.09,440.05,5.56,5.98,8.42,6.86,2.9,1.24,226.58,198.48
2006,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,55,1.08,2.53,2.09,0,0.3,0.28,0.26,0.16,162.75,4.98,6.02,4.84,6.87,1.46,0.61,150.69,177.95
2007,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,55,1.02,0.92,0.76,0,0.46,0.31,0.29,0.13,265.74,2.65,5.92,4.99,6.23,2.09,0.65,138.84,183.21
2008,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,58,1.15,1.02,0.87,0,0.45,0.39,0.36,0.22,52.06,3.56,5.34,4.92,6.1,1.34,0.64,122.06,224.87
2009,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,68,1.01,0.9,0.65,0,0.73,0.65,0.53,0.34,48.61,2.31,6.26,1.64,6.52,1.15,0.56,125.54,194.42
2010,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,58,1.1,0.87,0.73,0,0.67,0.52,0.47,0.33,142.3,5.99,6.47,4.86,7.23,1.41,0.85,95.17,186.17
2011,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,53,0.74,0.79,0.65,0,0.06,0.07,0.06,0.07,386.67,2.96,5.97,8.08,5.05,3.04,1.01,149.01,229.28
2012,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,56,1.02,0.91,0.78,0,0.49,0.4,0.7,0.28,120.27,4.58,5.59,5.06,5.78,1.62,0.78,170.87,218.64
2013,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,57,1.07,0.93,0.74,0,1.9,1.78,1.56,0.34,240.67,2.34,5.74,3.06,6.06,2.66,1.28,139.47,250.89
2014,D2,1475,63.266397,0,D2.A,3.7,0,1.58,0.28,4.78,56,0.92,0.8,0.62,0,0.41,0.43,0.4,0.42,0,3.45,6.12,2.44,5.95,0.03,0.01,186.05,277.7
1997,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,53,1.05,0.93,0.8,0,0.34,0.43,0.28,0.24,166.1,2.81,6.12,4.86,6.25,1.58,0.6,143.98,299.67
1998,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,57,0.97,0.86,0.76,0,0.27,0.28,0.23,0.23,287.91,5.06,6.31,7.13,5.97,2.6,1.22,146.44,224.76
1999,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,50,0.81,0.79,0.71,0,0.24,0.23,0.23,0.18,252.56,2.86,4.48,5.97,4.11,2.23,0.86,147.26,251.65
2000,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,49,0.89,0.85,0.74,0,0.41,0.37,0.34,0.26,142.49,4.88,4.5,5.06,4.58,1.61,0.5,147.52,280.7
2001,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,48,1.06,0.96,0.85,0,0.14,0.12,0.11,0.14,219.48,5.39,5.33,5.13,5.63,1.58,0.6,149.73,265.14
2002,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,49,1.01,0.9,0.76,0,0.44,0.4,0.37,0.03,537.9,3.51,5.27,4.64,5.31,1.56,0.62,136.31,298.3
2003,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,51,1.07,0.82,0.68,0,0.52,0.43,0.42,0.15,305.67,5.63,5.07,6.97,5.96,2.41,0.97,162.05,258.91
2004,D2,1475,63.266397,0,D2.B,3.7,0,1.58,0.28,4.78,52,1.14,0.93,0.72,0,0.62,0.54,0.52,0.17,264.56,4.94,5.84,3.52,6.72,0.53,0.34,171.87,203.35
