day,lapse,HF,GF
132,-0.435040838,1.048769696,-0.52172773
133,-0.506830684,1.16299776,-0.66666101
134,-0.575579483,1.30501064,-0.772831293
135,-0.569274176,0.808389752,-1.246690023
136,-0.633834038,1.372595884,-0.915544993
137,-0.674210576,1.599820412,-0.834079768
138,-0.645967779,2.216891828,-0.115051852
139,-0.574945589,2.480543232,0.404989656
140,-0.546824252,2.687523712,0.713488162
141,-0.609754226,3.010560004,0.809347249
142,-0.49814064,3.499457784,1.701170073
143,-0.587455647,4.375904744,2.255189857
144,-0.773538158,5.123129772,2.33065702
145,-0.746211626,5.51790072,2.82407675
146,-0.775880998,5.80981108,3.008880676
147,-0.857018096,6.31056304,3.216727714
148,-0.886500736,6.08522176,2.884954104
149,-0.763569621,6.26757996,3.511093627
150,-0.779578971,6.53366126,3.719381173
151,-0.685560978,6.203322628,3.728447498
152,-0.734435207,6.606439228,3.955128132
153,-0.859704299,6.74200808,3.638475562
154,-0.863409452,7.47946744,4.362559319
155,-0.822826081,7.950642078,4.980239927
156,-0.899416485,8.100745431,4.853851918
157,-0.874185927,7.744268596,4.5884574
158,-0.872963212,8.55556844,5.404171246
159,-0.899240111,8.86934504,5.623088238
160,-0.837150316,9.46312688,6.44101424
161,-0.741208412,9.372103384,6.696341016
162,-0.746990041,9.15819184,6.461557793
163,-0.686307939,9.318133132,6.840561473
164,-0.681814827,9.385071996,6.92372047
165,-0.663705275,9.445155484,7.049179441
166,-0.719144689,10.26778037,7.671668044
167,-0.702729032,10.36284245,7.825990645
168,-0.720103172,9.64226854,7.04269609
169,-0.698141936,9.4090375,6.888745112
170,-0.631610928,10.03431141,7.754195962
171,-0.621808822,10.79020492,8.545475073
172,-0.654161948,10.66428656,8.302761927
173,-0.572242134,10.67014144,8.604347335
174,-0.600936503,10.29735493,8.12797415
175,-0.540586637,10.8220584,8.870540641
176,-0.597351093,10.57130068,8.414863236
177,-0.57282483,10.38582556,8.317927924
178,-0.591861312,10.35570506,8.219085722
179,-0.563686372,10.67170888,8.636801078
180,-0.624254045,10.53972931,8.286172208
181,-0.657483466,10.94279554,8.569280224
182,-0.585096973,11.37477716,9.262577089
183,-0.56680366,11.47021716,9.424055946
184,-0.654310061,10.89301388,8.530954561
185,-0.692817584,10.3495868,7.848515323
186,-0.703426653,10.67193256,8.132562343
187,-0.544278658,10.67076192,8.705915966
188,-0.454432522,11.3955094,9.755007997
189,-0.543096065,11.28621816,9.325641366
190,-0.570001614,11.0211568,8.963450975
191,-0.475348239,10.88484045,9.168833306
192,-0.460908525,10.95859128,9.294711503
193,-0.530217065,10.83316408,8.919080477
194,-0.545952014,11.28256844,9.311681668
195,-0.48424066,11.00428252,9.256173738
196,-0.613804499,11.56553712,9.349702879
197,-0.558976863,11.27105284,9.253146365
198,-0.49227546,11.34840656,9.57129215
199,-0.486657248,10.74976928,8.992936613
200,-0.581138751,10.90634136,8.80843047
201,-0.50968733,10.70438592,8.864414659
202,-0.615067849,10.93528874,8.71489381
203,-0.536100217,10.86195693,8.926635148
204,-0.599379596,11.02070928,8.856948938
205,-0.463108962,10.93411656,9.262293206
206,-0.504473975,11.15978568,9.338634632
207,-0.411161075,10.55907796,9.07478648
208,-0.476886491,10.99086216,9.269301926
209,-0.447851943,10.73584,9.119094485
210,-0.53161038,10.49799036,8.578876887
211,-0.501560234,10.4218664,8.611233957
212,-0.571263844,10.54242744,8.480164963
213,-0.527870399,10.4042,8.498587858
214,-0.49068899,10.60204,8.830652745
215,-0.414824819,10.56218242,9.064664826
216,-0.341046219,10.9572809,9.72610405
217,-0.356354762,11.20668,9.920239309
218,-0.416275975,10.60896,9.106203732
219,-0.516746164,10.03945086,8.173997208
220,-0.516893307,9.673070015,7.807085176
221,-0.423780437,9.859818828,8.329971451
222,-0.331254968,9.792349467,8.596519031
223,-0.306786421,9.8313172,8.72381822
224,-0.297006155,10.04408584,8.971893621
225,-0.43616258,9.559241274,7.984694361
226,-0.517508543,9.513280756,7.645074915
227,-0.392396111,9.304994854,7.888444894
228,-0.485074793,9.484462612,7.73334261
229,-0.515696029,9.450867687,7.589205023
230,-0.485357186,8.876356484,7.124217041
231,-0.522728053,7.727495068,5.840446796
232,-0.459139802,7.038394724,5.380900037
233,-0.492829058,7.03975,5.2606371
234,-0.436126731,6.811041667,5.236624169
235,-0.496022364,6.654416667,4.863775932
236,-0.448554688,6.519916667,4.900634245
237,-0.525001577,6.190541667,4.295285975
238,-0.435355858,5.389416667,3.817782018
239,-0.389438088,5.236083333,3.830211836
240,-0.430496616,5.403291667,3.849198881
241,-0.502023631,5.555833333,3.743528027
242,-0.506071275,5.934458333,4.107541029
243,-0.354037292,5.331208333,4.05313371
244,-0.446236912,5.241083333,3.630168081
245,-0.455060129,4.836875,3.194107934
