year,thaw.a,thaw.b,thaw.c
1997,79,80,88
1998,69,81,119
1999,58,59,82
2000,58,62,113
2001,60,73,123
2002,54,73,83
2003,62,66,130
2004,58,69,148
2005,61,79,137
2006,62,66,122
2007,66,78,138
2008,58,79,157
2009,52,62,155
2010,65,80,161
2011,68,83,157
2012,63,72,162
2013,65,67,112
2014,66,78,146
