year,thaw.a,thaw.b,thaw.c,thaw.d,thaw.e
1992,59,46,64,64,46
1993,47,41,57,60,43
1994,52,46,70,63,46
1995,50,47,59,62,47
1996,42,39,73,43,43
1997,52,43,70,60,48
1998,60,52,67,53,56
1999,52,44,60,64,46
2000,56,46,52,45,44
2001,58,46,61,63,48
2002,59,44,60,59,48
2003,62,43,66,57,49
2004,61,40,63,55,52
2005,65,48,67,65,51
2006,67,52,62,61,54
2007,70,51,63,61,58
2008,53,48,59,56,49
2009,57,48,60,52,47
2010,75,52,62,62,70
2011,64,71,56,56,75
2012,67,67,58,55,79
2013,59,69,50,62,80
2014,74,70,61,56,85
