site,zone,year,tree,aspect,height,viability,gmin
AIR,Forest,2013,4,L,C,91,3.20E-06
AIR,Forest,2013,4,L,S,10,1.60E-05
AIR,Forest,2013,5,L,A,100,8.30E-06
AIR,Forest,2013,5,L,C,92,2.20E-06
AIR,Forest,2013,5,L,S,96,1.10E-05
AIR,Forest,2013,6,L,A,89,7.80E-06
BLK,Forest,2013,1,L,A,97,7.30E-07
BLK,Forest,2013,1,L,C,100,2.40E-05
BLK,Forest,2013,1,L,S,98,1.10E-05
BLK,Forest,2013,2,L,A,95,9.90E-06
BLK,Forest,2013,3,L,A,34,7.60E-06
BLK,Forest,2013,3,L,C,73,1.90E-05
BLK,Forest,2013,3,L,S,71,1.00E-05
BLK,Forest,2013,4,L,A,96,4.70E-06
BLK,Forest,2013,4,L,C,100,8.10E-06
BLK,Forest,2013,5,L,A,99,1.60E-05
BLK,Forest,2013,5,L,C,93,1.50E-05
BLK,Forest,2013,5,L,S,100,2.00E-05
BRR,Forest,2013,1,L,A,99,1.20E-05
BRR,Forest,2013,1,L,A,86,1.60E-05
BRR,Forest,2013,1,L,C,100,1.70E-05
BRR,Forest,2013,1,L,C,81,2.80E-05
BRR,Forest,2013,1,L,S,62,3.10E-05
BRR,Forest,2013,1,L,S,100,8.90E-06
BRR,Forest,2013,2,L,A,100,1.00E-05
BRR,Forest,2013,2,L,A,98,8.60E-06
BRR,Forest,2013,2,L,C,3,1.20E-05
BRR,Forest,2013,2,L,C,98,1.30E-05
BRR,Forest,2013,3,L,A,100,2.50E-05
BRR,Forest,2013,3,L,A,95,9.80E-06
BRR,Forest,2013,3,L,C,100,7.40E-06
BRR,Forest,2013,3,L,C,100,3.10E-05
BRR,Forest,2013,3,L,S,100,5.50E-06
BRR,Forest,2013,3,L,S,100,3.20E-05
BRR,Forest,2013,4,L,A,92,2.10E-05
BRR,Forest,2013,4,L,A,100,5.80E-06
BRR,Forest,2013,4,L,C,100,1.10E-05
BRR,Forest,2013,4,L,C,91,2.50E-05
BRR,Forest,2013,4,L,S,100,8.70E-06
BRR,Forest,2013,5,L,A,100,8.80E-06
BRR,Forest,2013,5,L,A,89,1.00E-05
BRR,Forest,2013,5,L,C,95,1.30E-05
BRR,Forest,2013,5,L,C,99,1.90E-05
BRR,Forest,2013,5,L,S,100,7.10E-06
BRR,Forest,2013,5,L,S,95,1.00E-05
BSW,Forest,2013,1,L,C,94,9.90E-06
BSW,Forest,2013,2,L,C,100,9.90E-06
BSW,Forest,2013,3,L,A,31,6.10E-07
BSW,Forest,2013,3,L,C,90,5.20E-06
BSW,Forest,2013,3,L,S,89,1.00E-05
BSW,Forest,2013,4,L,A,95,1.10E-05
BSW,Forest,2013,4,L,C,82,1.60E-05
BSW,Forest,2013,4,L,S,100,4.50E-05
BSW,Forest,2013,5,L,A,96,1.60E-05
BSW,Forest,2013,5,L,C,93,3.00E-05
BSW,Forest,2013,5,L,S,100,3.70E-06
MLK,Forest,2013,1,L,A,95,4.70E-06
MLK,Forest,2013,1,L,C,98,7.80E-06
MLK,Forest,2013,2,L,A,100,1.50E-05
MLK,Forest,2013,2,L,C,100,1.70E-05
MLK,Forest,2013,2,L,S,100,1.30E-05
MLK,Forest,2013,3,L,A,100,6.10E-06
MLK,Forest,2013,3,L,C,100,2.40E-06
MLK,Forest,2013,3,L,S,100,1.80E-06
MLK,Forest,2013,4,L,A,100,9.80E-06
MLK,Forest,2013,4,L,C,100,2.60E-05
MLK,Forest,2013,4,L,S,100,6.10E-06
