year,site,zone,lat,lon,elev,tree,aspect,height,code,water,viability,gmin,group,density,swe,htc,dist,cover
2009,BLK,Ecotone,58.620804,-93.810787,37,3,W,A,2009 E3 NWA,138,100,5.20E-05,4,269.035,195.538,0.32,16.966,2
2009,BLK,Ecotone,58.620804,-93.810787,37,3,W,C,2009 E3 NWC,212,100,2.30E-05,4,269.035,195.538,0.32,16.966,2
2009,BLK,Ecotone,58.620804,-93.810787,37,3,W,S,2009 E3 NWS,114,100,4.90E-05,3,269.035,195.538,0.32,16.966,2
2009,BLK,Ecotone,58.620804,-93.810787,37,3,L,A,2009 E3 SOA,144,100,2.90E-05,4,269.035,195.538,0.32,16.966,2
2009,BLK,Ecotone,58.620804,-93.810787,37,3,L,C,2009 E3 SOC,168,100,4.00E-05,4,269.035,195.538,0.32,16.966,2
2009,BLK,Ecotone,58.620804,-93.810787,37,3,L,S,2009 E3 SOS,117,100,4.80E-05,3,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,F,A,BLK E1 FA,151,100,1.30E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,F,C,BLK E1 FC,159,97,2.40E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,F,S,BLK E1 FS,83,100,1.40E-05,1,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,T,A,BLK E1 TA,149,100,1.30E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,T,C,BLK E1 TC,144,100,1.90E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,1,T,S,BLK E1 TS,144,100,1.50E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,F,A,BLK E2 FA,138,81,1.70E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,F,C,BLK E2 FC,141,100,1.90E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,F,S,BLK E2 FS,206,0,2.30E-05,2,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,T,A,BLK E2 TA,144,100,1.70E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,T,C,BLK E2 TC,138,100,2.80E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,2,T,S,BLK E2 TS,174,100,1.80E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,3,F,A,BLK E3 FA,132,100,1.80E-05,3,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,3,F,C,BLK E3 FC,131,83,2.20E-05,3,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,3,F,S,BLK E3 FS,137,96,1.20E-05,4,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,3,T,C,BLK E3 TC,131,100,2.10E-05,3,269.035,195.538,0.32,16.966,2
2010,BLK,Ecotone,58.620804,-93.810787,37,3,T,S,BLK E3 TS,93,100,1.60E-05,1,269.035,195.538,0.32,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,1,L,A,BLK E1 LA,71,80,2.90E-05,1,243.905,165.889,0.267,16.966,2
2013,BLK,Ecotone,58.620804,-93.810787,37,1,L,C,BLK E1 LC,24,95,1.70E-05,1,243.905,165.889,0.267,16.966,2
