site,pit,date,depth,density,swe,htc
AIR,Upland forest,2008,108,254.03,274.35,0.18
AIR,Upland forest,2008,80,241.45,193.16,0.21
AIR,Upland forest,2008,88,197.24,173.57,0.13
AIR,Upland forest,2008,54,176.26,95.18,0.17
AIR,Upland forest,2008,36,248.84,89.58,0.51
AIR,Upland forest,2008,106,176.95,187.56,0.09
AIR,Upland forest,2008,80,251.95,201.56,0.23
AIR,Upland forest,2008,96,204.13,195.96,0.13
AIR,Upland forest,2008,86,260.42,223.96,0.23
AIR,Upland forest,2008,31,279.95,86.78,0.74
AIR,Upland forest,2008,87,250.99,218.36,0.21
AIR,Upland forest,2008,80,244.95,195.96,0.22
AIR,Upland forest,2008,84,249.95,209.96,0.22
AIR,Upland forest,2008,98,251.38,246.35,0.19
AIR,Upland forest,2008,33,237.53,78.39,0.50
AIR,Upland forest,2008,93,222.75,207.16,0.16
AIR,Upland forest,2008,82,221.91,181.97,0.18
AIR,Upland forest,2008,80,223.96,179.17,0.18
AIR,Upland forest,2008,80,237.95,190.36,0.21
AIR,Upland forest,2008,40,230.96,92.38,0.39
AIR,Upland forest,2008,105,266.62,279.95,0.20
AIR,Upland forest,2008,98,265.66,260.35,0.21
AIR,Upland forest,2008,85,214.08,181.97,0.16
AIR,Upland forest,2008,104,279.95,291.14,0.22
AIR,Upland forest,2008,33,237.53,78.39,0.50
AIR,Upland forest,2008,69,215.03,148.37,0.20
AIR,Upland forest,2008,106,272.02,288.34,0.21
AIR,Upland forest,2008,107,232.85,249.15,0.15
AIR,Upland forest,2008,107,287.80,307.94,0.23
AIR,Upland forest,2008,41,238.98,97.98,0.41
AIR,Upland forest,2008,103,231.02,237.95,0.15
AIR,Upland forest,2008,58,168.93,97.98,0.14
AIR,Upland forest,2008,106,235.05,249.15,0.15
AIR,Upland forest,2008,107,272.10,291.14,0.20
AIR,Upland forest,2008,34,247.01,83.98,0.53
AIR,Upland forest,2008,97,242.43,235.16,0.18
AIR,Upland forest,2008,72,241.07,173.57,0.24
AIR,Upland forest,2008,86,201.82,173.57,0.14
AIR,Upland forest,2008,110,285.04,313.54,0.22
AIR,Upland forest,2008,24,256.62,61.59,0.81
AIR,Upland forest,2008,101,285.49,288.34,0.24
AIR,Upland forest,2008,77,163.61,125.98,0.10
AIR,Upland forest,2008,94,262.08,246.35,0.21
AIR,Upland forest,2008,68,214.08,145.57,0.20
AIR,Upland forest,2008,22,267.22,58.79,0.95
AIR,Upland forest,2008,95,244.58,232.36,0.19
AIR,Upland forest,2008,79,216.16,170.77,0.17
AIR,Upland forest,2009,36,202.18,72.79,0.33
AIR,Upland forest,2009,44,222.68,97.98,0.33
AIR,Upland forest,2009,42,216.63,90.98,0.33
AIR,Upland forest,2009,35,307.94,107.78,0.80
AIR,Upland forest,2009,45,192.85,86.78,0.24
AIR,Upland forest,2009,44,209.96,92.38,0.29
AIR,Upland forest,2009,36,256.62,92.38,0.54
AIR,Upland forest,2009,39,215.34,83.98,0.35
AIR,Upland forest,2009,31,189.64,58.79,0.34
AIR,Upland forest,2009,34,247.01,83.98,0.53
AIR,Upland forest,2009,78,208.17,162.37,0.16
AIR,Upland forest,2009,82,238.98,195.96,0.20
AIR,Upland forest,2009,80,220.46,176.37,0.18
AIR,Upland forest,2009,82,256.05,209.96,0.24
AIR,Upland forest,2009,76,221.01,167.97,0.19
AIR,Upland forest,2009,75,223.96,167.97,0.20
AIR,Upland forest,2009,77,210.87,162.37,0.17
AIR,Upland forest,2009,80,216.96,173.57,0.17
AIR,Upland forest,2009,76,235.74,179.17,0.21
AIR,Upland forest,2009,70,231.96,162.37,0.23
AIR,Upland forest,2009,71,283.89,201.56,0.33
AIR,Upland forest,2009,80,272.95,218.36,0.27
AIR,Upland forest,2009,86,231.12,198.76,0.18
AIR,Upland forest,2009,79,223.25,176.37,0.19
AIR,Upland forest,2009,78,247.64,193.16,0.23
AIR,Upland forest,2009,82,238.98,195.96,0.20
AIR,Upland forest,2009,82,239.32,196.24,0.21
AIR,Upland forest,2009,79,244.51,193.16,0.22
AIR,Upland forest,2009,80,241.45,193.16,0.21
AIR,Upland forest,2009,76,228.38,173.57,0.20
AIR,Upland forest,2009,78,247.64,193.16,0.23
AIR,Upland forest,2009,73,226.26,165.17,0.21
AIR,Upland forest,2009,68,201.73,137.17,0.18
AIR,Upland forest,2009,68,279.95,190.36,0.34
AIR,Upland forest,2009,70,207.96,145.57,0.18
AIR,Upland forest,2009,68,216.14,146.97,0.20
AIR,Upland forest,2009,68,218.19,148.37,0.21
AIR,Upland forest,2009,66,186.63,123.18,0.16
AIR,Upland forest,2009,69,198.80,137.17,0.17
AIR,Upland forest,2009,68,185.26,125.98,0.15
AIR,Upland forest,2009,69,198.80,137.17,0.17
AIR,Upland forest,2009,70,215.96,151.17,0.20
AIR,Upland forest,2009,72,202.18,145.57,0.17
AIR,Upland forest,2009,67,190.11,127.38,0.16
AIR,Upland forest,2009,67,188.02,125.98,0.16
AIR,Upland forest,2009,68,205.84,139.97,0.18
AIR,Upland forest,2009,68,187.32,127.38,0.15
AIR,Upland forest,2009,72,202.18,145.57,0.17
AIR,Upland forest,2009,74,204.29,151.17,0.17
AIR,Upland forest,2009,76,193.38,146.97,0.14
AIR,Upland forest,2009,80,201.21,160.97,0.15
AIR,Upland forest,2009,79,191.36,151.17,0.14
AIR,Upland forest,2009,77,199.96,153.97,0.15
AIR,Upland forest,2009,75,201.56,151.17,0.16
AIR,Upland forest,2009,128,288.69,369.53,0.19
AIR,Upland forest,2009,129,301.65,389.13,0.21
AIR,Upland forest,2009,130,314.40,408.72,0.22
AIR,Upland forest,2009,127,350.48,445.11,0.28
AIR,Upland forest,2009,134,313.37,419.92,0.22
AIR,Upland forest,2009,134,305.02,408.72,0.20
AIR,Upland forest,2009,128,306.19,391.93,0.22
AIR,Upland forest,2009,122,284.54,347.13,0.20
AIR,Upland forest,2009,138,284.00,391.93,0.17
AIR,Upland forest,2009,130,318.71,414.32,0.23
AIR,Upland forest,2009,94,241.23,226.76,0.18
AIR,Upland forest,2009,105,300.79,282.75,0.28
AIR,Upland forest,2009,97,231.96,243.55,0.15
AIR,Upland forest,2009,96,271.29,263.15,0.22
AIR,Upland forest,2009,97,268.28,257.55,0.22
AIR,Upland forest,2009,102,256.86,249.15,0.20
AIR,Upland forest,2009,96,225.06,229.56,0.15
AIR,Upland forest,2009,88,233.29,223.96,0.17
AIR,Upland forest,2009,96,279.95,246.35,0.26
AIR,Upland forest,2009,90,242.04,232.36,0.18
AIR,Upland forest,2009,114,311.05,279.95,0.32
AIR,Upland forest,2009,129,314.67,405.92,0.23
AIR,Upland forest,2009,24,244.95,58.79,0.74
AIR,Upland forest,2009,51,219.57,111.98,0.28
