location,site,type,year,sample.no,depth,density,swe,htc
AIRf,AIR,Forest,2008,1,40,209.9598524,83.98394096,0.324011076
AIRf,AIR,Forest,2008,1,77,236.3184486,181.9652054,0.213231744
AIRp,AIR,Forest,2008,1,79,237.4229555,187.5641348,0.209780759
AIRp,AIR,Forest,2008,1,75,131.7614718,98.82110386,0.068055455
AIRp,AIR,Forest,2008,1,78,211.7543811,165.1684172,0.169011998
AIRp,AIR,Forest,2008,1,44,229.0471117,100.7807292,0.350545417
AIRf,AIR,Forest,2008,2,80,206.4605215,165.1684172,0.156650355
AIRf,AIR,Forest,2008,2,80,241.4538303,193.1630642,0.214252324
AIRf,AIR,Forest,2008,2,46,182.5737847,83.98394096,0.213042542
AIRf,AIR,Forest,2008,2,40,202.9611907,81.18447626,0.30277035
AIRf,AIR,Forest,2008,2,108,254.0255004,274.3475405,0.175662155
AIRp,AIR,Forest,2008,2,86,253.9049378,218.3582465,0.220389639
AIRp,AIR,Forest,2008,2,79,219.7048245,173.5668113,0.179638503
AIRp,AIR,Forest,2008,2,81,179.7187214,145.5721643,0.11723275
AIRp,AIR,Forest,2008,2,52,236.8777822,123.1764467,0.317243435
AIRf,AIR,Forest,2008,3,88,197.2350129,173.5668113,0.129966877
AIRf,AIR,Forest,2008,3,80,251.9518229,201.5614583,0.233287975
AIRf,AIR,Forest,2008,3,54,176.2625921,95.18179975,0.16915073
AIRf,AIR,Forest,2008,3,36,248.8413065,89.58287036,0.505696299
AIRf,AIR,Forest,2008,3,106,176.947297,187.5641348,0.086841903
AIRp,AIR,Forest,2008,3,76,294.6804946,223.9571759,0.335920508
AIRp,AIR,Forest,2008,3,76,228.3773833,173.5668113,0.201762255
AIRp,AIR,Forest,2008,3,75,167.9678819,125.9759114,0.110595781
AIRp,AIR,Forest,2008,3,53,216.5623635,114.7780526,0.260158144
AIRf,AIR,Forest,2008,4,96,204.1276343,195.9625289,0.127608529
AIRf,AIR,Forest,2008,4,80,244.9531611,195.9625289,0.220507538
AIRf,AIR,Forest,2008,4,86,260.4153208,223.9571759,0.231836569
AIRf,AIR,Forest,2008,4,31,279.9464699,86.78340566,0.743251214
AIRf,AIR,Forest,2008,4,87,250.9864902,218.3582465,0.212877013
AIRp,AIR,Forest,2008,4,78,200.9872091,156.7700231,0.152261312
AIRp,AIR,Forest,2008,4,83,222.6080363,184.7646701,0.175529823
AIRp,AIR,Forest,2008,4,61,174.3928829,106.3796585,0.146580099
AIRp,AIR,Forest,2008,4,54,207.3677555,111.9785879,0.234118657
AIRf,AIR,Forest,2008,5,84,249.9522052,209.9598524,0.218666367
AIRf,AIR,Forest,2008,5,82,221.9087871,181.9652054,0.176555999
AIRf,AIR,Forest,2008,5,98,251.3805036,246.3528935,0.189576473
AIRf,AIR,Forest,2008,5,33,237.5303381,78.38501156,0.502656802
AIRf,AIR,Forest,2008,5,93,222.7531051,207.1603877,0.156859893
AIRp,AIR,Forest,2008,5,72,209.9598524,151.1710937,0.180006153
AIRp,AIR,Forest,2008,5,77,225.4114433,173.5668113,0.194003035
AIRp,AIR,Forest,2008,5,61,160.6250237,97.98126445,0.12434946
AIRp,AIR,Forest,2008,5,53,200.7163369,106.3796585,0.223479096
AIRf,AIR,Forest,2008,6,80,223.9571759,179.1657407,0.184326301
AIRf,AIR,Forest,2008,6,98,265.6634867,260.350217,0.211731265
AIRf,AIR,Forest,2008,6,80,237.9544994,190.3635995,0.208087113
AIRf,AIR,Forest,2008,6,40,230.9558376,92.38233506,0.392053402
AIRf,AIR,Forest,2008,6,105,266.6156856,279.9464699,0.199034987
AIRp,AIR,Forest,2008,6,80,230.9558376,184.7646701,0.196026701
AIRp,AIR,Forest,2008,6,81,214.280014,173.5668113,0.1666578
AIRp,AIR,Forest,2008,6,59,142.3456626,83.98394096,0.10096801
AIRp,AIR,Forest,2008,6,45,199.0730452,89.58287036,0.258916505
AIRf,AIR,Forest,2008,7,85,214.0767123,181.9652054,0.158513866
AIRf,AIR,Forest,2008,7,106,272.0234566,288.344864,0.205236299
AIRf,AIR,Forest,2008,7,104,279.9464699,291.1443287,0.221546035
AIRf,AIR,Forest,2008,7,33,237.5303381,78.38501156,0.502656802
AIRf,AIR,Forest,2008,7,69,215.0313464,148.371629,0.197016132
AIRp,AIR,Forest,2008,7,84,246.6195092,207.1603877,0.212874138
AIRp,AIR,Forest,2008,7,71,260.2319297,184.7646701,0.28042075
AIRp,AIR,Forest,2008,7,63,159.9694114,100.7807292,0.119420992
AIRp,AIR,Forest,2008,7,45,236.3992412,106.3796585,0.365112728
AIRf,AIR,Forest,2008,8,107,232.8526712,249.1523582,0.148979325
AIRf,AIR,Forest,2008,8,58,168.9332146,97.98126445,0.144660323
AIRf,AIR,Forest,2008,8,107,287.7954363,307.9411169,0.227578567
AIRf,AIR,Forest,2008,8,41,238.9786938,97.98126445,0.40952634
