"","b0","wsu.2802","wsu.2804"
"Jan",5097.21644142511,0.215459261571496,0.000517700112160576
"Feb",3733.96544129907,0.339726915164698,-0.00265158650416593
"Mar",3495.2825692266,0.44083114042237,-0.0890187620030109
"Apr",-3639.22078463248,1.21893495493957,-0.172291504387568
"May",-937.131656425405,0.781697892360238,-0.00524553099904806
"Jun",6997.08881438259,-1.44665951613371,1.4623589694864
"Jul",-3533.2177153408,1.38486358176028,-0.320265138826953
"Aug",-4813.2684757767,1.37504137670669,-0.20280296560325
"Sep",-4368.90493563073,1.22296649644405,-0.117147385641377
"Oct",-3514.47191691915,0.980515092742384,0.0410453045112117
"Nov",-212921.83479913,19.5481203096632,0.0843042937763521
"Dec",-14608.0516205727,1.97450251494752,0.00581047620442051
