site,pit,date,depth,density,swe,htc
BSW,BSW,2003,62,181,112,0.15
BSW,BSW,2003,65,181,118,0.15
BSW,BSW,2003,70,188,132,0.15
BSW,BSW,2003,56,175,98,0.16
BSW,BSW,2003,61,182,111,0.16
BSW,BSW,2003,64,186,119,0.16
BSW,BSW,2003,64,186,119,0.16
BSW,BSW,2003,66,191,126,0.16
BSW,BSW,2003,78,206,160,0.16
BSW,BSW,2003,44,159,70,0.17
BSW,BSW,2003,55,180,99,0.17
BSW,BSW,2003,60,187,112,0.17
BSW,BSW,2003,62,192,119,0.17
BSW,BSW,2003,67,196,132,0.17
BSW,BSW,2003,68,196,133,0.17
BSW,BSW,2003,70,200,140,0.17
BSW,BSW,2003,59,190,112,0.18
BSW,BSW,2003,61,195,119,0.18
BSW,BSW,2003,64,197,126,0.18
BSW,BSW,2003,66,199,132,0.18
BSW,BSW,2003,66,201,133,0.18
BSW,BSW,2003,66,201,133,0.18
BSW,BSW,2003,48,175,84,0.19
BSW,BSW,2003,58,193,112,0.19
BSW,BSW,2003,58,193,112,0.19
BSW,BSW,2003,60,198,119,0.19
BSW,BSW,2003,63,200,126,0.19
BSW,BSW,2003,65,205,133,0.19
BSW,BSW,2003,65,205,133,0.19
BSW,BSW,2003,64,206,132,0.19
BSW,BSW,2003,65,207,134,0.19
BSW,BSW,2003,67,209,140,0.19
BSW,BSW,2003,74,218,161,0.19
BSW,BSW,2003,58,198,115,0.20
BSW,BSW,2003,60,201,120,0.20
BSW,BSW,2003,62,203,126,0.20
BSW,BSW,2003,62,203,126,0.20
BSW,BSW,2003,62,203,126,0.20
BSW,BSW,2003,62,205,127,0.20
BSW,BSW,2003,61,206,125,0.20
BSW,BSW,2003,66,212,140,0.20
BSW,BSW,2003,73,221,161,0.20
BSW,BSW,2003,72,222,160,0.20
BSW,BSW,2003,72,222,160,0.20
BSW,BSW,2003,48,187,90,0.21
BSW,BSW,2003,61,211,128,0.21
BSW,BSW,2003,67,219,147,0.21
BSW,BSW,2003,55,204,112,0.22
BSW,BSW,2003,62,214,133,0.22
BSW,BSW,2003,68,226,154,0.22
BSW,BSW,2003,70,228,160,0.22
BSW,BSW,2003,54,207,112,0.23
BSW,BSW,2003,65,226,147,0.23
BSW,BSW,2003,60,222,133,0.24
BSW,BSW,2003,60,242,145,0.29
BSW,BSW,2003,54,233,126,0.30
BSW,BSW,2003,68,276,188,0.33
BSW,BSW,2003,68,288,196,0.36
BSW,BSW,2003,68,296,202,0.38
BSW,BSW,2003,52,269,140,0.41
BSW,BSW,2003,42,300,126,0.63
BWP,BWP,2003,11,64,7,0.11
BWP,BWP,2003,11,64,7,0.11
BWP,BWP,2003,28,125,35,0.16
BWP,BWP,2003,15,93,14,0.17
BWP,BWP,2003,27,130,35,0.18
BWP,BWP,2003,58,193,112,0.19
BWP,BWP,2003,26,135,35,0.20
BWP,BWP,2003,17,124,21,0.26
BWP,BWP,2003,24,146,35,0.26
BWP,BWP,2003,52,215,112,0.26
BWP,BWP,2003,56,225,126,0.27
BWP,BWP,2003,8,87,7,0.28
BWP,BWP,2003,8,87,7,0.28
BWP,BWP,2003,8,87,7,0.28
BWP,BWP,2003,50,224,112,0.29
BWP,BWP,2003,54,233,126,0.30
BWP,BWP,2003,56,237,133,0.30
BWP,BWP,2003,58,241,140,0.30
BWP,BWP,2003,59,249,147,0.31
BWP,BWP,2003,16,131,21,0.32
BWP,BWP,2003,50,238,119,0.33
BWP,BWP,2003,52,242,126,0.33
BWP,BWP,2003,22,159,35,0.34
BWP,BWP,2003,22,159,35,0.34
BWP,BWP,2003,29,193,56,0.38
BWP,BWP,2003,53,264,140,0.39
BWP,BWP,2003,18,156,28,0.40
BWP,BWP,2003,18,156,28,0.40
BWP,BWP,2003,26,188,49,0.40
BWP,BWP,2003,35,220,77,0.41
BWP,BWP,2003,43,244,105,0.41
BWP,BWP,2003,7,100,7,0.42
BWP,BWP,2003,50,274,137,0.44
BWP,BWP,2003,14,150,21,0.47
BWP,BWP,2003,14,150,21,0.47
BWP,BWP,2003,16,161,26,0.47
BWP,BWP,2003,13,148,19,0.49
BWP,BWP,2003,39,258,101,0.50
BWP,BWP,2003,36,253,91,0.52
BWP,BWP,2003,40,266,106,0.52
BWP,BWP,2003,32,241,77,0.53
BWP,BWP,2003,39,269,105,0.55
BWP,BWP,2003,10,140,14,0.58
BWP,BWP,2003,33,254,84,0.58
BWP,BWP,2003,13,162,21,0.59
BWP,BWP,2003,13,162,21,0.59
BWP,BWP,2003,37,280,104,0.62
BWP,BWP,2003,20,210,42,0.65
BWP,BWP,2003,17,195,33,0.66
BWP,BWP,2003,6,117,7,0.67
BWP,BWP,2003,6,117,7,0.67
BWP,BWP,2003,6,117,7,0.67
BWP,BWP,2003,12,166,20,0.68
BWP,BWP,2003,15,187,28,0.68
BWP,BWP,2003,12,170,20,0.70
BWP,BWP,2003,27,259,70,0.73
BWP,BWP,2003,15,194,29,0.74
BWP,BWP,2003,12,175,21,0.75
BWP,BWP,2003,12,175,21,0.75
BWP,BWP,2003,12,175,21,0.75
BWP,BWP,2003,9,156,14,0.79
BWP,BWP,2003,17,215,36,0.80
BWP,BWP,2003,39,330,129,0.82
BWP,BWP,2003,14,200,28,0.84
BWP,BWP,2003,18,229,41,0.86
BWP,BWP,2003,22,254,56,0.87
BWP,BWP,2003,16,219,35,0.88
BWP,BWP,2003,16,219,35,0.88
BWP,BWP,2003,16,219,35,0.88
BWP,BWP,2003,18,233,42,0.89
BWP,BWP,2003,11,191,21,0.97
BWP,BWP,2003,26,296,77,0.99
BWP,BWP,2003,21,267,56,1.00
BWP,BWP,2003,13,215,28,1.05
BWP,BWP,2003,13,215,28,1.05
BWP,BWP,2003,17,247,42,1.06
BWP,BWP,2003,15,233,35,1.07
BWP,BWP,2003,15,233,35,1.07
BWP,BWP,2003,15,233,35,1.07
BWP,BWP,2003,12,214,26,1.12
BWP,BWP,2003,18,272,49,1.21
BWP,BWP,2003,12,228,27,1.27
BWP,BWP,2003,16,262,42,1.27
BWP,BWP,2003,10,210,21,1.30
BWP,BWP,2003,14,250,35,1.31
BWP,BWP,2003,14,250,35,1.31
BWP,BWP,2003,12,233,28,1.33
BWP,BWP,2003,12,233,28,1.33
BWP,BWP,2003,26,350,91,1.38
BWP,BWP,2003,15,280,42,1.54
BWP,BWP,2003,18,311,56,1.58
BWP,BWP,2003,7,200,14,1.68
BWP,BWP,2003,7,200,14,1.68
BWP,BWP,2003,16,306,49,1.72
BWP,BWP,2003,16,306,49,1.72
BWP,BWP,2003,16,306,49,1.72
BWP,BWP,2003,18,350,63,2.00
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,12,292,35,2.08
BWP,BWP,2003,15,327,49,2.09
BWP,BWP,2003,14,350,49,2.57
BWP,BWP,2003,11,318,35,2.70
BWP,BWP,2003,11,318,35,2.70
BWP,BWP,2003,11,318,35,2.70
PFR,PFR,2003,41,119,49,0.10
PFR,PFR,2003,41,137,56,0.13
PFR,PFR,2003,40,140,56,0.14
PFR,PFR,2003,36,136,49,0.15
PFR,PFR,2003,36,136,49,0.15
PFR,PFR,2003,38,147,56,0.17
PFR,PFR,2003,38,147,56,0.17
PFR,PFR,2003,42,167,70,0.19
PFR,PFR,2003,50,182,91,0.19
PFR,PFR,2003,39,162,63,0.20
PFR,PFR,2003,44,175,77,0.20
PFR,PFR,2003,38,166,63,0.21
PFR,PFR,2003,56,200,112,0.21
PFR,PFR,2003,92,259,238,0.21
PFR,PFR,2003,67,230,154,0.23
PFR,PFR,2003,56,212,119,0.24
PFR,PFR,2003,66,233,154,0.24
PFR,PFR,2003,66,233,154,0.24
PFR,PFR,2003,66,233,154,0.24
PFR,PFR,2003,74,246,182,0.24
PFR,PFR,2003,78,251,196,0.24
PFR,PFR,2003,53,211,112,0.25
PFR,PFR,2003,55,216,119,0.25
PFR,PFR,2003,55,216,119,0.25
PFR,PFR,2003,61,229,140,0.25
PFR,PFR,2003,63,233,147,0.25
PFR,PFR,2003,80,262,210,0.25
PFR,PFR,2003,82,265,217,0.25
PFR,PFR,2003,48,204,98,0.26
PFR,PFR,2003,48,204,98,0.26
PFR,PFR,2003,50,210,105,0.26
PFR,PFR,2003,54,220,119,0.26
PFR,PFR,2003,54,220,119,0.26
PFR,PFR,2003,54,220,119,0.26
PFR,PFR,2003,74,255,189,0.26
PFR,PFR,2003,81,268,217,0.26
PFR,PFR,2003,64,241,154,0.27
PFR,PFR,2003,82,273,224,0.27
PFR,PFR,2003,51,220,112,0.28
PFR,PFR,2003,51,220,112,0.28
PFR,PFR,2003,53,224,119,0.28
PFR,PFR,2003,63,244,154,0.28
PFR,PFR,2003,63,244,154,0.28
PFR,PFR,2003,46,213,98,0.29
PFR,PFR,2003,50,224,112,0.29
PFR,PFR,2003,62,248,154,0.29
PFR,PFR,2003,66,254,168,0.29
PFR,PFR,2003,68,257,175,0.29
PFR,PFR,2003,106,324,343,0.29
PFR,PFR,2003,106,324,343,0.29
PFR,PFR,2003,52,229,119,0.30
PFR,PFR,2003,54,233,126,0.30
PFR,PFR,2003,56,237,133,0.30
PFR,PFR,2003,58,241,140,0.30
PFR,PFR,2003,81,285,231,0.30
PFR,PFR,2003,43,212,91,0.31
PFR,PFR,2003,49,229,112,0.31
PFR,PFR,2003,51,233,119,0.31
PFR,PFR,2003,80,289,231,0.31
PFR,PFR,2003,40,210,84,0.32
PFR,PFR,2003,40,210,84,0.32
PFR,PFR,2003,64,262,168,0.32
PFR,PFR,2003,71,276,196,0.32
PFR,PFR,2003,85,305,259,0.32
PFR,PFR,2003,42,217,91,0.33
PFR,PFR,2003,44,223,98,0.33
PFR,PFR,2003,44,223,98,0.33
PFR,PFR,2003,46,228,105,0.33
PFR,PFR,2003,46,228,105,0.33
PFR,PFR,2003,50,238,119,0.33
PFR,PFR,2003,50,238,119,0.33
PFR,PFR,2003,50,238,119,0.33
PFR,PFR,2003,50,238,119,0.33
PFR,PFR,2003,54,246,133,0.33
PFR,PFR,2003,54,246,133,0.33
PFR,PFR,2003,54,246,133,0.33
PFR,PFR,2003,56,250,140,0.33
PFR,PFR,2003,56,250,140,0.33
PFR,PFR,2003,75,289,217,0.33
PFR,PFR,2003,102,336,343,0.33
PFR,PFR,2003,103,340,350,0.33
PFR,PFR,2003,57,258,147,0.34
PFR,PFR,2003,57,258,147,0.34
PFR,PFR,2003,77,300,231,0.34
PFR,PFR,2003,80,306,245,0.34
PFR,PFR,2003,41,222,91,0.35
PFR,PFR,2003,49,243,119,0.35
PFR,PFR,2003,78,305,238,0.35
PFR,PFR,2003,47,238,112,0.36
PFR,PFR,2003,47,238,112,0.36
PFR,PFR,2003,74,303,224,0.36
PFR,PFR,2003,76,304,231,0.36
PFR,PFR,2003,79,310,245,0.36
PFR,PFR,2003,52,256,133,0.37
PFR,PFR,2003,98,350,343,0.37
PFR,PFR,2003,40,227,91,0.38
PFR,PFR,2003,94,350,329,0.38
PFR,PFR,2003,74,312,231,0.39
PFR,PFR,2003,77,318,245,0.39
PFR,PFR,2003,45,249,112,0.40
PFR,PFR,2003,94,357,336,0.40
PFR,PFR,2003,41,239,98,0.41
PFR,PFR,2003,92,358,329,0.41
PFR,PFR,2003,30,210,63,0.43
PFR,PFR,2003,36,233,84,0.44
PFR,PFR,2003,42,250,105,0.44
PFR,PFR,2003,74,331,245,0.44
PFR,PFR,2003,47,268,126,0.45
PFR,PFR,2003,69,335,231,0.48
PFR,PFR,2003,79,363,287,0.49
PPA,PPAc,2003,10,70,7,0.14
PPA,PPAc,2003,8,87,7,0.28
PPA,PPAc,2003,12,117,14,0.33
PPA,PPAc,2003,6,117,7,0.67
PPA,PPAc,2003,12,175,21,0.75
PPA,PPAc,2003,9,156,14,0.79
PPA,PPAc,2003,9,156,14,0.79
PPA,PPAc,2003,8,175,14,1.13
PPA,PPAc,2003,5,140,7,1.15
PPA,PPAc,2003,4,133,5,1.30
PPA,PPAc,2003,10,210,21,1.30
PPA,PPAc,2003,12,233,28,1.33
PPA,PPAc,2003,12,233,28,1.33
PPA,PPAc,2003,7,196,14,1.61
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,7,200,14,1.68
PPA,PPAc,2003,9,233,21,1.78
PPA,PPAc,2003,9,233,21,1.78
PPA,PPAc,2003,14,300,42,1.89
PPA,PPAc,2003,12,292,35,2.08
PPA,PPAc,2003,12,292,35,2.08
PPA,PPAc,2003,4,175,7,2.25
PPA,PPAc,2003,4,175,7,2.25
PPA,PPAc,2003,4,175,7,2.25
PPA,PPAc,2003,4,175,7,2.25
PPA,PPAc,2003,4,175,7,2.25
PPA,PPAc,2003,10,280,28,2.30
PPA,PPAc,2003,10,280,28,2.30
PPA,PPAc,2003,8,262,21,2.53
PPA,PPAc,2003,8,262,21,2.53
PPA,PPAc,2003,8,262,21,2.53
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,6,233,14,2.67
PPA,PPAc,2003,9,311,28,3.16
PPA,PPAc,2003,6,271,16,3.59
PPA,PPAc,2003,10,350,35,3.60
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,7,300,21,3.78
PPA,PPAc,2003,13,431,56,4.19
PPA,PPAc,2003,8,350,28,4.50
PPA,PPAc,2003,8,350,28,4.50
PPA,PPAc,2003,8,350,28,4.50
PPA,PPAc,2003,8,350,28,4.50
PPA,PPAc,2003,8,350,28,4.50
PPA,PPAc,2003,5,280,14,4.61
PPA,PPAc,2003,5,280,14,4.61
PPA,PPAc,2003,5,280,14,4.61
PPA,PPAc,2003,5,280,14,4.61
PPA,PPAc,2003,5,319,16,5.99
PPA,PPAc,2003,5,319,16,5.99
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,6,350,21,6.00
PPA,PPAc,2003,5,330,17,6.42
PPA,PPAc,2003,4,301,12,6.66
PPA,PPAc,2003,7,400,28,6.72
PPA,PPAc,2003,7,400,28,6.72
PPA,PPAc,2003,7,400,28,6.72
PPA,PPAc,2003,7,400,28,6.72
PPA,PPAc,2003,8,437,35,7.03
PPA,PPAc,2003,9,467,42,7.11
PPA,PPAc,2003,4,329,13,7.95
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,4,350,14,9.00
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,5,420,21,10.37
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,6,467,28,10.67
PPA,PPAc,2003,3,467,14,21.33
PPA,PPAc,2003,3,467,14,21.33
PPA,PPAc,2003,3,476,14,22.20
PPA,PPAw,2003,22,64,14,0.05
PPA,PPAw,2003,45,124,56,0.10
PPA,PPAw,2003,17,82,14,0.12
PPA,PPAw,2003,21,100,21,0.14
PPA,PPAw,2003,33,127,42,0.14
PPA,PPAw,2003,32,131,42,0.16
PPA,PPAw,2003,15,93,14,0.17
PPA,PPAw,2003,19,111,21,0.19
PPA,PPAw,2003,48,175,84,0.19
PPA,PPAw,2003,26,135,35,0.20
PPA,PPAw,2003,38,166,63,0.21
PPA,PPAw,2003,51,192,98,0.21
PPA,PPAw,2003,22,127,28,0.22
PPA,PPAw,2003,32,153,49,0.22
PPA,PPAw,2003,50,196,98,0.23
PPA,PPAw,2003,28,150,42,0.24
PPA,PPAw,2003,44,191,84,0.24
PPA,PPAw,2003,30,163,49,0.26
PPA,PPAw,2003,33,170,56,0.26
PPA,PPAw,2003,48,204,98,0.26
PPA,PPAw,2003,20,140,28,0.29
PPA,PPAw,2003,26,162,42,0.29
PPA,PPAw,2003,32,182,58,0.30
PPA,PPAw,2003,31,181,56,0.31
PPA,PPAw,2003,16,131,21,0.32
PPA,PPAw,2003,46,228,105,0.33
PPA,PPAw,2003,22,159,35,0.34
PPA,PPAw,2003,30,187,56,0.34
PPA,PPAw,2003,35,200,70,0.34
PPA,PPAw,2003,35,200,70,0.34
PPA,PPAw,2003,32,197,63,0.36
PPA,PPAw,2003,42,233,98,0.38
PPA,PPAw,2003,18,156,28,0.40
PPA,PPAw,2003,18,156,28,0.40
PPA,PPAw,2003,33,212,70,0.40
PPA,PPAw,2003,41,239,98,0.41
PPA,PPAw,2003,28,200,56,0.42
PPA,PPAw,2003,23,183,42,0.43
PPA,PPAw,2003,32,219,70,0.44
PPA,PPAw,2003,38,239,91,0.44
PPA,PPAw,2003,42,250,105,0.44
PPA,PPAw,2003,20,175,35,0.45
PPA,PPAw,2003,32,223,71,0.46
PPA,PPAw,2003,14,150,21,0.47
PPA,PPAw,2003,22,191,42,0.49
PPA,PPAw,2003,22,191,42,0.49
PPA,PPAw,2003,30,223,67,0.49
PPA,PPAw,2003,26,215,56,0.52
PPA,PPAw,2003,26,215,56,0.52
PPA,PPAw,2003,26,215,56,0.52
PPA,PPAw,2003,30,233,70,0.53
PPA,PPAw,2003,30,233,70,0.53
PPA,PPAw,2003,32,241,77,0.53
PPA,PPAw,2003,32,241,77,0.53
PPA,PPAw,2003,36,258,93,0.54
PPA,PPAw,2003,16,175,28,0.56
PPA,PPAw,2003,16,175,28,0.56
PPA,PPAw,2003,16,175,28,0.56
PPA,PPAw,2003,34,259,88,0.58
PPA,PPAw,2003,29,242,70,0.60
PPA,PPAw,2003,18,194,35,0.62
PPA,PPAw,2003,18,194,35,0.62
PPA,PPAw,2003,32,262,84,0.63
PPA,PPAw,2003,32,262,84,0.63
PPA,PPAw,2003,20,210,42,0.65
PPA,PPAw,2003,20,210,42,0.65
PPA,PPAw,2003,20,210,42,0.65
PPA,PPAw,2003,26,242,63,0.66
PPA,PPAw,2003,28,250,70,0.66
PPA,PPAw,2003,28,250,70,0.66
PPA,PPAw,2003,30,261,78,0.67
PPA,PPAw,2003,28,258,72,0.70
PPA,PPAw,2003,29,269,78,0.74
PPA,PPAw,2003,25,252,63,0.75
PPA,PPAw,2003,19,221,42,0.76
PPA,PPAw,2003,28,279,78,0.82
PPA,PPAw,2003,14,200,28,0.84
PPA,PPAw,2003,24,262,63,0.84
PPA,PPAw,2003,22,254,56,0.87
PPA,PPAw,2003,22,254,56,0.87
PPA,PPAw,2003,22,254,56,0.87
PPA,PPAw,2003,16,219,35,0.88
PPA,PPAw,2003,18,233,42,0.89
PPA,PPAw,2003,18,233,42,0.89
PPA,PPAw,2003,28,300,84,0.94
PPA,PPAw,2003,19,258,49,1.03
PPA,PPAw,2003,24,292,70,1.04
PPA,PPAw,2003,18,257,46,1.08
PPA,PPAw,2003,20,280,56,1.15
PPA,PPAw,2003,23,304,70,1.18
PPA,PPAw,2003,18,272,49,1.21
PPA,PPAw,2003,16,262,42,1.27
PPA,PPAw,2003,16,262,42,1.27
PPA,PPAw,2003,10,210,21,1.30
PPA,PPAw,2003,12,233,28,1.33
PPA,PPAw,2003,12,233,28,1.33
PPA,PPAw,2003,26,350,91,1.38
PPA,PPAw,2003,21,333,70,1.55
PPA,PPAw,2003,18,311,56,1.58
PPA,PPAw,2003,16,306,49,1.72
PPA,PPAw,2003,14,300,42,1.89
PPA,PPAw,2003,18,350,63,2.00
PPA,PPAw,2003,10,280,28,2.30
PPA,PPAw,2003,10,280,28,2.30
PPA,PPAw,2003,13,377,49,3.21
PPA,PPAw,2003,13,377,49,3.21
