site,group,date,year,zone,sample,weight,depth,density,swe,htc
T11,1,20130215,2013,Island,1,720,78,258,202,0.25
T11,1,20130215,2013,Island,26,2000,154,364,560,0.25
T11,2,20130215,2013,Island,12,1040,98,297,291,0.26
T11,3,20130215,2013,Island,33,1740,138,353,487,0.27
T11,1,20130215,2013,Island,36,1520,126,338,426,0.27
T11,4,20130215,2013,Island,29,970,93,292,272,0.27
T11,5,20130215,2013,Island,10,1680,134,351,470,0.27
T11,4,20130215,2013,Island,34,900,88,286,252,0.27
T11,5,20130215,2013,Island,25,1620,130,349,454,0.28
T11,1,20130215,2013,Island,16,1510,124,341,423,0.28
T11,4,20130215,2013,Island,44,1080,99,305,302,0.28
T11,4,20130215,2013,Island,39,1200,106,317,336,0.28
T11,4,20130215,2013,Island,19,880,86,286,246,0.28
T11,5,20130215,2013,Island,20,1940,144,377,543,0.29
T11,1,20130215,2013,Island,6,1000,92,304,280,0.30
T11,4,20130215,2013,Island,24,920,87,296,258,0.30
T11,5,20130215,2013,Island,35,1730,132,367,484,0.30
T11,4,20130215,2013,Island,14,850,82,290,238,0.30
T11,1,20130215,2013,Island,21,1200,103,326,336,0.30
T11,3,20130215,2013,Island,43,1300,108,337,364,0.31
T11,5,20130215,2013,Island,30,1520,119,358,426,0.32
T11,1,20130215,2013,Island,11,1200,101,333,336,0.32
T11,5,20130215,2013,Island,45,1500,117,359,420,0.32
T11,5,20130215,2013,Island,5,1100,95,324,308,0.33
T11,3,20130215,2013,Island,18,1050,92,320,294,0.33
T11,3,20130215,2013,Island,23,1500,116,362,420,0.33
T11,5,20130215,2013,Island,40,1450,110,369,406,0.36
T11,4,20130215,2013,Island,9,920,81,318,258,0.37
T11,2,20130215,2013,Island,2,790,73,303,221,0.37
T11,1,20130215,2013,Island,31,1710,120,399,479,0.39
T11,3,20130215,2013,Island,3,220,30,205,62,0.41
T11,4,20130215,2013,Island,4,880,73,337,246,0.46
T11,3,20130215,2013,Island,8,272,18,423,76,2.92
T11,4,20130215,2013,Windward,29,250,38,184,70,0.26
T11,2,20130215,2013,Windward,2,280,40,196,78,0.28
T11,3,20130215,2013,Windward,8,233,33,198,65,0.35
T11,3,20130215,2013,Windward,23,260,35,208,73,0.36
T11,2,20130215,2013,Windward,12,310,39,223,87,0.37
T11,4,20130215,2013,Windward,9,240,32,210,67,0.41
T11,3,20130215,2013,Windward,13,241,32,211,67,0.41
T11,2,20130215,2013,Windward,7,300,37,227,84,0.41
T11,2,20130215,2013,Windward,17,300,37,227,84,0.41
T11,3,20130215,2013,Windward,18,290,36,226,81,0.42
T11,2,20130215,2013,Windward,22,400,43,260,112,0.46
T11,5,20130215,2013,Windward,10,320,37,242,90,0.47
T11,4,20130215,2013,Windward,24,260,32,227,73,0.48
T11,2,20130215,2013,Windward,32,340,38,250,95,0.49
T11,4,20130215,2013,Windward,44,360,39,258,101,0.50
T11,1,20130215,2013,Windward,21,350,38,258,98,0.51
T11,4,20130215,2013,Windward,34,360,38,265,101,0.54
T11,4,20130215,2013,Windward,39,280,32,245,78,0.55
T11,2,20130215,2013,Windward,37,310,34,255,87,0.56
T11,4,20130215,2013,Windward,14,340,36,264,95,0.57
T11,4,20130215,2013,Windward,19,340,36,264,95,0.57
T11,4,20130215,2013,Windward,4,370,38,273,104,0.57
T11,1,20130215,2013,Windward,6,400,40,280,112,0.58
T11,2,20130215,2013,Windward,42,260,30,243,73,0.58
T11,2,20130215,2013,Windward,27,440,42,293,123,0.60
T11,5,20130215,2013,Windward,20,270,29,261,76,0.69
T11,1,20130215,2013,Windward,11,450,40,315,126,0.73
T11,3,20130215,2013,Windward,28,240,26,258,67,0.76
T11,1,20130215,2013,Windward,26,230,25,258,64,0.78
T11,1,20130215,2013,Windward,1,340,32,297,95,0.81
T11,5,20130215,2013,Windward,40,340,32,297,95,0.81
T11,1,20130215,2013,Windward,31,315,30,294,88,0.85
T11,5,20130215,2013,Windward,30,300,29,290,84,0.85
T11,5,20130215,2013,Windward,45,340,31.5,302,95,0.85
T11,3,20130215,2013,Windward,33,255,26,275,71,0.85
T11,1,20130215,2013,Windward,16,325,30,303,91,0.90
T11,5,20130215,2013,Windward,15,178,20,249,50,0.91
T11,1,20130215,2013,Windward,36,250,25,280,70,0.92
T11,5,20130215,2013,Windward,35,140,16,245,39,1.10
T11,5,20130215,2013,Windward,25,360,30,336,101,1.11
T11,5,20130215,2013,Windward,5,255,23,310,71,1.23
T11,1,20130215,2013,Windward,41,400,31,361,112,1.24
T11,3,20130215,2013,Windward,43,182,17,300,51,1.55
T11,3,20130215,2013,Windward,38,165,15,308,46,1.86
T11,3,20130215,2013,Windward,3,200,15,373,56,2.73
T12,3,20130217,2013,Deflation,23,480,52,258,134,0.38
T12,4,20130217,2013,Deflation,28,220,28,220,62,0.51
T12,1,20130217,2013,Deflation,6,305,34,251,85,0.55
T12,3,20130217,2013,Deflation,27,300,33.5,251,84,0.55
T12,4,20130217,2013,Deflation,16,140,20,196,39,0.56
T12,1,20130217,2013,Deflation,14,420,41,287,118,0.59
T12,4,20130217,2013,Deflation,20,150,20,210,42,0.65
T12,2,20130217,2013,Deflation,1,174,22,221,49,0.66
T12,3,20130217,2013,Deflation,19,380,37,288,106,0.66
T12,3,20130217,2013,Deflation,15,460,42,307,129,0.66
T12,5,20130217,2013,Deflation,13,212,25,237,59,0.66
T12,1,20130217,2013,Deflation,10,280,30,261,78,0.67
T12,4,20130217,2013,Deflation,12,80,13,172,22,0.67
T12,1,20130217,2013,Deflation,18,440,40,308,123,0.70
T12,4,20130217,2013,Deflation,8,150,19,221,42,0.76
T12,3,20130217,2013,Deflation,11,240,25,269,67,0.85
T12,1,20130217,2013,Deflation,22,450,38,332,126,0.85
T12,4,20130217,2013,Deflation,24,80,12,187,22,0.85
T12,5,20130217,2013,Deflation,9,161,19,237,45,0.87
T12,2,20130217,2013,Deflation,4,214,22,272,60,0.99
T12,3,20130217,2013,Deflation,7,200,20,280,56,1.15
T12,5,20130217,2013,Deflation,21,190,19,280,53,1.21
T12,2,20130217,2013,Deflation,5,162,16.5,275,45,1.35
T12,5,20130217,2013,Deflation,25,170,17,280,48,1.36
T12,5,20130217,2013,Deflation,17,175,17,288,49,1.44
T12,5,20130217,2013,Deflation,29,154,15,287,43,1.62
T12,2,20130217,2013,Deflation,2,218,15,407,61,3.24
T12,2,20130217,2013,Deflation,3,270,17,445,76,3.42
T12,3,20130217,2013,Drift,3,1050,104,283,294,0.23
T12,3,20130217,2013,Drift,8,980,98,280,274,0.24
T12,3,20130217,2013,Drift,27,780,80,273,218,0.27
T12,3,20130217,2013,Drift,23,880,84,293,246,0.30
T12,4,20130217,2013,Drift,9,1220,104,328,342,0.30
T12,4,20130217,2013,Drift,19,950,88,302,266,0.31
T12,3,20130217,2013,Drift,13,960,88,305,269,0.31
T12,4,20130217,2013,Drift,14,1060,94,316,297,0.31
T12,1,20130217,2013,Drift,6,810,78,291,227,0.32
T12,4,20130217,2013,Drift,4,1040,92,316,291,0.32
T12,3,20130217,2013,Drift,18,820,78,294,230,0.33
T12,4,20130217,2013,Drift,24,860,77,313,241,0.37
T12,5,20130217,2013,Drift,10,1020,86,332,286,0.38
T12,4,20130217,2013,Drift,28,820,74,310,230,0.38
T12,1,20130217,2013,Drift,1,1140,90,355,319,0.41
T12,5,20130217,2013,Drift,15,920,77,334,258,0.43
T12,1,20130217,2013,Drift,11,740,66,314,207,0.44
T12,1,20130217,2013,Drift,21,580,56,290,162,0.44
T12,5,20130217,2013,Drift,20,895,74,339,251,0.46
T12,1,20130217,2013,Drift,16,690,62,312,193,0.46
T12,5,20130217,2013,Drift,25,660,58,319,185,0.51
T12,5,20130217,2013,Drift,29,860,68,354,241,0.54
T12,5,20130217,2013,Drift,5,720,58,348,202,0.61
T12,1,20130217,2013,Drift,26,480,44,305,134,0.62
T12,3,20130217,2013,Island,13,200,68,82,56,0.03
T12,2,20130217,2013,Island,22,450,90,140,126,0.06
T12,3,20130217,2013,Island,18,600,72.5,232,168,0.22
T12,2,20130217,2013,Island,7,620,71,244,174,0.25
T12,3,20130217,2013,Island,23,620,71,244,174,0.25
T12,3,20130217,2013,Island,8,580,66,246,162,0.27
T12,1,20130217,2013,Island,21,1300,108,337,364,0.31
T12,4,20130217,2013,Island,9,690,70,276,193,0.32
T12,1,20130217,2013,Island,16,1060,92,323,297,0.33
T12,3,20130217,2013,Island,3,620,63,276,174,0.35
T12,2,20130217,2013,Island,12,520,56,260,146,0.35
T12,4,20130217,2013,Island,4,740,70,296,207,0.37
T12,1,20130217,2013,Island,1,880,78,316,246,0.38
T12,4,20130217,2013,Island,14,770,71,304,216,0.38
T12,4,20130217,2013,Island,24,750,68,309,210,0.41
T12,1,20130217,2013,Island,11,460,44,293,129,0.57
T12,2,20130217,2013,Island,17,450,42,300,126,0.63
T12,4,20130217,2013,Island,19,450,42,300,126,0.63
T12,1,20130217,2013,Island,6,420,36,327,118,0.87
T12,2,20130217,2013,Island,2,264,18,411,74,2.75
T12,3,20130217,2013,Windward,3,320,34,263,90,0.60
T12,1,20130217,2013,Windward,21,460,43,299,129,0.61
T12,5,20130217,2013,Windward,15,300,32,262,84,0.63
T12,5,20130217,2013,Windward,5,320,32,280,90,0.72
T12,3,20130217,2013,Windward,18,340,33,288,95,0.74
T12,3,20130217,2013,Windward,23,200,23,243,56,0.76
T12,3,20130217,2013,Windward,13,240,25.5,263,67,0.80
T12,3,20130217,2013,Windward,8,200,22,254,56,0.87
T12,4,20130217,2013,Windward,4,360,32,315,101,0.91
T12,1,20130217,2013,Windward,16,268,24,313,75,1.20
T12,4,20130217,2013,Windward,19,220,21,293,62,1.20
T12,4,20130217,2013,Windward,24,340,28,340,95,1.21
T12,5,20130217,2013,Windward,10,260,23,316,73,1.28
T12,1,20130217,2013,Windward,11,200,19,295,56,1.34
T12,4,20130217,2013,Windward,9,240,21,320,67,1.43
T12,5,20130217,2013,Windward,25,224,20,314,63,1.45
T12,4,20130217,2013,Windward,14,210,19,309,59,1.48
T12,1,20130217,2013,Windward,1,230,20,322,64,1.52
T12,5,20130217,2013,Windward,20,235,20,329,66,1.59
T12,1,20130217,2013,Windward,6,210,18,327,59,1.74
T12,2,20130217,2013,Windward,2,185,15,345,52,2.34
T12,2,20130217,2013,Windward,17,87,7,348,24,5.08
T12,2,20130217,2013,Windward,7,82,6,383,23,7.17
T12,2,20130217,2013,Windward,22,64,5,358,18,7.55
T13,1,20130227,2013,Deflation,9,260,30,243,73,0.58
T13,1,20130227,2013,Deflation,8,320,33,271,90,0.66
T13,1,20130227,2013,Deflation,3,400,37,303,112,0.73
T13,1,20130227,2013,Deflation,10,400,37,303,112,0.73
T13,1,20130227,2013,Deflation,11,380,35,304,106,0.78
T13,2,20130227,2013,Deflation,5,98,14,196,27,0.81
T13,2,20130227,2013,Deflation,10,360,33,305,101,0.83
T13,1,20130227,2013,Deflation,2,470,39,337,132,0.86
T13,2,20130227,2013,Deflation,11,370,32,324,104,0.96
T13,1,20130227,2013,Deflation,4,410,34,338,115,0.99
T13,1,20130227,2013,Deflation,6,340,30,317,95,0.99
T13,2,20130227,2013,Deflation,9,280,26,301,78,1.03
T13,1,20130227,2013,Deflation,1,460,36,358,129,1.04
T13,2,20130227,2013,Deflation,8,192,20,269,54,1.06
T13,1,20130227,2013,Deflation,7,350,29,338,98,1.16
T13,2,20130227,2013,Deflation,6,106,13,228,30,1.18
T13,2,20130227,2013,Deflation,4,490,36,381,137,1.19
T13,1,20130227,2013,Deflation,5,330,27,342,92,1.27
T13,2,20130227,2013,Deflation,1,260,23,316,73,1.28
T13,2,20130227,2013,Deflation,2,156,16,273,44,1.37
T13,3,20130227,2013,Deflation,2,190,17,313,53,1.69
T13,3,20130227,2013,Deflation,1,310,23,377,87,1.82
T13,2,20130227,2013,Deflation,3,200,16,350,56,2.25
T13,3,20130227,2013,Deflation,5,175,14,350,49,2.57
T13,3,20130227,2013,Deflation,3,86,8,301,24,3.33
T13,3,20130227,2013,Deflation,6,140,11,356,39,3.39
T13,3,20130227,2013,Deflation,4,120,9,373,34,4.55
T13,2,20130227,2013,Deflation,7,176,10,493,49,7.14
T13,1,20130227,2013,Drift,4,780,87,251,218,0.21
T13,1,20130227,2013,Drift,2,700,78,251,196,0.24
T13,2,20130227,2013,Drift,10,400,53,211,112,0.25
T13,1,20130227,2013,Drift,6,1000,96,292,280,0.26
T13,3,20130227,2013,Drift,2,950,92,289,266,0.27
T13,2,20130227,2013,Drift,3,680,72,264,190,0.29
T13,3,20130227,2013,Drift,4,740,74,280,207,0.31
T13,1,20130227,2013,Drift,11,840,80,294,235,0.32
T13,1,20130227,2013,Drift,1,1020,90,317,286,0.33
T13,1,20130227,2013,Drift,3,1200,100,336,336,0.33
T13,1,20130227,2013,Drift,5,900,82,307,252,0.34
T13,1,20130227,2013,Drift,8,1000,87,322,280,0.35
T13,1,20130227,2013,Drift,9,1000,87,322,280,0.35
T13,2,20130227,2013,Drift,6,580,60,271,162,0.36
T13,2,20130227,2013,Drift,1,680,66,288,190,0.37
T13,1,20130227,2013,Drift,7,1040,87,335,291,0.38
T13,3,20130227,2013,Drift,5,960,82,328,269,0.39
T13,3,20130227,2013,Drift,11,840,75,314,235,0.39
T13,3,20130227,2013,Drift,1,1000,84,333,280,0.39
T13,1,20130227,2013,Drift,10,950,80,332,266,0.41
T13,2,20130227,2013,Drift,11,620,60,289,174,0.41
T13,2,20130227,2013,Drift,9,610,59,289,171,0.42
T13,3,20130227,2013,Drift,6,740,67,309,207,0.42
T13,3,20130227,2013,Drift,3,920,77,334,258,0.43
T13,3,20130227,2013,Drift,7,500,51,274,140,0.43
T13,2,20130227,2013,Drift,8,640,58,309,179,0.48
T13,2,20130227,2013,Drift,4,730,63,324,204,0.49
T13,3,20130227,2013,Drift,10,710,61,326,199,0.51
T13,2,20130227,2013,Drift,5,680,58,328,190,0.55
T13,3,20130227,2013,Drift,9,700,59,332,196,0.55
T13,2,20130227,2013,Drift,2,450,43,293,126,0.59
T13,2,20130227,2013,Drift,7,520,45,323,146,0.68
T13,3,20130227,2013,Drift,8,620,50,347,174,0.71
T13,3,20130227,2013,Island,2,470,71,185,132,0.14
T13,1,20130227,2013,Island,3,580,74,219,162,0.19
T13,3,20130227,2013,Island,1,720,80,252,202,0.23
T13,1,20130227,2013,Island,2,570,64,249,160,0.29
T13,3,20130227,2013,Island,3,1050,93,316,294,0.32
T13,2,20130227,2013,Island,3,620,65,267,174,0.32
T13,2,20130227,2013,Island,2,740,69,300,207,0.38
T13,2,20130227,2013,Island,1,760,65,327,213,0.48
T13,1,20130227,2013,Island,1,460,45,286,129,0.54
T13,1,20130227,2013,Windward,2,240,39,172,67,0.22
T13,1,20130227,2013,Windward,7,240,29,232,67,0.54
T13,2,20130227,2013,Windward,1,240,28,240,67,0.60
T13,1,20130227,2013,Windward,5,210,25,235,59,0.65
T13,1,20130227,2013,Windward,3,350,33,297,98,0.79
T13,1,20130227,2013,Windward,10,290,29,280,81,0.79
T13,1,20130227,2013,Windward,9,450,38,332,126,0.85
T13,1,20130227,2013,Windward,11,440,37,333,123,0.88
T13,1,20130227,2013,Windward,8,310,29,299,87,0.91
T13,3,20130227,2013,Windward,8,248,24,289,69,1.03
T13,1,20130227,2013,Windward,1,350,30,327,98,1.05
T13,1,20130227,2013,Windward,4,300,27,311,84,1.05
T13,2,20130227,2013,Windward,8,172,18,268,48,1.17
T13,3,20130227,2013,Windward,11,110,13,237,31,1.27
T13,2,20130227,2013,Windward,6,370,29,357,104,1.29
T13,2,20130227,2013,Windward,3,198,19,292,55,1.32
T13,2,20130227,2013,Windward,5,300,25,336,84,1.33
T13,2,20130227,2013,Windward,7,498,35,398,139,1.33
T13,3,20130227,2013,Windward,9,250,22,318,70,1.35
T13,3,20130227,2013,Windward,4,150,15,280,42,1.54
T13,2,20130227,2013,Windward,2,200,18,311,56,1.58
T13,3,20130227,2013,Windward,3,122,12,285,34,1.98
T13,3,20130227,2013,Windward,7,55,7,220,15,2.03
T13,3,20130227,2013,Windward,5,110,11,280,31,2.09
T13,2,20130227,2013,Windward,11,199,16,348,56,2.23
T13,2,20130227,2013,Windward,4,227,17,374,64,2.42
T13,2,20130227,2013,Windward,9,238,16,416,67,3.19
T13,1,20130227,2013,Windward,6,118,10,330,33,3.21
T13,3,20130227,2013,Windward,10,146,11,372,41,3.69
T13,2,20130227,2013,Windward,10,97,8,339,27,4.23
T13,3,20130227,2013,Windward,2,48,5,269,13,4.25
T13,3,20130227,2013,Windward,6,65,6,303,18,4.51
T13,3,20130227,2013,Windward,1,147,10,412,41,4.98
T14,2,20130217,2013,Deflation,2,178,26,192,50,0.42
T14,3,20130217,2013,Deflation,27,105,18,163,29,0.44
T14,3,20130217,2013,Deflation,35,125,20,175,35,0.45
T14,3,20130217,2013,Deflation,31,140,21.5,182,39,0.45
T14,2,20130217,2013,Deflation,4,176,25,197,49,0.46
T14,2,20130217,2013,Deflation,5,168,24,196,47,0.47
T14,3,20130217,2013,Deflation,15,86,15,161,24,0.50
T14,3,20130217,2013,Deflation,43,160,22,204,45,0.55
T14,1,20130217,2013,Deflation,10,183,24,213,51,0.56
T14,4,20130217,2013,Deflation,32,92,15,172,26,0.58
T14,4,20130217,2013,Deflation,36,92,15,172,26,0.58
T14,5,20130217,2013,Deflation,21,62,11.5,151,17,0.58
T14,5,20130217,2013,Deflation,13,93,15,174,26,0.59
T14,2,20130217,2013,Deflation,3,246,28,246,69,0.64
T14,5,20130217,2013,Deflation,29,88,14,176,25,0.65
T14,2,20130217,2013,Deflation,1,250,28,250,70,0.66
T14,1,20130217,2013,Deflation,30,250,28,250,70,0.66
T14,3,20130217,2013,Deflation,39,130,18,202,36,0.67
T14,3,20130217,2013,Deflation,19,90,14,180,25,0.68
T14,4,20130217,2013,Deflation,24,81,13,174,23,0.69
T14,3,20130217,2013,Deflation,23,105,15,196,29,0.75
T14,2,20130217,2013,Deflation,7,230,25,258,64,0.78
T14,1,20130217,2013,Deflation,42,190,22,242,53,0.78
T14,1,20130217,2013,Deflation,26,225,24,262,63,0.84
T14,5,20130217,2013,Deflation,25,70,11,178,20,0.85
T14,1,20130217,2013,Deflation,18,320,30,299,90,0.87
T14,1,20130217,2013,Deflation,34,190,21,253,53,0.90
T14,3,20130217,2013,Deflation,11,165,19,243,46,0.91
T14,5,20130217,2013,Deflation,45,192,21,256,54,0.92
T14,4,20130217,2013,Deflation,44,73,11,186,20,0.92
T14,5,20130217,2013,Deflation,41,106,14,212,30,0.94
T14,2,20130217,2013,Deflation,8,224,23,273,63,0.95
T14,4,20130217,2013,Deflation,28,85,12,198,24,0.96
T14,1,20130217,2013,Deflation,14,212,21,283,59,1.12
T14,4,20130217,2013,Deflation,40,70,10,196,20,1.13
T14,2,20130217,2013,Deflation,9,200,20,280,56,1.15
T14,2,20130217,2013,Deflation,6,178,18.5,269,50,1.15
T14,5,20130217,2013,Deflation,37,186,19,274,52,1.16
T14,4,20130217,2013,Deflation,16,94,12,219,26,1.18
T14,1,20130217,2013,Deflation,38,205,20,287,57,1.21
T14,4,20130217,2013,Deflation,12,96,12,224,27,1.23
T14,5,20130217,2013,Deflation,33,164,17,270,46,1.26
T14,5,20130217,2013,Deflation,17,172,17.5,275,48,1.27
T14,4,20130217,2013,Deflation,20,87,11,221,24,1.31
T14,1,20130217,2013,Deflation,22,200,17,329,56,1.88
T14,2,20130217,2013,Drift,2,550,78,197,154,0.15
T14,4,20130217,2013,Drift,15,330,55,168,92,0.15
T14,4,20130217,2013,Drift,30,250,44,159,70,0.17
T14,3,20130217,2013,Drift,34,525,72,204,147,0.17
T14,2,20130217,2013,Drift,8,560,75,209,157,0.17
T14,3,20130217,2013,Drift,39,475,67,198,133,0.17
T14,2,20130217,2013,Drift,18,600,78,215,168,0.17
T14,2,20130217,2013,Drift,23,560,74,212,157,0.18
T14,4,20130217,2013,Drift,10,400,58,193,112,0.19
T14,2,20130217,2013,Drift,33,540,70,216,151,0.20
T14,4,20130217,2013,Drift,45,320,49,183,90,0.20
T14,2,20130217,2013,Drift,38,460,62,208,129,0.20
T14,4,20130217,2013,Drift,4,420,58,203,118,0.21
T14,2,20130217,2013,Drift,13,630,76,232,176,0.21
T14,3,20130217,2013,Drift,19,545,69,221,153,0.21
T14,3,20130217,2013,Drift,3,565,70,226,158,0.21
T14,3,20130217,2013,Drift,6,485,63,216,136,0.22
T14,2,20130217,2013,Drift,28,600,72,233,168,0.22
T14,4,20130217,2013,Drift,40,330,48,192,92,0.23
T14,3,20130217,2013,Drift,14,645,74,244,181,0.24
T14,2,20130217,2013,Drift,43,380,52,205,106,0.24
T14,4,20130217,2013,Drift,20,350,49,200,98,0.24
T14,3,20130217,2013,Drift,24,625,72,243,175,0.24
T14,3,20130217,2013,Drift,9,585,68.5,239,164,0.25
T14,3,20130217,2013,Drift,44,565,65,243,158,0.27
T14,4,20130217,2013,Drift,35,360,48,210,101,0.27
T14,1,20130217,2013,Drift,12,340,46,207,95,0.27
T14,4,20130217,2013,Drift,25,300,42,200,84,0.28
T14,1,20130217,2013,Drift,1,410,50,230,115,0.31
T14,1,20130217,2013,Drift,37,275,38,203,77,0.32
T14,5,20130217,2013,Drift,5,320,42,213,90,0.32
T14,1,20130217,2013,Drift,7,430,50,241,120,0.34
T14,1,20130217,2013,Drift,42,300,39,215,84,0.35
T14,3,20130217,2013,Drift,29,655,65.5,280,183,0.35
T14,1,20130217,2013,Drift,17,350,43,228,98,0.35
T14,1,20130217,2013,Drift,22,330,40,231,92,0.39
T14,1,20130217,2013,Drift,32,250,33,212,70,0.40
T14,1,20130217,2013,Drift,27,290,36,226,81,0.42
T14,5,20130217,2013,Drift,21,190,27,197,53,0.42
T14,5,20130217,2013,Drift,11,240,31,217,67,0.45
T14,5,20130217,2013,Drift,46,210,28,210,59,0.46
T14,5,20130217,2013,Drift,26,255,31,230,71,0.50
T14,5,20130217,2013,Drift,31,295,34,243,83,0.51
T14,5,20130217,2013,Drift,41,215,27,223,60,0.54
T14,5,20130217,2013,Drift,36,285,31,257,80,0.63
T14,5,20130217,2013,Drift,16,220,26,237,62,0.63
T14,3,20130217,2013,Island,34,665,98,190,186,0.11
T14,5,20130217,2013,Island,5,300,50,168,84,0.17
T14,2,20130217,2013,Island,28,570,76,210,160,0.17
T14,2,20130217,2013,Island,8,790,94,235,221,0.17
T14,3,20130217,2013,Island,19,765,92,233,214,0.17
T14,2,20130217,2013,Island,23,820,93,247,230,0.19
T14,2,20130217,2013,Island,13,950,102,261,266,0.20
T14,2,20130217,2013,Island,33,400,57,196,112,0.20
T14,3,20130217,2013,Island,29,945,101,262,265,0.20
T14,3,20130217,2013,Island,39,885,96,258,248,0.20
T14,4,20130217,2013,Island,30,520,67,217,146,0.21
T14,4,20130217,2013,Island,45,840,92,256,235,0.21
T14,2,20130217,2013,Island,18,960,100,269,269,0.21
T14,3,20130217,2013,Island,24,805,88,256,225,0.22
T14,2,20130217,2013,Island,43,500,64,219,140,0.22
T14,3,20130217,2013,Island,14,325,48,190,91,0.22
T14,2,20130217,2013,Island,38,490,63,218,137,0.22
T14,5,20130217,2013,Island,36,505,64,221,141,0.22
T14,4,20130217,2013,Island,35,580,70,232,162,0.23
T14,4,20130217,2013,Island,25,520,65,224,146,0.23
T14,4,20130217,2013,Island,15,440,58,212,123,0.23
T14,5,20130217,2013,Island,31,720,80.5,250,202,0.23
T14,5,20130217,2013,Island,46,475,61,218,133,0.23
T14,4,20130217,2013,Island,40,730,80,255,204,0.24
T14,4,20130217,2013,Island,4,350,49,200,98,0.24
T14,5,20130217,2013,Island,41,460,58.5,220,129,0.24
T14,4,20130217,2013,Island,20,500,61,229,140,0.25
T14,4,20130217,2013,Island,10,440,56,220,123,0.25
T14,1,20130217,2013,Island,42,660,73,253,185,0.26
T14,1,20130217,2013,Island,22,730,78,262,204,0.26
T14,3,20130217,2013,Island,6,365,49,209,102,0.26
T14,5,20130217,2013,Island,21,500,60,233,140,0.27
T14,2,20130217,2013,Island,2,470,57,231,132,0.27
T14,5,20130217,2013,Island,26,498,59,236,139,0.28
T14,3,20130217,2013,Island,44,645,70,258,181,0.28
T14,5,20130217,2013,Island,11,425,53,224,119,0.28
T14,1,20130217,2013,Island,37,600,66,254,168,0.29
T14,1,20130217,2013,Island,32,410,51,225,115,0.29
T14,1,20130217,2013,Island,27,610,66,259,171,0.30
T14,5,20130217,2013,Island,16,400,49,229,112,0.31
T14,1,20130217,2013,Island,17,970,88,309,272,0.32
T14,3,20130217,2013,Island,9,298,39,214,83,0.34
T14,3,20130217,2013,Island,3,286,35,229,80,0.44
T14,1,20130217,2013,Island,12,660,60,308,185,0.46
T14,1,20130217,2013,Island,7,600,49,343,168,0.71
T14,1,20130217,2013,Island,1,500,38,368,140,1.05
T14,4,20130217,2013,Windward,29,160,27,166,45,0.30
T14,2,20130217,2013,Windward,7,112,20,157,31,0.36
T14,4,20130217,2013,Windward,24,150,24,175,42,0.38
T14,4,20130217,2013,Windward,34,150,24,175,42,0.38
T14,2,20130217,2013,Windward,42,174,26,187,49,0.40
T14,4,20130217,2013,Windward,44,240,32,210,67,0.41
T14,4,20130217,2013,Windward,19,140,22,178,39,0.42
T14,4,20130217,2013,Windward,39,170,25,190,48,0.43
T14,2,20130217,2013,Windward,37,218,28,218,61,0.50
T14,5,20130217,2013,Windward,30,142,21,189,40,0.50
T14,5,20130217,2013,Windward,20,113,18,176,32,0.50
T14,2,20130217,2013,Windward,12,96,16,168,27,0.52
T14,2,20130217,2013,Windward,32,136,20,190,38,0.53
T14,5,20130217,2013,Windward,10,120,18,187,34,0.57
T14,5,20130217,2013,Windward,15,123,18,191,34,0.60
T14,3,20130217,2013,Windward,38,118,17.5,189,33,0.60
T14,5,20130217,2013,Windward,35,178,23,217,50,0.60
T14,3,20130217,2013,Windward,43,178,23,217,50,0.60
T14,2,20130217,2013,Windward,27,125,18,194,35,0.62
T14,2,20130217,2013,Windward,22,105,16,184,29,0.62
T14,5,20130217,2013,Windward,5,120,17,198,34,0.68
T14,4,20130217,2013,Windward,14,120,17,198,34,0.68
T14,3,20130217,2013,Windward,8,90,14,180,25,0.68
T14,5,20130217,2013,Windward,45,190,23,231,53,0.68
T14,5,20130217,2013,Windward,25,183,22,233,51,0.72
T14,2,20130217,2013,Windward,2,114,16,199,32,0.73
T14,4,20130217,2013,Windward,4,140,18,218,39,0.77
T14,4,20130217,2013,Windward,9,130,17,214,36,0.79
T14,2,20130217,2013,Windward,17,80,12,187,22,0.85
T14,5,20130217,2013,Windward,40,200,22,254,56,0.87
T14,3,20130217,2013,Windward,18,93,13,200,26,0.91
T14,3,20130217,2013,Windward,28,103,13.5,214,29,0.99
T14,3,20130217,2013,Windward,23,116,14,232,32,1.13
T14,3,20130217,2013,Windward,13,72,10,202,20,1.19
T14,3,20130217,2013,Windward,33,133,15,248,37,1.21
T14,3,20130217,2013,Windward,3,80,10,224,22,1.47
T14,1,20130217,2013,Windward,1,105,11,267,29,1.91
T14,1,20130217,2013,Windward,41,110,11,280,31,2.09
T14,1,20130217,2013,Windward,6,100,10,280,28,2.30
T14,1,20130217,2013,Windward,11,100,10,280,28,2.30
T14,1,20130217,2013,Windward,36,100,10,280,28,2.30
T14,1,20130217,2013,Windward,21,125,11,318,35,2.70
T14,1,20130217,2013,Windward,16,126,11,321,35,2.75
T14,1,20130217,2013,Windward,31,105,9,327,29,3.48
T14,1,20130217,2013,Windward,26,100,8,350,28,4.50
TIS,5,20130220,2013,Drift,8,3150,255,346,882,0.14
TIS,5,20130220,2013,Drift,9,3100,252,344,868,0.14
TIS,5,20130220,2013,Drift,3,3150,245,360,882,0.16
TIS,5,20130220,2013,Drift,10,3120,243,359,873,0.16
