site,group,date,year,zone,sample,weight,depth,density,swe,htc
T14,1,20120225,2012,Island,3,390,39,280,109,0.59
T14,3,20120225,2012,Island,1,260,28,260,73,0.71
T14,1,20120225,2012,Island,2,310,31,280,87,0.74
T14,1,20120225,2012,Island,1,290,29,280,81,0.79
T14,3,20120225,2012,Windward,2,15,8,52,4,0.10
T14,3,20120225,2012,Windward,7,50,14,100,14,0.21
T14,3,20120225,2012,Windward,5,30,9,93,8,0.28
T14,1,20120225,2012,Windward,5,46,11,117,13,0.37
T14,2,20120225,2012,Windward,1,40,10,112,11,0.37
T14,2,20120225,2012,Windward,5,36,9,112,10,0.41
T14,1,20120225,2012,Windward,3,39,9,121,11,0.48
T14,3,20120225,2012,Windward,3,40,9,124,11,0.51
T14,3,20120225,2012,Windward,11,95,16,166,27,0.51
T14,1,20120225,2012,Windward,6,56,11,143,16,0.54
T14,1,20120225,2012,Windward,1,42,9,131,12,0.56
T14,1,20120225,2012,Windward,10,71,12,166,20,0.67
T14,1,20120225,2012,Windward,2,39,8,136,11,0.68
T14,3,20120225,2012,Windward,1,55,10,154,15,0.70
T14,1,20120225,2012,Windward,7,67,11,171,19,0.78
T14,1,20120225,2012,Windward,12,100,14,200,28,0.84
T14,1,20120225,2012,Windward,9,114,15,213,32,0.89
T14,3,20120225,2012,Windward,8,45,8,157,13,0.91
T14,3,20120225,2012,Windward,10,85,12,198,24,0.96
T14,1,20120225,2012,Windward,4,75,11,191,21,0.97
T14,3,20120225,2012,Windward,9,110,14,220,31,1.02
T14,1,20120225,2012,Windward,11,89,12,208,25,1.06
T14,1,20120225,2012,Windward,8,79,11,201,22,1.08
T14,3,20120225,2012,Windward,12,115,14,230,32,1.11
T14,3,20120225,2012,Windward,4,60,9,187,17,1.14
T14,2,20120225,2012,Windward,9,34,6,159,10,1.23
T14,2,20120225,2012,Windward,2,53,8,185,15,1.26
T14,2,20120225,2012,Windward,7,54,8,189,15,1.31
T14,2,20120225,2012,Windward,10,42,6,196,12,1.88
T14,3,20120225,2012,Windward,6,55,7,220,15,2.03
T14,2,20120225,2012,Windward,3,36,5,202,10,2.39
T14,2,20120225,2012,Windward,8,40,5,224,11,2.95
T14,2,20120225,2012,Windward,6,30,4,210,8,3.24
T14,2,20120225,2012,Windward,11,30,4,210,8,3.24
T14,2,20120225,2012,Windward,12,32,4,224,9,3.69
T14,2,20120225,2012,Windward,4,46,5,258,13,3.90
TIS,5.1,20120221,2012,Drift,7,1820,252,202,510,0.05
TIS,4.1,20120221,2012,Drift,3,2105,198,298,589,0.13
TIS,5.1,20120221,2012,Drift,1,3200,234,383,896,0.18
TIS,4.1,20120221,2012,Drift,6,2400,186,361,672,0.21
TIS,5.1,20120221,2012,Drift,2,2760,204,379,773,0.21
TIS,5.1,20120221,2012,Drift,8,3810,250,427,1067,0.21
TIS,4.1,20120221,2012,Drift,13,2670,196,381,747,0.22
TIS,5.1,20120221,2012,Drift,4,2920,208,393,817,0.22
TIS,5.1,20120221,2012,Drift,3,2920,204,401,817,0.23
TIS,4.1,20120221,2012,Drift,10,2740,195,393,767,0.23
TIS,5.1,20120221,2012,Drift,9,2870,201,400,803,0.23
TIS,5.1,20120221,2012,Drift,5,2900,200,406,812,0.24
TIS,4.1,20120221,2012,Drift,9,2750,193,399,770,0.24
TIS,4.1,20120221,2012,Drift,11,2750,193,399,770,0.24
TIS,4.1,20120221,2012,Drift,12,2840,197,404,795,0.24
TIS,4.1,20120221,2012,Drift,8,2780,193,403,778,0.25
TIS,5.1,20120221,2012,Drift,6,4180,250,468,1170,0.26
TIS,4.1,20120221,2012,Drift,4,2800,189,415,784,0.27
TIS,4.1,20120221,2012,Drift,5,2880,190,424,806,0.28
TIS,4.1,20120221,2012,Drift,2,2370,159,417,663,0.32
TIS,4.1,20120221,2012,Drift,7,3120,178,491,873,0.40
TIS,2.1,20120221,2012,Island,2,1220,162,211,342,0.08
TIS,4.1,20120221,2012,Island,1,2480,193,360,694,0.20
TIS,3.1,20120221,2012,Island,6,1340,127,295,375,0.20
TIS,3.1,20120221,2012,Island,4,1480,132,314,414,0.22
TIS,3.1,20120221,2012,Island,11,1360,124,307,381,0.22
TIS,1.1,20120221,2012,Island,11,1495,129,324,419,0.24
TIS,1.1,20120221,2012,Island,10,1520,130,327,426,0.24
TIS,1.1,20120221,2012,Island,12,1500,128,328,420,0.25
TIS,1.1,20120221,2012,Island,9,1540,130,332,431,0.25
TIS,3.1,20120221,2012,Island,3,1660,136,342,465,0.25
TIS,3.1,20120221,2012,Island,7,1700,138,345,476,0.25
TIS,1.1,20120221,2012,Island,3,1380,120,322,386,0.25
TIS,2.1,20120221,2012,Island,3,1160,106,306,325,0.26
TIS,1.1,20120221,2012,Island,5,1650,134,345,462,0.26
TIS,3.1,20120221,2012,Island,8,1580,130,340,442,0.26
TIS,1.1,20120221,2012,Island,13,1610,131,344,451,0.27
TIS,3.1,20120221,2012,Island,12,1620,131,346,454,0.27
TIS,1.1,20120221,2012,Island,7,1910,145,369,535,0.28
TIS,3.1,20120221,2012,Island,2,1800,139,363,504,0.28
TIS,3.1,20120221,2012,Island,9,1620,129,352,454,0.28
TIS,3.1,20120221,2012,Island,1,1820,139,367,510,0.28
TIS,3.1,20120221,2012,Island,13,1620,128,354,454,0.29
TIS,1.1,20120221,2012,Island,4,1400,116,338,392,0.29
TIS,1.1,20120221,2012,Island,8,1860,140,372,521,0.29
TIS,3.1,20120221,2012,Island,10,1780,135,369,498,0.30
TIS,1.1,20120221,2012,Island,2,1400,115,341,392,0.30
TIS,3.1,20120221,2012,Island,5,1520,120,355,426,0.31
TIS,1.1,20120221,2012,Island,6,1890,136,389,529,0.33
TIS,1.1,20120221,2012,Island,1,1060,92,323,297,0.33
TIS,2.1,20120221,2012,Island,1,1130,96,330,316,0.33
