site,site2,zone,group,date,year,time,sample,weight,depth,density,swe,htc
T10,T10d,Deflation,2,20120223,2012,1420,30,35,3,326.6042148,9.798126445,10.45369069
T10,T10d,Deflation,2,20120223,2012,1420,31,35,2,489.9063223,9.798126445,35.28120608
T10,T10d,Deflation,2,20120223,2012,1420,32,95,6,443.2485773,26.59491464,9.626995762
T10,T10d,Deflation,3,20120223,2012,1420,1,450,46,273.860677,125.9759114,0.47934572
T10,T10d,Deflation,3,20120223,2012,1420,2,540,48,314.9397786,151.1710937,0.607520768
T10,T10d,Deflation,3,20120223,2012,1420,3,440,40,307.9411169,123.1764467,0.696983826
T10,T10d,Deflation,3,20120223,2012,1420,4,460,38,338.8825688,128.7753761,0.888509744
T10,T10d,Deflation,3,20120223,2012,1420,5,440,36,342.1567965,123.1764467,0.956082066
T10,T10d,Deflation,3,20120223,2012,1420,6,340,30,317.2726658,95.18179975,0.986487056
T10,T10d,Deflation,3,20120223,2012,1420,7,280,23,340.8043981,78.38501156,1.484669804
T10,T10d,Deflation,3,20120223,2012,1420,8,360,30,335.9357638,100.7807292,1.105957807
T10,T10d,Deflation,3,20120223,2012,1420,9,230,24,268.2820336,64.38768807,0.881696807
T10,T10d,Deflation,3,20120223,2012,1420,10,220,22,279.9464699,61.58822337,1.047308529
T10,T10d,Deflation,3,20120223,2012,1420,11,220,28,219.9579406,61.58822337,0.508005704
T10,T10d,Deflation,3,20120223,2012,1420,12,540,48,314.9397786,151.1710937,0.607520768
T10,T10d,Deflation,3,20120223,2012,1420,13,100,7,399.9235284,27.99464699,6.717430799
T10,T10d,Deflation,3,20120223,2012,1420,14,60,7,239.954117,16.79678819,2.418275088
T10,T10d,Deflation,3,20120223,2012,1420,15,40,5,223.9571759,11.19785879,2.949220818
T10,T10d,Deflation,3,20120223,2012,1420,16,36,4,251.9518229,10.07807292,4.665759497
T10,T10d,Deflation,3,20120223,2012,1420,17,46,7,183.9648231,12.87753761,1.421408357
T10,T10l,Drift,1,20120223,2012,1420,1,950,73,364.3138991,265.9491464,0.534534759
T10,T10l,Drift,1,20120223,2012,1420,2,1625,124,366.8653335,454.9130135,0.319108958
T10,T10l,Drift,1,20120223,2012,1420,3,1780,139,358.4926017,498.3047164,0.271827208
T10,T10l,Drift,1,20120223,2012,1420,4,1800,134,376.0474968,503.9036458,0.310261535
T10,T10l,Drift,1,20120223,2012,1420,5,1980,154,359.9311755,554.2940103,0.247323589
T10,T10l,Drift,1,20120223,2012,1420,6,1550,138,314.4326292,433.9170283,0.210631567
T10,T10l,Drift,1,20120223,2012,1420,7,1880,141,373.2619598,526.2993634,0.290506385
T10,T10l,Drift,1,20120223,2012,1420,8,1840,142,362.7475384,515.1015046,0.272438157
T10,T10l,Drift,1,20120223,2012,1420,9,1860,140,371.9288814,520.700434,0.290495295
T10,T10l,Drift,1,20120223,2012,1420,10,1850,136,380.8095362,517.9009693,0.313490261
T10,T10l,Drift,2,20120223,2012,1420,13,1150,101,318.750931,321.9384403,0.295752811
T10,T10l,Drift,2,20120223,2012,1420,14,1300,113,322.0623105,363.9304108,0.269866325
T10,T10l,Drift,2,20120223,2012,1420,15,1500,115,365.1475694,419.9197048,0.340868067
T10,T10l,Drift,2,20120223,2012,1420,16,1725,125,386.3261284,482.9076605,0.351031008
T10,T10l,Drift,2,20120223,2012,1420,17,1320,111,332.9093155,369.5293402,0.293546054
T10,T10l,Drift,2,20120223,2012,1420,18,1570,119,369.3411409,439.5159577,0.337020052
T10,T10l,Drift,2,20120223,2012,1420,19,2150,139,433.0107268,601.8849102,0.396579116
