,coef,lower,upper
forest,-0.006362506,-0.007948902,-0.00477611
island,-0.005338493,-0.01353881,0.002861823
shrub,-0.022277787,-0.040690773,-0.003864801
fen,0.157284858,0.115363749,0.199205966
wedge,-0.117454441,-0.20152361,-0.033385271
polygon,0.014189059,-0.058216515,0.086594633
beach,0.1689625,0.12535673,0.21256827
