site,pit,year,depth,density,swe,htc
BSW,BSW,2003,54.00,127.01,68.59,0.09
BSW,BSW,2003,58.00,132.73,76.99,0.09
BSW,BSW,2003,57.00,132.61,75.59,0.09
BSW,BSW,2003,76.00,154.71,117.58,0.09
BSW,BSW,2003,50.00,125.98,62.99,0.09
BSW,BSW,2003,66.00,148.46,97.98,0.10
BSW,BSW,2003,52.00,134.59,69.99,0.10
BSW,BSW,2003,72.00,163.30,117.58,0.11
BSW,BSW,2003,86.00,179.04,153.97,0.11
BSW,BSW,2003,50.00,139.97,69.99,0.12
BSW,BSW,2003,68.00,164.67,111.98,0.12
BSW,BSW,2003,68.00,164.67,111.98,0.12
BSW,BSW,2003,56.00,149.97,83.98,0.12
BSW,BSW,2003,56.00,149.97,83.98,0.12
BSW,BSW,2003,62.00,158.03,97.98,0.12
BSW,BSW,2003,55.00,152.70,83.98,0.12
BSW,BSW,2003,72.00,174.97,125.98,0.13
BSW,BSW,2003,69.00,172.43,118.98,0.13
BSW,BSW,2003,48.00,145.81,69.99,0.13
BSW,BSW,2003,44.00,139.97,61.59,0.13
BSW,BSW,2003,68.00,174.97,118.98,0.13
BSW,BSW,2003,50.00,151.73,75.87,0.14
BSW,BSW,2003,70.00,179.97,125.98,0.14
BSW,BSW,2003,75.00,186.63,139.97,0.14
BSW,BSW,2003,67.00,177.58,118.98,0.14
BSW,BSW,2003,56.00,162.47,90.98,0.14
BSW,BSW,2003,47.00,148.91,69.99,0.14
BSW,BSW,2003,69.00,182.57,125.98,0.14
BSW,BSW,2003,58.00,168.93,97.98,0.14
BSW,BSW,2003,58.00,168.93,97.98,0.14
BSW,BSW,2003,58.00,168.93,97.98,0.14
BSW,BSW,2003,66.00,180.27,118.98,0.14
BSW,BSW,2003,63.00,177.74,111.98,0.15
BSW,BSW,2003,65.00,180.89,117.58,0.15
BSW,BSW,2003,70.00,187.96,131.57,0.15
BSW,BSW,2003,48.00,157.47,75.59,0.15
BSW,BSW,2003,37.00,138.46,51.23,0.15
BSW,BSW,2003,57.00,171.90,97.98,0.15
BSW,BSW,2003,62.00,180.61,111.98,0.15
BSW,BSW,2003,62.00,180.61,111.98,0.15
BSW,BSW,2003,64.00,185.90,118.98,0.16
BSW,BSW,2003,64.00,185.90,118.98,0.16
BSW,BSW,2003,61.00,182.19,111.14,0.16
BSW,BSW,2003,56.00,174.97,97.98,0.16
BSW,BSW,2003,77.50,205.90,159.57,0.16
BSW,BSW,2003,66.00,190.87,125.98,0.16
BSW,BSW,2003,68.00,195.55,132.97,0.17
BSW,BSW,2003,70.00,199.96,139.97,0.17
BSW,BSW,2003,44.00,159.06,69.99,0.17
BSW,BSW,2003,67.00,196.38,131.57,0.17
BSW,BSW,2003,60.00,186.63,111.98,0.17
BSW,BSW,2003,55.00,179.67,98.82,0.17
BSW,BSW,2003,62.00,191.90,118.98,0.17
BSW,BSW,2003,66.00,199.36,131.57,0.18
BSW,BSW,2003,64.00,196.84,125.98,0.18
BSW,BSW,2003,59.00,189.79,111.98,0.18
BSW,BSW,2003,66.00,201.48,132.97,0.18
BSW,BSW,2003,66.00,201.48,132.97,0.18
BSW,BSW,2003,61.00,195.04,118.98,0.18
BSW,BSW,2003,63.00,199.96,125.98,0.19
BSW,BSW,2003,48.00,174.97,83.98,0.19
BSW,BSW,2003,74.00,217.53,160.97,0.19
BSW,BSW,2003,58.00,193.07,111.98,0.19
BSW,BSW,2003,58.00,193.07,111.98,0.19
BSW,BSW,2003,65.00,204.58,132.97,0.19
BSW,BSW,2003,65.00,204.58,132.97,0.19
BSW,BSW,2003,67.00,208.92,139.97,0.19
BSW,BSW,2003,60.00,198.30,118.98,0.19
BSW,BSW,2003,65.00,206.73,134.37,0.19
BSW,BSW,2003,64.00,205.59,131.57,0.19
BSW,BSW,2003,62.00,203.19,125.98,0.20
BSW,BSW,2003,62.00,203.19,125.98,0.20
BSW,BSW,2003,62.00,203.19,125.98,0.20
BSW,BSW,2003,73.00,220.51,160.97,0.20
BSW,BSW,2003,60.00,200.63,120.38,0.20
BSW,BSW,2003,58.00,197.89,114.78,0.20
BSW,BSW,2003,62.00,205.44,127.38,0.20
BSW,BSW,2003,66.00,212.08,139.97,0.20
BSW,BSW,2003,72.00,221.62,159.57,0.20
BSW,BSW,2003,72.00,221.62,159.57,0.20
BSW,BSW,2003,61.00,205.60,125.42,0.20
BSW,BSW,2003,67.00,219.36,146.97,0.21
BSW,BSW,2003,48.00,186.63,89.58,0.21
BSW,BSW,2003,61.00,210.65,128.50,0.21
BSW,BSW,2003,62.00,214.48,132.97,0.22
BSW,BSW,2003,70.00,227.96,159.57,0.22
BSW,BSW,2003,55.00,203.60,111.98,0.22
BSW,BSW,2003,68.00,226.43,153.97,0.22
BSW,BSW,2003,65.00,226.11,146.97,0.23
BSW,BSW,2003,54.00,207.37,111.98,0.23
BSW,BSW,2003,60.00,221.62,132.97,0.24
BSW,BSW,2003,60.00,242.15,145.29,0.29
BSW,BSW,2003,54.00,233.29,125.98,0.30
BSW,BSW,2003,68.00,275.83,187.56,0.33
BSW,BSW,2003,68.00,288.18,195.96,0.36
BSW,BSW,2003,68.00,296.41,201.56,0.38
BSW,BSW,2003,52.00,269.18,139.97,0.41
BSW,BSW,2003,42.00,299.94,125.98,0.63
BWP,BWP,2003,11.00,63.62,7.00,0.11
BWP,BWP,2003,11.00,63.62,7.00,0.11
BWP,BWP,2003,28.00,124.98,34.99,0.16
BWP,BWP,2003,15.00,93.32,14.00,0.17
BWP,BWP,2003,27.00,129.60,34.99,0.18
BWP,BWP,2003,58.00,193.07,111.98,0.19
BWP,BWP,2003,26.00,134.59,34.99,0.20
BWP,BWP,2003,24.00,145.81,34.99,0.26
BWP,BWP,2003,52.00,215.34,111.98,0.26
BWP,BWP,2003,17.00,123.51,21.00,0.26
BWP,BWP,2003,56.00,224.96,125.98,0.27
BWP,BWP,2003,8.00,87.48,7.00,0.28
BWP,BWP,2003,8.00,87.48,7.00,0.28
BWP,BWP,2003,8.00,87.48,7.00,0.28
BWP,BWP,2003,50.00,223.96,111.98,0.29
BWP,BWP,2003,58.00,241.33,139.97,0.30
BWP,BWP,2003,56.00,237.45,132.97,0.30
BWP,BWP,2003,54.00,233.29,125.98,0.30
BWP,BWP,2003,59.00,249.10,146.97,0.31
BWP,BWP,2003,16.00,131.22,21.00,0.32
BWP,BWP,2003,52.00,242.26,125.98,0.33
BWP,BWP,2003,50.00,237.95,118.98,0.33
BWP,BWP,2003,22.00,159.06,34.99,0.34
BWP,BWP,2003,22.00,159.06,34.99,0.34
BWP,BWP,2003,29.00,193.07,55.99,0.38
BWP,BWP,2003,53.00,264.10,139.97,0.39
BWP,BWP,2003,18.00,155.53,27.99,0.40
BWP,BWP,2003,18.00,155.53,27.99,0.40
BWP,BWP,2003,26.00,188.43,48.99,0.40
BWP,BWP,2003,35.00,219.96,76.99,0.41
BWP,BWP,2003,43.00,244.14,104.98,0.41
BWP,BWP,2003,7.00,99.98,7.00,0.42
BWP,BWP,2003,50.00,274.35,137.17,0.44
BWP,BWP,2003,14.00,149.97,21.00,0.47
BWP,BWP,2003,14.00,149.97,21.00,0.47
BWP,BWP,2003,16.00,160.78,25.72,0.47
BWP,BWP,2003,13.00,147.92,19.23,0.49
BWP,BWP,2003,39.00,258.41,100.78,0.50
BWP,BWP,2003,40.00,265.95,106.38,0.52
BWP,BWP,2003,36.00,252.73,90.98,0.52
BWP,BWP,2003,32.00,240.58,76.99,0.53
BWP,BWP,2003,39.00,269.18,104.98,0.55
BWP,BWP,2003,10.00,139.97,14.00,0.58
BWP,BWP,2003,33.00,254.50,83.98,0.58
BWP,BWP,2003,13.00,161.51,21.00,0.59
BWP,BWP,2003,13.00,161.51,21.00,0.59
BWP,BWP,2003,37.00,279.95,103.58,0.62
BWP,BWP,2003,20.00,209.96,41.99,0.65
BWP,BWP,2003,17.00,194.71,33.10,0.66
BWP,BWP,2003,6.00,116.64,7.00,0.67
BWP,BWP,2003,6.00,116.64,7.00,0.67
BWP,BWP,2003,6.00,116.64,7.00,0.67
BWP,BWP,2003,12.00,166.40,19.97,0.68
BWP,BWP,2003,15.00,186.63,27.99,0.68
BWP,BWP,2003,12.00,169.53,20.34,0.70
BWP,BWP,2003,27.00,259.21,69.99,0.73
BWP,BWP,2003,15.00,193.93,29.09,0.74
BWP,BWP,2003,12.00,174.97,21.00,0.75
BWP,BWP,2003,12.00,174.97,21.00,0.75
BWP,BWP,2003,12.00,174.97,21.00,0.75
BWP,BWP,2003,9.00,155.53,14.00,0.79
BWP,BWP,2003,17.00,214.62,36.49,0.80
BWP,BWP,2003,39.00,330.19,128.78,0.82
BWP,BWP,2003,14.00,199.96,27.99,0.84
BWP,BWP,2003,18.00,229.04,41.23,0.86
BWP,BWP,2003,22.00,254.50,55.99,0.87
BWP,BWP,2003,16.00,218.71,34.99,0.88
BWP,BWP,2003,16.00,218.71,34.99,0.88
BWP,BWP,2003,16.00,218.71,34.99,0.88
BWP,BWP,2003,18.00,233.29,41.99,0.89
BWP,BWP,2003,11.00,190.87,21.00,0.97
BWP,BWP,2003,26.00,296.10,76.99,0.99
BWP,BWP,2003,21.00,266.62,55.99,1.00
BWP,BWP,2003,13.00,215.34,27.99,1.05
BWP,BWP,2003,13.00,215.34,27.99,1.05
BWP,BWP,2003,17.00,247.01,41.99,1.06
BWP,BWP,2003,15.00,233.29,34.99,1.07
BWP,BWP,2003,15.00,233.29,34.99,1.07
BWP,BWP,2003,15.00,233.29,34.99,1.07
BWP,BWP,2003,12.00,214.09,25.69,1.12
BWP,BWP,2003,18.00,272.17,48.99,1.21
BWP,BWP,2003,16.00,262.45,41.99,1.27
BWP,BWP,2003,12.00,228.11,27.37,1.27
BWP,BWP,2003,10.00,209.96,21.00,1.30
BWP,BWP,2003,14.00,249.95,34.99,1.31
BWP,BWP,2003,14.00,249.95,34.99,1.31
BWP,BWP,2003,12.00,233.29,27.99,1.33
BWP,BWP,2003,12.00,233.29,27.99,1.33
BWP,BWP,2003,26.00,349.93,90.98,1.38
BWP,BWP,2003,15.00,279.95,41.99,1.54
BWP,BWP,2003,18.00,311.05,55.99,1.58
BWP,BWP,2003,7.00,199.96,14.00,1.68
BWP,BWP,2003,7.00,199.96,14.00,1.68
BWP,BWP,2003,16.00,306.19,48.99,1.72
BWP,BWP,2003,16.00,306.19,48.99,1.72
BWP,BWP,2003,16.00,306.19,48.99,1.72
BWP,BWP,2003,18.00,349.93,62.99,2.00
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,12.00,291.61,34.99,2.08
BWP,BWP,2003,15.00,326.60,48.99,2.09
BWP,BWP,2003,14.00,349.93,48.99,2.57
BWP,BWP,2003,11.00,318.12,34.99,2.70
BWP,BWP,2003,11.00,318.12,34.99,2.70
BWP,BWP,2003,11.00,318.12,34.99,2.70
PFR,PFR,2003,41.00,119.49,48.99,0.10
PFR,PFR,2003,41.00,136.56,55.99,0.13
PFR,PFR,2003,40.00,139.97,55.99,0.14
PFR,PFR,2003,36.00,136.09,48.99,0.15
PFR,PFR,2003,36.00,136.09,48.99,0.15
PFR,PFR,2003,38.00,147.34,55.99,0.17
PFR,PFR,2003,38.00,147.34,55.99,0.17
PFR,PFR,2003,42.00,166.63,69.99,0.19
PFR,PFR,2003,50.00,181.97,90.98,0.19
PFR,PFR,2003,39.00,161.51,62.99,0.20
PFR,PFR,2003,44.00,174.97,76.99,0.20
PFR,PFR,2003,56.00,199.96,111.98,0.21
PFR,PFR,2003,38.00,165.76,62.99,0.21
PFR,PFR,2003,92.00,258.65,237.95,0.21
PFR,PFR,2003,67.00,229.81,153.97,0.23
PFR,PFR,2003,56.00,212.46,118.98,0.24
PFR,PFR,2003,78.00,251.23,195.96,0.24
PFR,PFR,2003,74.00,245.90,181.97,0.24
PFR,PFR,2003,66.00,233.29,153.97,0.24
PFR,PFR,2003,66.00,233.29,153.97,0.24
PFR,PFR,2003,66.00,233.29,153.97,0.24
PFR,PFR,2003,53.00,211.28,111.98,0.25
PFR,PFR,2003,55.00,216.32,118.98,0.25
PFR,PFR,2003,55.00,216.32,118.98,0.25
PFR,PFR,2003,82.00,264.58,216.96,0.25
PFR,PFR,2003,80.00,262.45,209.96,0.25
PFR,PFR,2003,61.00,229.46,139.97,0.25
PFR,PFR,2003,63.00,233.29,146.97,0.25
PFR,PFR,2003,48.00,204.13,97.98,0.26
PFR,PFR,2003,48.00,204.13,97.98,0.26
PFR,PFR,2003,74.00,255.36,188.96,0.26
PFR,PFR,2003,50.00,209.96,104.98,0.26
PFR,PFR,2003,81.00,267.85,216.96,0.26
PFR,PFR,2003,54.00,220.33,118.98,0.26
PFR,PFR,2003,54.00,220.33,118.98,0.26
PFR,PFR,2003,54.00,220.33,118.98,0.26
PFR,PFR,2003,64.00,240.58,153.97,0.27
PFR,PFR,2003,82.00,273.12,223.96,0.27
PFR,PFR,2003,51.00,219.57,111.98,0.28
PFR,PFR,2003,51.00,219.57,111.98,0.28
PFR,PFR,2003,63.00,244.40,153.97,0.28
PFR,PFR,2003,63.00,244.40,153.97,0.28
PFR,PFR,2003,53.00,224.49,118.98,0.28
PFR,PFR,2003,68.00,257.30,174.97,0.29
PFR,PFR,2003,66.00,254.50,167.97,0.29
PFR,PFR,2003,46.00,213.00,97.98,0.29
PFR,PFR,2003,106.00,323.52,342.93,0.29
PFR,PFR,2003,106.00,323.52,342.93,0.29
PFR,PFR,2003,62.00,248.34,153.97,0.29
PFR,PFR,2003,50.00,223.96,111.98,0.29
PFR,PFR,2003,81.00,285.13,230.96,0.30
PFR,PFR,2003,58.00,241.33,139.97,0.30
PFR,PFR,2003,52.00,228.80,118.98,0.30
PFR,PFR,2003,56.00,237.45,132.97,0.30
PFR,PFR,2003,54.00,233.29,125.98,0.30
PFR,PFR,2003,43.00,211.59,90.98,0.31
PFR,PFR,2003,80.00,288.69,230.96,0.31
PFR,PFR,2003,49.00,228.53,111.98,0.31
PFR,PFR,2003,51.00,233.29,118.98,0.31
PFR,PFR,2003,71.00,276.00,195.96,0.32
PFR,PFR,2003,64.00,262.45,167.97,0.32
PFR,PFR,2003,85.00,304.65,258.95,0.32
PFR,PFR,2003,40.00,209.96,83.98,0.32
PFR,PFR,2003,40.00,209.96,83.98,0.32
PFR,PFR,2003,102.00,336.21,342.93,0.33
PFR,PFR,2003,56.00,249.95,139.97,0.33
PFR,PFR,2003,56.00,249.95,139.97,0.33
PFR,PFR,2003,75.00,289.28,216.96,0.33
PFR,PFR,2003,42.00,216.63,90.98,0.33
PFR,PFR,2003,103.00,339.74,349.93,0.33
PFR,PFR,2003,54.00,246.25,132.97,0.33
PFR,PFR,2003,54.00,246.25,132.97,0.33
PFR,PFR,2003,54.00,246.25,132.97,0.33
PFR,PFR,2003,44.00,222.68,97.98,0.33
PFR,PFR,2003,44.00,222.68,97.98,0.33
PFR,PFR,2003,46.00,228.22,104.98,0.33
PFR,PFR,2003,46.00,228.22,104.98,0.33
PFR,PFR,2003,50.00,237.95,118.98,0.33
PFR,PFR,2003,50.00,237.95,118.98,0.33
PFR,PFR,2003,50.00,237.95,118.98,0.33
PFR,PFR,2003,50.00,237.95,118.98,0.33
PFR,PFR,2003,57.00,257.85,146.97,0.34
PFR,PFR,2003,57.00,257.85,146.97,0.34
PFR,PFR,2003,77.00,299.94,230.96,0.34
PFR,PFR,2003,80.00,306.19,244.95,0.34
PFR,PFR,2003,78.00,305.07,237.95,0.35
PFR,PFR,2003,41.00,221.91,90.98,0.35
PFR,PFR,2003,49.00,242.81,118.98,0.35
PFR,PFR,2003,47.00,238.25,111.98,0.36
PFR,PFR,2003,47.00,238.25,111.98,0.36
PFR,PFR,2003,76.00,303.89,230.96,0.36
PFR,PFR,2003,79.00,310.07,244.95,0.36
PFR,PFR,2003,74.00,302.64,223.96,0.36
PFR,PFR,2003,98.00,349.93,342.93,0.37
PFR,PFR,2003,52.00,255.72,132.97,0.37
PFR,PFR,2003,40.00,227.46,90.98,0.38
PFR,PFR,2003,94.00,349.93,328.94,0.38
PFR,PFR,2003,77.00,318.12,244.95,0.39
PFR,PFR,2003,74.00,312.10,230.96,0.39
PFR,PFR,2003,94.00,357.38,335.94,0.40
PFR,PFR,2003,45.00,248.84,111.98,0.40
PFR,PFR,2003,92.00,357.54,328.94,0.41
PFR,PFR,2003,41.00,238.98,97.98,0.41
PFR,PFR,2003,30.00,209.96,62.99,0.43
PFR,PFR,2003,74.00,331.02,244.95,0.44
PFR,PFR,2003,42.00,249.95,104.98,0.44
PFR,PFR,2003,36.00,233.29,83.98,0.44
PFR,PFR,2003,47.00,268.03,125.98,0.45
PFR,PFR,2003,69.00,334.72,230.96,0.48
PFR,PFR,2003,79.00,363.22,286.95,0.49
PPA,PPAw,2003,22.00,63.62,14.00,0.05
PPA,PPAw,2003,45.00,124.42,55.99,0.10
PPA,PPAw,2003,17.00,82.34,14.00,0.12
PPA,PPAw,2003,21.00,99.98,21.00,0.14
PPA,PPAc,2003,10.00,69.99,7.00,0.14
PPA,PPAw,2003,33.00,127.25,41.99,0.14
PPA,PPAw,2003,32.00,131.22,41.99,0.16
PPA,PPAw,2003,15.00,93.32,14.00,0.17
PPA,PPAw,2003,48.00,174.97,83.98,0.19
PPA,PPAw,2003,19.00,110.51,21.00,0.19
PPA,PPAw,2003,26.00,134.59,34.99,0.20
PPA,PPAw,2003,38.00,165.76,62.99,0.21
PPA,PPAw,2003,51.00,192.12,97.98,0.21
PPA,PPAw,2003,32.00,153.10,48.99,0.22
PPA,PPAw,2003,22.00,127.25,27.99,0.22
PPA,PPAw,2003,50.00,195.96,97.98,0.23
PPA,PPAw,2003,28.00,149.97,41.99,0.24
PPA,PPAw,2003,44.00,190.87,83.98,0.24
PPA,PPAw,2003,48.00,204.13,97.98,0.26
PPA,PPAw,2003,33.00,169.66,55.99,0.26
PPA,PPAw,2003,30.00,163.30,48.99,0.26
PPA,PPAc,2003,8.00,87.48,7.00,0.28
PPA,PPAw,2003,20.00,139.97,27.99,0.29
PPA,PPAw,2003,26.00,161.51,41.99,0.29
PPA,PPAw,2003,32.00,181.97,58.23,0.30
PPA,PPAw,2003,31.00,180.61,55.99,0.31
PPA,PPAw,2003,16.00,131.22,21.00,0.32
PPA,PPAw,2003,46.00,228.22,104.98,0.33
PPA,PPAc,2003,12.00,116.64,14.00,0.33
PPA,PPAw,2003,35.00,199.96,69.99,0.34
PPA,PPAw,2003,35.00,199.96,69.99,0.34
PPA,PPAw,2003,22.00,159.06,34.99,0.34
PPA,PPAw,2003,30.00,186.63,55.99,0.34
PPA,PPAw,2003,32.00,196.84,62.99,0.36
PPA,PPAw,2003,42.00,233.29,97.98,0.38
PPA,PPAw,2003,18.00,155.53,27.99,0.40
PPA,PPAw,2003,18.00,155.53,27.99,0.40
PPA,PPAw,2003,33.00,212.08,69.99,0.40
PPA,PPAw,2003,41.00,238.98,97.98,0.41
PPA,PPAw,2003,28.00,199.96,55.99,0.42
PPA,PPAw,2003,23.00,182.57,41.99,0.43
PPA,PPAw,2003,42.00,249.95,104.98,0.44
PPA,PPAw,2003,32.00,218.71,69.99,0.44
PPA,PPAw,2003,38.00,239.43,90.98,0.44
PPA,PPAw,2003,20.00,174.97,34.99,0.45
PPA,PPAw,2003,32.00,223.08,71.39,0.46
PPA,PPAw,2003,14.00,149.97,21.00,0.47
PPA,PPAw,2003,22.00,190.87,41.99,0.49
PPA,PPAw,2003,22.00,190.87,41.99,0.49
PPA,PPAw,2003,30.00,223.02,66.91,0.49
PPA,PPAw,2003,26.00,215.34,55.99,0.52
PPA,PPAw,2003,26.00,215.34,55.99,0.52
PPA,PPAw,2003,26.00,215.34,55.99,0.52
PPA,PPAw,2003,32.00,240.58,76.99,0.53
PPA,PPAw,2003,32.00,240.58,76.99,0.53
PPA,PPAw,2003,30.00,233.29,69.99,0.53
PPA,PPAw,2003,30.00,233.29,69.99,0.53
PPA,PPAw,2003,36.00,258.17,92.94,0.54
PPA,PPAw,2003,16.00,174.97,27.99,0.56
PPA,PPAw,2003,16.00,174.97,27.99,0.56
PPA,PPAw,2003,16.00,174.97,27.99,0.56
PPA,PPAw,2003,34.00,258.54,87.90,0.58
PPA,PPAw,2003,29.00,242.30,70.27,0.60
PPA,PPAw,2003,18.00,194.41,34.99,0.62
PPA,PPAw,2003,18.00,194.41,34.99,0.62
PPA,PPAw,2003,32.00,262.45,83.98,0.63
PPA,PPAw,2003,32.00,262.45,83.98,0.63
PPA,PPAw,2003,20.00,209.96,41.99,0.65
PPA,PPAw,2003,20.00,209.96,41.99,0.65
PPA,PPAw,2003,20.00,209.96,41.99,0.65
PPA,PPAw,2003,28.00,249.95,69.99,0.66
PPA,PPAw,2003,28.00,249.95,69.99,0.66
PPA,PPAw,2003,26.00,242.26,62.99,0.66
PPA,PPAc,2003,6.00,116.64,7.00,0.67
