"","b0","wsu.2803","wsu.2804"
"Jan",10906.5372200406,0.0357070978893674,0.000175598632516339
"Feb",-10797.5647566947,2.92175581297484,0.00437711855277044
"Mar",-3708.10407862573,1.67860442964137,0.202816694135611
"Apr",3475.95257857933,0.71108588948509,0.167061009722663
"May",2047.08271282372,0.836384506625541,0.230772818768721
"Jun",3068.22382574798,-0.192502926385042,0.8368753238991
"Jul",3384.9476232775,0.333532047518425,0.418633850710574
"Aug",3415.99379780892,0.368640324015891,0.390263594101869
"Sep",3501.13706484334,0.417566969459265,0.359578926142469
"Oct",3484.31986100501,0.701959988943409,0.174278709574683
"Nov",10991.6509691743,0.0334346865303513,-0.00060509374272716
"Dec",7477.60054186151,0.495652836830782,-0.00273280461211404
