site,year,depth,density,swe,htc
WSU,2013,68,197.61,134.37,0.17
WSU,2013,58,183.41,106.38,0.17
WSU,2013,62,189.64,796.49,0.17
WSU,2013,46,170.4,78.39,0.19
WSU,2013,62,198.67,874.16,0.19
WSU,2013,48,177.88,85.38,0.19
WSU,2013,44,171.79,75.59,0.2
WSU,2013,54,191.82,103.58,0.2
WSU,2013,76,239.43,181.97,0.22
WSU,2013,46,194.75,89.58,0.24
WSU,2013,55,216.32,118.98,0.25
WSU,2013,58,226.85,131.57,0.26
WSU,2013,40,188.96,75.59,0.26
WSU,2013,37,189.15,69.99,0.28
WSU,2013,38,198.91,75.59,0.31
WSU,2013,44,216.32,735.5,0.31
WSU,2013,40,206.46,82.58,0.31
WSU,2013,56,247.45,138.57,0.32
WSU,2013,61,284.54,173.57,0.39
WSU,2014,62,112.88,69.99,0.06
WSU,2014,66,118.77,78.39,0.06
WSU,2014,64,126.85,81.18,0.07
WSU,2014,64,131.22,83.98,0.08
WSU,2014,57,127.69,72.79,0.08
WSU,2014,65,137.82,89.58,0.09
WSU,2014,47,119.13,55.99,0.09
WSU,2014,64,139.97,89.58,0.09
WSU,2014,61,137.68,83.98,0.09
WSU,2014,63,142.2,89.58,0.09
WSU,2014,61,139.97,85.38,0.09
WSU,2014,51,131.74,67.19,0.1
WSU,2014,63,146.64,92.38,0.1
WSU,2014,52,134.59,69.99,0.1
WSU,2014,58,144.8,83.98,0.11
WSU,2014,58,144.8,83.98,0.11
WSU,2014,51,137.23,69.99,0.11
WSU,2014,60,149.3,89.58,0.11
WSU,2014,57,147.34,83.98,0.11
WSU,2014,50,139.97,69.99,0.12
WSU,2014,52,145.36,75.59,0.12
WSU,2014,59,156.58,92.38,0.12
WSU,2014,54,150.34,81.18,0.12
WSU,2014,60,158.64,95.18,0.12
WSU,2014,60,158.64,95.18,0.12
WSU,2014,62,162.55,100.78,0.13
WSU,2014,59,161.33,95.18,0.13
WSU,2014,60,163.3,97.98,0.13
WSU,2014,61,165.21,100.78,0.13
WSU,2014,54,155.53,83.98,0.13
WSU,2014,51,153.7,78.39,0.14
WSU,2014,51,153.7,78.39,0.14
WSU,2014,60,167.97,100.78,0.14
WSU,2014,53,158.46,83.98,0.14
WSU,2014,56,167.47,93.78,0.15
WSU,2014,52,161.51,83.98,0.15
WSU,2014,52,161.51,83.98,0.15
WSU,2014,67,183.85,123.18,0.15
WSU,2014,54,165.89,89.58,0.15
WSU,2014,54,165.89,89.58,0.15
WSU,2014,54,165.89,89.58,0.15
WSU,2014,56,169.97,95.18,0.15
WSU,2014,48,157.47,75.59,0.15
WSU,2014,57,171.9,97.98,0.15
WSU,2014,52,164.2,85.38,0.15
WSU,2014,60,177.3,106.38,0.15
WSU,2014,53,169.02,89.58,0.16
WSU,2014,55,173.06,95.18,0.16
WSU,2014,56,174.97,97.98,0.16
WSU,2014,58,178.59,103.58,0.16
WSU,2014,59,180.3,106.38,0.16
WSU,2014,48,163.3,78.39,0.16
WSU,2014,52,172.27,89.58,0.17
WSU,2014,54,176.26,95.18,0.17
WSU,2014,63,191.07,120.38,0.17
WSU,2014,59,185.05,109.18,0.17
WSU,2014,61,188.16,114.78,0.17
WSU,2014,60,186.63,111.98,0.17
WSU,2014,60,186.63,111.98,0.17
WSU,2014,52,177.66,92.38,0.18
WSU,2014,62,194.16,120.38,0.18
WSU,2014,55,183.24,100.78,0.18
WSU,2014,55,183.24,100.78,0.18
WSU,2014,58,188.24,109.18,0.18
WSU,2014,57,186.63,106.38,0.18
WSU,2014,57,186.63,106.38,0.18
WSU,2014,57,186.63,106.38,0.18
WSU,2014,54,183.52,99.1,0.18
WSU,2014,56,187.46,104.98,0.18
WSU,2014,60,195.96,117.58,0.19
WSU,2014,60,195.96,117.58,0.19
WSU,2014,56,189.96,106.38,0.19
WSU,2014,56,189.96,106.38,0.19
WSU,2014,53,184.87,97.98,0.19
WSU,2014,53,184.87,97.98,0.19
WSU,2014,54,186.63,100.78,0.19
WSU,2014,46,176.49,81.18,0.2
WSU,2014,54,191.82,103.58,0.2
WSU,2014,53,190.15,100.78,0.2
WSU,2014,52,188.43,97.98,0.2
WSU,2014,58,202.72,117.58,0.21
WSU,2014,58,202.72,117.58,0.21
WSU,2014,58,202.72,117.58,0.21
WSU,2014,65,215.34,139.97,0.21
WSU,2014,52,193.81,100.78,0.21
WSU,2014,51,192.12,97.98,0.21
WSU,2014,50,190.36,95.18,0.21
WSU,2014,50,190.36,95.18,0.21
WSU,2014,48,186.63,89.58,0.21
