year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,FRO,Ecotone,924,W,NWS,FRO FT924 NWS,0.2351,0.5197,121.0548703,1,NA,0.019133853,2.33365E-05
2008,FRO,Ecotone,924,L,SOA,FRO FT924 SOA,0.4347,0.9023,107.568438,1,NA,0.025311873,3.80062E-05
2008,FRO,Ecotone,924,L,SOC,FRO FT924 SOC,0.2441,0.5575,128.3900041,0.971428571,NA,0.0175596,3.80999E-05
2008,FRO,Ecotone,924,L,SOS,FRO FT924 SOS,0.0748,0.1648,120.3208556,1,NA,0.005689182,4.74529E-05
2008,FRO,Tundra,920,L,EAA,FRO T920 EAA,0.1289,0.2682,108.06827,0.977272727,NA,0.007216802,0.000112015
2008,FRO,Tundra,920,L,EAS,FRO T920 EAS,0.0976,0.2114,116.5983607,1,NA,0.00867367,8.22812E-05
2008,FRO,Tundra,920,W,NWA,FRO T920 NWA,0.0803,0.1766,119.9252802,1,NA,0.006275306,6.00838E-05
2008,FRO,Tundra,920,W,NWS,FRO T920 NWS,0.0744,0.1655,122.4462366,1,NA,0.005965761,3.32821E-05
2008,FRO,Tundra,920,L,SOA,FRO T920 SOA,0.1147,0.2455,114.0366173,1,NA,0.008539401,5.22237E-05
2008,FRO,Tundra,920,L,SOS,FRO T920 SOS,0.1224,0.2813,129.8202614,1,NA,0.010006721,6.52476E-05
2008,FRO,Tundra,926,L,EAA,FRO T926 EAA,0.1924,0.4246,120.6860707,1,NA,0.013732507,4.39995E-05
2008,FRO,Tundra,926,L,EAS,FRO T926 EAS,0.2053,0.442,115.2946907,1,NA,0.017239603,3.38089E-05
2008,FRO,Tundra,926,W,NWA,FRO T926 NWA,0.2491,0.5404,116.9409876,1,NA,0.017829747,5.71784E-05
2008,FRO,Tundra,926,W,NWS,FRO T926 NWS,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Tundra,926,L,SOA,FRO T926 SOA,0.185,0.402,117.2972973,1,NA,0.012015944,3.73775E-05
2008,FRO,Tundra,926,L,SOS,FRO T926 SOS,0.059,0.1497,153.7288136,1,NA,0.007358308,1.67599E-05
2008,FRO,Tundra,927,L,EAA,FRO T927 EAA,0.1544,0.3371,118.3290155,1,NA,0.01773005,3.24307E-05
2008,FRO,Tundra,927,L,EAS,FRO T927 EAS,0.0988,0.2174,120.0404858,1,NA,0.016839206,1.45275E-05
2008,FRO,Tundra,927,W,NWA,FRO T927 NWA,0.1226,0.2521,105.6280587,0.966101695,NA,0.014847671,4.24104E-05
2008,FRO,Tundra,927,W,NWS,FRO T927 NWS,NA,NA,NA,NA,NA,NA,NA
2008,FRO,Tundra,927,L,SOA,FRO T927 SOA,0.2887,0.606,109.9064773,1,NA,0.023818021,3.83314E-05
2008,FRO,Tundra,927,L,SOS,FRO T927 SOS,0.1192,0.2553,114.1778523,1,NA,0.013105379,1.30266E-05
2008,RAM,Forest,928,L,EAA,RAM F928 EAA,0.3322,0.7655,130.4334738,0.946428571,NA,0.019000387,4.00224E-05
2008,RAM,Forest,928,L,EAC,RAM F928 EAC,0.3874,1.5835,308.7506453,0.966101695,NA,0.019449025,9.37527E-05
2008,RAM,Forest,928,L,EAS,RAM F928 EAS,0.3914,0.9258,136.5355135,1,NA,0.019963592,NA
2008,RAM,Forest,928,W,NWA,RAM F928 NWA,0.2625,0.6352,141.9809524,0.985074627,NA,0.021008807,3.80058E-05
2008,RAM,Forest,928,W,NWC,RAM F928 NWC,0.3981,0.9989,150.9168551,0.983333333,NA,0.020984686,5.11413E-05
2008,RAM,Forest,928,W,NWS,RAM F928 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,928,L,SOA,RAM F928 SOA,0.259,0.6281,142.5096525,1,NA,0.01526656,6.40047E-05
2008,RAM,Forest,928,L,SOC,RAM F928 SOC,0.7023,0.9372,33.44724477,0.98989899,NA,0.034545135,2.36872E-05
2008,RAM,Forest,928,L,SOS,RAM F928 SOS,NA,NA,-100,NA,NA,NA,NA
2008,RAM,Forest,929,L,EAA,RAM F929 EAA,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,929,L,EAC,RAM F929 EAC,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,929,L,EAS,RAM F929 EAS,0.3772,0.8546,126.5641569,1,NA,0.0284041,2.77631E-05
2008,RAM,Forest,929,W,NWA,RAM F929 NWA,0.115,0.2783,142,0.95,NA,0.011449116,4.53782E-05
2008,RAM,Forest,929,W,NWC,RAM F929 NWC,0.2488,0.6033,142.4839228,1,NA,0.021296643,3.63203E-05
2008,RAM,Forest,929,W,NWS,RAM F929 NWS,0.1469,0.351,138.9380531,1,NA,0.014661944,3.35842E-05
2008,RAM,Forest,929,L,SOA,RAM F929 SOA,0.1799,0.4607,156.0867148,1,NA,0.015938714,3.23361E-05
2008,RAM,Forest,929,L,SOC,RAM F929 SOC,0.7283,1.6123,121.3785528,0.99137931,NA,0.042155903,4.68825E-05
2008,RAM,Forest,929,L,SOS,RAM F929 SOS,0.1763,0.4413,150.3119682,0.981818182,NA,0.016759609,4.12164E-05
2008,RAM,Forest,930,L,EAA,RAM F930 EAA,0.5126,1.2019,134.4713227,1,NA,0.031686876,3.81696E-05
2008,RAM,Forest,930,L,EAC,RAM F930 EAC,0.4608,1.1473,148.9800347,1,NA,0.03093191,3.94419E-05
2008,RAM,Forest,930,L,EAS,RAM F930 EAS,0.4043,0.9744,141.0091516,1,NA,0.033459721,3.78549E-05
2008,RAM,Forest,930,W,NWA,RAM F930 NWA,0.2502,0.572,128.6171063,1,NA,0.01615258,6.56554E-05
2008,RAM,Forest,930,W,NWC,RAM F930 NWC,0.4129,0.9745,136.0135626,1,NA,0.025495188,3.62848E-05
2008,RAM,Forest,930,W,NWS,RAM F930 NWS,0.4906,0.9898,101.7529556,0.991666667,NA,0.036373456,2.67006E-05
2008,RAM,Forest,930,L,SOA,RAM F930 SOA,0.3853,0.9327,142.0711134,1,NA,0.024771578,4.58724E-05
2008,RAM,Forest,930,L,SOC,RAM F930 SOC,0.3094,0.7452,140.8532644,1,NA,0.022402962,3.63696E-05
2008,RAM,Forest,930,L,SOS,RAM F930 SOS,0.3,0.693,131,1,NA,0.032339733,2.08367E-05
2008,RAM,Ecotone,931,L,EAA,RAM FT931 EAA,0.1893,0.4015,112.0972002,1,NA,0.017525027,3.20512E-05
