site,coef,lower,upper
forest,0.83203116,0.321968091,1.342094228
island,3.174915825,1.6755979,4.67423375
shrub,7.850815851,5.512921523,10.18871018
fen,-2.75886698,-3.289546303,-2.228187657
wedge,0.854323047,-0.561828694,2.270474788
polygon,-1.005359793,-1.357730287,-0.652989299
beach,-2.054310995,-2.546961859,-1.561660132
