year,site,zone,year.zone,tree,aspect,height,island.side,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,FRO,Ecotone,Ecotone.2008,924,L,C,NA,FRO FT924 EAC,0.1891,0.4695,148.2813,1,NA,0.01461,0.000038
2008,FRO,Ecotone,Ecotone.2008,924,L,S,NA,FRO FT924 EAS,0.2692,0.5867,117.9421,1,NA,0.020413,0.000022
2008,FRO,Ecotone,Ecotone.2008,924,W,A,NA,FRO FT924 NWA,0.2642,0.5688,115.2914,1,NA,0.018725,0.000029
2008,FRO,Ecotone,Ecotone.2008,924,W,C,NA,FRO FT924 NWC,0.2735,0.5897,115.6124,1,NA,0.014892,0.000053
2008,FRO,Ecotone,Ecotone.2008,924,W,S,NA,FRO FT924 NWS,0.2351,0.5197,121.0549,1,NA,0.019134,0.000023
2008,FRO,Ecotone,Ecotone.2008,924,L,A,NA,FRO FT924 SOA,0.4347,0.9023,107.5684,1,NA,0.025312,0.000038
2008,FRO,Ecotone,Ecotone.2008,924,L,C,NA,FRO FT924 SOC,0.2441,0.5575,128.39,0.9714,NA,0.01756,0.000038
2008,FRO,Ecotone,Ecotone.2008,924,L,S,NA,FRO FT924 SOS,0.0748,0.1648,120.3209,1,NA,0.005689,0.000047
2008,FRO,Tundra,Tundra.2008,920,L,A,NA,FRO T920 EAA,0.1289,0.2682,108.0683,0.9773,NA,0.007217,0.000112
2008,FRO,Tundra,Tundra.2008,920,L,S,NA,FRO T920 EAS,0.0976,0.2114,116.5984,1,NA,0.008674,0.000082
2008,FRO,Tundra,Tundra.2008,920,W,A,NA,FRO T920 NWA,0.0803,0.1766,119.9253,1,NA,0.006275,0.00006
2008,FRO,Tundra,Tundra.2008,920,W,S,NA,FRO T920 NWS,0.0744,0.1655,122.4462,1,NA,0.005966,0.000033
2008,FRO,Tundra,Tundra.2008,920,L,A,NA,FRO T920 SOA,0.1147,0.2455,114.0366,1,NA,0.008539,0.000052
2008,FRO,Tundra,Tundra.2008,920,L,S,NA,FRO T920 SOS,0.1224,0.2813,129.8203,1,NA,0.010007,0.000065
2008,FRO,Tundra,Tundra.2008,926,L,A,NA,FRO T926 EAA,0.1924,0.4246,120.6861,1,NA,0.013733,0.000044
2008,FRO,Tundra,Tundra.2008,926,L,S,NA,FRO T926 EAS,0.2053,0.442,115.2947,1,NA,0.01724,0.000034
2008,FRO,Tundra,Tundra.2008,926,W,A,NA,FRO T926 NWA,0.2491,0.5404,116.941,1,NA,0.01783,0.000057
2008,FRO,Tundra,Tundra.2008,926,W,S,NA,FRO T926 NWS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Tundra,Tundra.2008,926,L,A,NA,FRO T926 SOA,0.185,0.402,117.2973,1,NA,0.012016,0.000037
2008,FRO,Tundra,Tundra.2008,926,L,S,NA,FRO T926 SOS,0.059,0.1497,153.7288,1,NA,0.007358,0.000017
2008,FRO,Tundra,Tundra.2008,927,L,A,NA,FRO T927 EAA,0.1544,0.3371,118.329,1,NA,0.01773,0.000032
2008,FRO,Tundra,Tundra.2008,927,L,S,NA,FRO T927 EAS,0.0988,0.2174,120.0405,1,NA,0.016839,0.000015
2008,FRO,Tundra,Tundra.2008,927,W,A,NA,FRO T927 NWA,0.1226,0.2521,105.6281,0.9661,NA,0.014848,0.000042
2008,FRO,Tundra,Tundra.2008,927,W,S,NA,FRO T927 NWS,-1.5563,NA,NA,NA,NA,NA,NA
2008,FRO,Tundra,Tundra.2008,927,L,A,NA,FRO T927 SOA,0.2887,0.606,109.9065,1,NA,0.023818,0.000038
2008,FRO,Tundra,Tundra.2008,927,L,S,NA,FRO T927 SOS,0.1192,0.2553,114.1779,1,NA,0.013105,0.000013
2008,RAM,Forest,Forest.2008,928,L,A,NA,RAM F928 EAA,0.3322,0.7655,130.4335,0.9464,NA,0.019,0.00004
2008,RAM,Forest,Forest.2008,928,L,C,NA,RAM F928 EAC,0.3874,1.5835,308.7506,0.9661,NA,0.019449,0.000094
2008,RAM,Forest,Forest.2008,928,L,S,NA,RAM F928 EAS,0.3914,0.9258,136.5355,1,NA,0.019964,NA
2008,RAM,Forest,Forest.2008,928,W,A,NA,RAM F928 NWA,0.2625,0.6352,141.981,0.9851,NA,0.021009,0.000038
2008,RAM,Forest,Forest.2008,928,W,C,NA,RAM F928 NWC,0.3981,0.9989,150.9169,0.9833,NA,0.020985,0.000051
2008,RAM,Forest,Forest.2008,928,W,S,NA,RAM F928 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,Forest.2008,928,L,A,NA,RAM F928 SOA,0.259,0.6281,142.5097,1,NA,0.015267,0.000064
2008,RAM,Forest,Forest.2008,928,L,C,NA,RAM F928 SOC,0.7023,0.9372,33.4472,0.9899,NA,0.034545,0.000024
2008,RAM,Forest,Forest.2008,928,L,S,NA,RAM F928 SOS,-1.5563,NA,-100,NA,NA,NA,NA
2008,RAM,Forest,Forest.2008,929,L,A,NA,RAM F929 EAA,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,Forest.2008,929,L,C,NA,RAM F929 EAC,NA,NA,NA,NA,NA,NA,NA
2008,RAM,Forest,Forest.2008,929,L,S,NA,RAM F929 EAS,0.3772,0.8546,126.5642,1,NA,0.028404,0.000028
2008,RAM,Forest,Forest.2008,929,W,A,NA,RAM F929 NWA,0.115,0.2783,142,0.95,NA,0.011449,0.000045
2008,RAM,Forest,Forest.2008,929,W,C,NA,RAM F929 NWC,0.2488,0.6033,142.4839,1,NA,0.021297,0.000036
2008,RAM,Forest,Forest.2008,929,W,S,NA,RAM F929 NWS,0.1469,0.351,138.9381,1,NA,0.014662,0.000034
2008,RAM,Forest,Forest.2008,929,L,A,NA,RAM F929 SOA,0.1799,0.4607,156.0867,1,NA,0.015939,0.000032
2008,RAM,Forest,Forest.2008,929,L,C,NA,RAM F929 SOC,0.7283,1.6123,121.3786,0.9914,NA,0.042156,0.000047
2008,RAM,Forest,Forest.2008,929,L,S,NA,RAM F929 SOS,0.1763,0.4413,150.312,0.9818,NA,0.01676,0.000041
2008,RAM,Forest,Forest.2008,930,L,A,NA,RAM F930 EAA,0.5126,1.2019,134.4713,1,NA,0.031687,0.000038
2008,RAM,Forest,Forest.2008,930,L,C,NA,RAM F930 EAC,0.4608,1.1473,148.98,1,NA,0.030932,0.000039
2008,RAM,Forest,Forest.2008,930,L,S,NA,RAM F930 EAS,0.4043,0.9744,141.0092,1,NA,0.03346,0.000038
2008,RAM,Forest,Forest.2008,930,W,A,NA,RAM F930 NWA,0.2502,0.572,128.6171,1,NA,0.016153,0.000066
2008,RAM,Forest,Forest.2008,930,W,C,NA,RAM F930 NWC,0.4129,0.9745,136.0136,1,NA,0.025495,0.000036
2008,RAM,Forest,Forest.2008,930,W,S,NA,RAM F930 NWS,0.4906,0.9898,101.753,0.9917,NA,0.036373,0.000027
2008,RAM,Forest,Forest.2008,930,L,A,NA,RAM F930 SOA,0.3853,0.9327,142.0711,1,NA,0.024772,0.000046
2008,RAM,Forest,Forest.2008,930,L,C,NA,RAM F930 SOC,0.3094,0.7452,140.8533,1,NA,0.022403,0.000036
2008,RAM,Forest,Forest.2008,930,L,S,NA,RAM F930 SOS,0.3,0.693,131,1,NA,0.03234,0.000021
2008,RAM,Ecotone,Ecotone.2008,931,L,A,NA,RAM FT931 EAA,0.1893,0.4015,112.0972,1,NA,0.017525,0.000032
2008,RAM,Ecotone,Ecotone.2008,931,L,C,NA,RAM FT931 EAC,0.1571,0.3572,127.3711,1,NA,0.014276,0.000037
2008,RAM,Ecotone,Ecotone.2008,931,L,S,NA,RAM FT931 EAS,0.2057,0.375,82.2866,0.9875,NA,0.019039,0.000026
2008,RAM,Ecotone,Ecotone.2008,931,W,A,NA,RAM FT931 NWA,0.2168,0.4894,125.738,0.9853,NA,0.020612,0.000032
2008,RAM,Ecotone,Ecotone.2008,931,W,C,NA,RAM FT931 NWC,0.3166,0.7604,140.1769,1,NA,0.024442,0.000033
2008,RAM,Ecotone,Ecotone.2008,931,W,S,NA,RAM FT931 NWS,0.1135,0.2682,136.2996,1,NA,0.012543,0.000028
2008,RAM,Ecotone,Ecotone.2008,931,L,A,NA,RAM FT931 SOA,0.2174,0.5284,143.0543,0.9692,NA,0.020695,0.000038
2008,RAM,Ecotone,Ecotone.2008,931,L,C,NA,RAM FT931 SOC,0.3772,0.8571,127.2269,1,NA,0.030359,0.000036
