location,site,type,year,sample.no,depth,density,swe,htc
Broad: Riparian Forest,BRF,forest,2010,15,62,171.5800944,106.3796585,0.139601295
Broad: Riparian Forest,BRF,forest,2010,16,59,142.3456626,83.98394096,0.10096801
Broad: Riparian Forest,BRF,forest,2010,17,65,167.9678819,109.1791232,0.127610516
Broad: Riparian Forest,BRF,forest,2010,18,63,173.3001956,109.1791232,0.140153803
Broad: Riparian Forest,BRF,forest,2010,19,64,183.7148709,117.5775173,0.155044363
Broad: Riparian Forest,BRF,forest,2010,20,60,144.6390094,86.78340566,0.102510171
Broad: Riparian Forest,BRF,forest,2010,21,61,146.8571645,89.58287036,0.103945998
Broad: Riparian Forest,BRF,forest,2010,22,62,171.5800944,106.3796585,0.139601295
Broad: Riparian Forest,BRF,forest,2010,23,72,194.4072707,139.9732349,0.154326263
Broad: Riparian Forest,BRF,forest,2010,24,64,183.7148709,117.5775173,0.155044363
Broad: Riparian Forest,BRF,forest,2010,25,66,207.8390458,137.1737702,0.192423307
Broad: Riparian Forest,BRF,forest,2010,26,72,186.6309799,134.3743055,0.142227084
Broad: Riparian Forest,BRF,forest,2010,27,72,128.3087987,92.38233506,0.06722452
Broad: Riparian Forest,BRF,forest,2010,28,88,241.7719512,212.7593171,0.195288419
Broad: Riparian Forest,BRF,forest,2010,29,66,190.8725931,125.9759114,0.162289545
Broad: Riparian Forest,BRF,forest,2010,30,56,159.9694114,89.58287036,0.134348616
Broad: Riparian Forest,BRF,forest,2010,31,66,169.6645272,111.9785879,0.128228776
Broad: Riparian Forest,BRF,forest,2010,32,58,144.7998982,83.98394096,0.106281053
Broad: Riparian Forest,BRF,forest,2010,33,54,202.1835616,109.1791232,0.222559048
Broad: Sedge Fen,BCF,fen,2010,1,45,286.1675025,128.7753761,0.535026685
Broad: Sedge Fen,BCF,fen,2010,2,38,235.7443957,89.58287036,0.42997825
Broad: Sedge Fen,BCF,fen,2010,3,39,287.1245845,111.9785879,0.621474742
Broad: Sedge Fen,BCF,fen,2010,4,32,192.463198,61.58822337,0.340324134
Broad: Sedge Fen,BCF,fen,2010,5,28,219.9579406,61.58822337,0.508005704
Broad: Sedge Fen,BCF,fen,2010,6,30,223.9571759,67.18715277,0.491536803
Broad: Sedge Fen,BCF,fen,2010,7,33,237.5303381,78.38501156,0.502656802
Broad: Sedge Fen,BCF,fen,2010,8,31,234.7938134,72.78608217,0.522828117
Broad: Sedge Fen,BCF,fen,2010,9,43,286.4568529,123.1764467,0.561044498
Broad: Sedge Fen,BCF,fen,2010,10,34,181.1418334,61.58822337,0.28373044
Broad: Sedge Fen,BCF,fen,2010,11,44,318.1209885,139.9732349,0.676206437
Broad: Sedge Fen,BCF,fen,2010,12,38,250.4784204,95.18179975,0.485405134
Broad: Sedge Fen,BCF,fen,2010,13,46,279.9464699,128.7753761,0.500886688
Broad: Sedge Fen,BCF,fen,2010,14,52,236.8777822,123.1764467,0.317243435
Broad: Sedge Fen,BCF,fen,2010,15,50,279.9464699,139.9732349,0.460815753
