site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
ROK,Ecotone,Ecotone.L,Ecotone.A,1,L,A,ROK E1 LA,0.1833,0.0844,0.870,2.9233,81.851,4.8E-08,64,117
ROK,Ecotone,Ecotone.L,Ecotone.C,1,L,C,ROK E1 LC,0.6995,0.3162,1.025,3.4441,199.756,1.1E-05,100,121
ROK,Ecotone,Ecotone.L,Ecotone.A,2,L,A,ROK E2 LA,0.3984,0.1821,0.985,3.3097,132.386,1.1E-05,100,119
ROK,Ecotone,Ecotone.L,Ecotone.C,2,L,C,ROK E2 LC,0.4482,0.2074,0.935,3.1417,128.808,6.9E-06,98,116
ROK,Ecotone,Ecotone.L,Ecotone.S,2,L,S,ROK E2 LS,0.3844,0.1063,0.895,3.0073,96.232,6.6E-06,100,262
ROK,Ecotone,Ecotone.L,Ecotone.A,3,L,A,ROK E3 LA,0.1788,0.0733,0.805,2.7048,89.260,3.2E-05,100,144
ROK,Ecotone,Ecotone.L,Ecotone.C,3,L,C,ROK E3 LC,0.6173,0.2634,0.865,2.9065,203.452,2.6E-05,97,134
ROK,Ecotone,Ecotone.L,Ecotone.S,3,L,S,ROK E3 LS,0.3253,0.1309,0.945,3.1753,142.887,7.3E-06,100,149
ROK,Ecotone,Ecotone.L,Ecotone.A,4,L,A,ROK E4 LA,0.5289,0.2421,1.160,3.8977,214.372,6.6E-06,98,118
ROK,Ecotone,Ecotone.L,Ecotone.C,4,L,C,ROK E4 LC,0.4250,0.1910,1.060,3.5617,178.083,3.4E-06,98,123
ROK,Ecotone,Ecotone.L,Ecotone.S,4,L,S,ROK E4 LS,0.2930,0.1407,0.885,2.9737,160.577,5.4E-07,100,108
ROK,Ecotone,Ecotone.L,Ecotone.A,5,L,A,ROK E5 LA,0.4126,0.1863,0.905,3.0409,139.879,1.6E-06,100,121
ROK,Ecotone,Ecotone.L,Ecotone.C,5,L,C,ROK E5 LC,0.2294,0.1109,0.750,2.5200,70.561,9.9E-06,100,107
ROK,Ecotone,Ecotone.L,Ecotone.S,5,L,S,ROK E5 LS,0.1441,0.0659,0.580,1.9488,60.414,5.5E-06,100,119
BLK,Ecotone,Ecotone.W,Ecotone.C,1,W,C,BLK E1 WC,0.1693,0.0820,0.580,1.9488,68.209,2.6E-05,100,106
BLK,Ecotone,Ecotone.W,Ecotone.A,2,W,A,BLK E2 WA,0.1707,0.0716,0.665,2.2344,69.268,1.9E-05,100,138
BLK,Ecotone,Ecotone.W,Ecotone.C,2,W,C,BLK E2 WC,0.3754,0.1763,0.645,2.1672,108.362,3.9E-06,94,113
BLK,Ecotone,Ecotone.W,Ecotone.A,3,W,A,BLK E3 WA,0.0763,0.0507,0.595,1.9992,43.983,7.6E-06,100,50
BLK,Ecotone,Ecotone.W,Ecotone.C,3,W,C,BLK E3 WC,0.1236,0.0639,0.590,1.9824,67.403,1.5E-05,100,93
