"","b0","wsu.2802","wsu.2803"
"Jan",-4800200.05323102,323.959415864432,158.284039016073
"Feb",54137.8587576728,1.62168220137483,-8.44884225730218
"Mar",13230.2676361683,2.19475389830095,-3.66808827719882
"Apr",-6406.6489608596,2.72067778086634,-1.63684441322167
"May",-301.817058913558,1.01365936320082,-0.0246526651974086
"Jun",-3554.82118101053,1.15550385061459,0.26868018311961
"Jul",-6839.61578650232,1.95542829585603,-0.360286339330156
"Aug",-5490.18542194089,1.76011096198519,-0.245212938454991
"Sep",-5573.98962663575,1.72296836922561,-0.191658132694397
"Oct",-2944.81726428862,1.20805955471626,0.20368805748312
"Nov",79765.6483720988,-7.37791413662577,1.75813768068446
"Dec",896627.945112978,-123.805279827311,66.0788104218998
