site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
scut,2016,fir,449,no,4,seeded.scarified,1,1,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,449,no,4,seeded.scarified,1,1,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,449,no,4,seeded.scarified,1,1,14,1,NA,0,0,NA,NA,0.071428571,0.933333333,0.103359173,NA,0,NA,NA,0,15,0.645
scut,2016,fir,450,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,450,no,3,scarified,0,1,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,450,no,3,scarified,0,1,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,451,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,451,no,2,seeded,1,0,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,451,no,2,seeded,1,0,15,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,452,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,452,no,1,control,0,0,NA,0,0,NA,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,452,no,1,control,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,453,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2017,fir,453,no,2,seeded,1,0,20,0,0,NA,,0,0,0,1,0,NA,NA,NA,NA,NA,20,0.645
scut,2018,fir,453,no,2,seeded,1,0,15,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,15,0.645
scut,2016,fir,454,no,4,seeded.scarified,1,1,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1701,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1702,no,4,seeded.scarified,1,1,19,1,1,0,,0,NA,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
nalp,2016,fir,1703,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1704,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1705,no,2,seeded,1,0,19,1,0,0,,0,NA,0.052631579,0.95,0.07751938,0,0,NA,0,0,20,0.645
nalp,2016,fir,1706,no,4,seeded.scarified,1,1,18,2,2,1,,1,NA,0.111111111,0.9,0.15503876,1,0.5,NA,0.5,0,20,0.645
nalp,2016,fir,1707,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1708,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1709,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1710,no,4,seeded.scarified,1,1,13,7,7,3,,0,NA,0.538461538,0.65,0.542635659,1,0.428571429,NA,0,0,20,0.645
nalp,2016,fir,1711,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1712,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1713,no,2,seeded,1,0,19,1,1,0,,0,NA,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
nalp,2016,fir,1714,no,4,seeded.scarified,1,1,14,6,6,6,,1,NA,0.428571429,0.7,0.465116279,1,1,NA,0.166666667,0,20,0.645
nalp,2016,fir,1715,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1716,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1717,no,2,seeded,1,0,19,1,0,0,,0,NA,0.052631579,0.95,0.07751938,0,0,NA,0,0,20,0.645
nalp,2016,fir,1718,no,4,seeded.scarified,1,1,14,6,6,2,,2,NA,0.428571429,0.7,0.465116279,1,0.333333333,NA,0.333333333,0.333333333,20,0.645
nalp,2016,fir,1719,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
nalp,2016,fir,1720,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,401,no,2,seeded,1,0,20,0,0,0,,0,NA,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,402,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,403,no,4,seeded.scarified,1,1,19,1,0,0,,0,NA,0.052631579,0.95,0.07751938,0,0,NA,0,0,20,0.645
salp,2016,fir,404,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,405,no,2,seeded,1,0,19,1,1,0,,0,NA,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
salp,2016,fir,406,no,4,seeded.scarified,1,1,18,2,2,1,,1,NA,0.111111111,0.9,0.15503876,1,0.5,NA,0.5,0.5,20,0.645
salp,2016,fir,407,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,408,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,409,no,2,seeded,1,0,19,1,1,0,,0,NA,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
salp,2016,fir,410,no,4,seeded.scarified,1,1,18,2,2,1,,1,NA,0.111111111,0.9,0.15503876,1,0.5,NA,0.5,0.5,20,0.645
salp,2016,fir,411,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,412,no,1,control,0,0,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,413,no,4,seeded.scarified,1,1,19,1,1,1,,1,NA,0.052631579,0.95,0.07751938,1,1,NA,1,0,20,0.645
salp,2016,fir,414,no,3,scarified,0,1,NA,0,0,0,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,415,no,2,seeded,1,0,17,3,3,2,,2,NA,0.176470588,0.85,0.23255814,1,0.666666667,NA,0.666666667,0.666666667,20,0.645
